Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
IR Jaggi,2009-2021,1750,108*,34.31,1,2,1/13,41.50,0,21,0,-7.18
SP Jackson,2009-2023,1812,106*,27.45,1,-,-,-,-,56,8,-
TK Curran,2014-2025,2396,67*,21.58,0,255,4/15,25.52,0,66,0,-3.93
MG Johnson,2006-2018,320,30,12.80,0,123,3/3,25.78,0,28,0,-12.98
JPR Scantlebury-Searles,2010-2019,235,29,9.40,0,29,4/5,23.44,0,34,0,-14.04
M Prasidh Krishna,2018-2025,10,4*,2.50,0,106,4/30,28.99,0,21,0,-26.49
Shubman Gill,2018-2025,5156,129,37.63,6,-,-,-,-,56,0,-
Shivam Mavi,2018-2024,158,45*,8.77,0,57,4/14,29.29,0,26,0,-20.52
N Rana,2013-2025,4848,107,28.02,1,51,4/17,21.21,0,54,0,6.80
RK Singh,2014-2025,3221,79,34.26,0,5,2/3,24.80,0,95,0,9.46
CR Brathwaite,2011-2024,2385,64*,15.69,0,248,4/14,25.75,0,108,0,-10.05
JL Denly,2004-2025,7107,127,27.02,5,53,4/19,27.22,0,111,0,-0.20
HF Gurney,2009-2019,27,6,3.85,0,190,5/30,22.58,1,18,0,-18.72
Y Prithvi Raj,2019-2023,3,3*,3.00,0,8,3/28,24.75,0,0,0,-21.74
NS Naik,2013-2024,1077,95*,27.61,0,-,-,-,-,36,10,-
S Sandeep Warrier,2013-2024,26,9*,6.50,0,78,4/21,26.47,0,12,0,-19.97
T Banton,2017-2025,4703,107*,27.02,4,-,-,-,-,101,10,-
CJ Green,2015-2025,1997,50,17.21,0,243,5/32,25.92,1,152,0,-8.71
KL Nagarkoti,2020-2024,109,39*,9.90,0,29,3/14,27.06,0,11,0,-17.15
RA Tripathi,2013-2025,3644,93,25.30,0,12,5/27,23.75,1,71,0,1.55
CV Varun,2019-2025,76,24,6.33,0,157,5/17,21.31,3,21,0,-14.97
Harbhajan Singh,2005-2021,1512,78,14.67,0,235,5/18,26.35,1,83,0,-11.67
TL Seifert,2014-2025,6584,125*,28.50,4,-,-,-,-,181,37,-
VR Iyer,2015-2025,3038,104,35.32,1,49,6/20,25.18,1,52,0,10.14
Aman Hakim Khan,2021-2023,263,51,15.47,0,4,2/14,40.75,0,17,0,-25.27
SW Billings,2011-2025,7238,106,24.04,1,-,-,-,-,237,32,-
B Indrajith,2014-2024,546,78,21.00,0,-,-,-,-,9,0,-
A Tomar,2018-2024,499,84*,27.72,0,-,-,-,-,10,0,-
SS Iyer,2014-2025,6578,147,34.08,3,1,1/28,81.00,0,102,0,-46.91
Harshit Rana,2022-2025,72,34,12.00,0,47,3/24,24.85,0,13,0,-12.85
AM Rahane,2007-2025,7242,105*,29.92,2,1,1/5,5.00,0,120,0,24.92
AS Roy,2019-2025,657,91,20.53,0,38,4/17,33.10,0,30,0,-12.57
N Jagadeesan,2017-2024,1475,88,31.38,0,-,-,-,-,26,7,-
Litton Das,2013-2025,5787,125*,24.83,1,-,-,-,-,147,38,-
JJ Roy,2008-2025,10554,145*,27.20,6,1,1/23,39.00,0,202,0,-11.79
SN Thakur,2015-2025,459,68,10.92,0,202,4/25,26.92,0,54,0,-15.99
VG Arora,2021-2025,27,11,3.85,0,66,3/16,27.50,0,20,0,-23.64
Rahmanullah Gurbaz,2017-2025,5604,121*,24.68,2,1,1/2,11.00,0,126,17,13.68
PVD Chameera,2012-2025,223,24*,7.43,0,167,4/17,27.08,0,35,0,-19.65
A Raghuvanshi,2023-2025,685,54,27.40,0,-,-,-,-,14,0,-
Ramandeep Singh,2017-2025,687,64,22.16,0,22,3/20,17.27,0,39,0,4.88
SH Johnson,2023-2025,90,27,8.18,0,85,5/26,22.94,1,19,0,-14.75
A Nortje,2013-2025,185,25,8.04,0,181,4/7,22.90,0,38,0,-14.85
R Powell,2016-2025,5338,107,24.94,1,26,2/21,45.84,0,149,0,-20.90
C Sakariya,2019-2025,25,7,3.57,0,65,5/11,20.76,1,13,0,-17.19
P Dharmani,,47,16*,9.40,0,-,-,-,-,10,8,-
Gagandeep Singh,,1,1,1.00,0,0,-,-,0,0,0,-
JR Hopes,2005-2016,1468,71,22.58,0,67,3/23,33.65,0,22,0,-11.07
U Kaul,2008-2021,169,69,28.16,0,-,-,-,-,6,3,-
RR Sarwan,2006-2016,1197,70,19.30,0,2,2/10,11.00,0,24,0,8.30
SM Katich,2003-2014,2483,75,30.28,0,0,-,-,0,47,0,-
WA Mota,2007-2010,228,50,15.20,0,11,3/29,27.09,0,6,0,-11.89
TM Srivastava,2007-2019,649,84*,28.21,0,0,-,-,0,9,0,-
