Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
M Vijay,2015-2016,Delhi Daredevils,India,124.9,Offbreak,4223,127,26.22,3,0,-,-,0,65.0,0.0,-
NLTC Perera,2015-2015,Delhi Daredevils,Sri Lanka,152.1,Medium,4873,103*,21.09,1,282,5/26,27.15,2,160.0,0.0,-6.05
SN Thakur,2015-2015,Delhi Daredevils,India,145.4,Medium,459,68,10.92,0,202,4/25,26.92,0,54.0,0.0,-15.99
F Behardien,2016-2016,Delhi Daredevils,South Africa,122.9,Medium,3719,72*,35.75,0,5,2/15,35.20,0,85.0,0.0,0.55
HM Amla,2016-2017,Delhi Daredevils,South Africa,128.2,Medium,4563,104*,30.83,2,0,-,-,0,39.0,0.0,-
KC Cariappa,2016-2017,Delhi Daredevils,Kolkata Knight Riders,104.9,Legbreak,170,21*,10.00,0,50,4/15,25.28,0,13.0,0.0,-15.27
KJ Abbott,2016-2016,Delhi Daredevils,South Africa,121.1,Medium,324,30,13.50,0,157,5/14,28.56,1,33.0,0.0,-15.06
MM Sharma,2016-2018,Delhi Daredevils,India,95.4,Medium,169,21*,7.04,0,167,5/10,28.65,1,39.0,0.0,-21.61
MP Stoinis,2016-2025,Delhi Daredevils,Australia,137.1,Medium,6843,147*,29.36,2,179,4/15,26.84,0,85.0,0.0,2.52
NS Naik,2016-2016,Delhi Daredevils,Kings XI Punjab,62.0,,1077,95*,27.61,0,-,-,-,-,36.0,10.0,-
P Sahu,2016-2016,Delhi Daredevils,Kings XI Punjab,146.2,Legbreak,134,27,19.14,0,4,2/18,41.25,0,4.0,0.0,-22.10
Swapnil Singh,2016-2017,Delhi Daredevils,Kings XI Punjab,129.0,Orthodox,988,52,22.45,0,73,6/19,25.63,1,32.0,0.0,-3.17
EJG Morgan,2017-2017,Delhi Daredevils,England,130.9,Medium,,,,,,,,,,,
I Sharma,2017-2017,Delhi Daredevils,India,83.3,Medium,67,10*,8.37,0,155,5/12,31.79,1,33.0,0.0,-23.41
MJ Guptill,2017-2017,Delhi Daredevils,New Zealand,130.7,Offbreak,9900,120*,31.83,6,0,-,-,0,194.0,0.0,-
MJ Henry,2017-2017,Delhi Daredevils,New Zealand,143.9,Medium,615,44,13.08,0,208,5/18,22.38,1,68.0,0.0,-9.30
R Tewatia,2017-2017,Delhi Daredevils,Rajasthan Royals,137.3,Legbreak,2107,59*,26.01,0,69,3/4,26.34,0,68.0,0.0,-0.33
T Natarajan,2017-2017,Delhi Daredevils,India,81.0,Medium,8,3*,8.00,0,104,4/19,28.12,0,26.0,0.0,-20.12
VR Aaron,2017-2017,Delhi Daredevils,Delhi Daredevils,74.7,Fast,133,17*,8.86,0,93,3/16,29.36,0,15.0,0.0,-20.49
AD Nath,2018-2018,Delhi Daredevils,Gujarat Lions,92.0,Medium,,,,,,,,,,,
AJ Finch,2018-2018,Delhi Daredevils,Australia,138.1,Orthodox,11458,172,33.60,8,7,1/9,52.71,0,164.0,0.0,-19.11
AJ Tye,2018-2019,Delhi Daredevils,Australia,128.1,Medium,741,44,12.77,0,342,5/17,21.33,3,87.0,0.0,-8.56
AS Rajpoot,2018-2019,Delhi Daredevils,Chennai Super Kings,63.4,Medium,66,8,7.33,0,105,5/14,21.55,3,12.0,0.0,-14.21
BB Sran,2018-2018,Delhi Daredevils,India,71.4,Medium,106,19,11.77,0,45,4/10,30.06,0,9.0,0.0,-18.28
CH Gayle,2018-2021,Delhi Daredevils,West Indies,144.1,Offbreak,14562,175*,36.22,22,83,4/22,31.54,0,104.0,0.0,4.68
KK Nair,2018-2020,Delhi Daredevils,Royal Challengers Bangalore,133.4,Offbreak,,,,,,,,,,,
KL Rahul,2018-2021,Delhi Daredevils,India,136.8,,8125,132*,42.53,7,-,-,-,-,115.0,10.0,-
MA Agarwal,2018-2022,Delhi Daredevils,Royal Challengers Bangalore,132.8,,5012,111,25.70,2,0,-,-,0,93.0,0.0,-
MK Tiwary,2018-2018,Delhi Daredevils,India,114.9,Legbreak,3436,75*,28.39,0,34,4/23,26.55,0,94.0,0.0,1.83
Mujeeb Ur Rahman,2018-2020,Delhi Daredevils,Afghanistan,104.2,Offbreak,410,34,8.72,0,293,5/15,23.64,2,50.0,0.0,-14.92
R Ashwin,2018-2019,Delhi Daredevils,India,129.8,Offbreak,1233,50,14.50,0,317,4/8,26.94,0,79.0,0.0,-12.44
Arshdeep Singh,2019-2025,Delhi Daredevils,India,97.4,Medium,144,23*,9.00,0,229,5/32,22.60,1,40.0,0.0,-13.60
CV Varun,2019-2019,Delhi Daredevils,India,81.9,Legbreak,76,24,6.33,0,157,5/17,21.31,3,21.0,0.0,-14.97
GC Viljoen,2019-2019,Delhi Daredevils,Chittagong Vikings,122.4,Medium,953,44,14.66,0,189,5/16,25.56,1,30.0,0.0,-10.90
Harpreet Brar,2019-2025,Delhi Daredevils,Kings XI Punjab,121.9,Orthodox,391,29,16.29,0,87,4/18,25.18,0,25.0,0.0,-8.89
M Ashwin,2019-2021,Delhi Daredevils,Rising Pune Supergiants,106.0,Legbreak,,,,,,,,,,,
Mohammed Shami,2019-2021,Delhi Daredevils,India,103.4,Fast,134,32*,6.38,0,210,4/11,25.09,0,33.0,0.0,-18.71
N Pooran,2019-2021,Delhi Daredevils,West Indies,149.6,,9951,108*,30.15,4,-,-,-,-,243.0,36.0,-
Prabhsimran Singh,2019-2025,Delhi Daredevils,Kings XI Punjab,147.5,,2922,119*,31.41,2,-,-,-,-,34.0,14.0,-
SM Curran,2019-2024,Delhi Daredevils,England,137.5,Medium,4825,102*,24.36,1,291,5/10,27.90,4,117.0,0.0,-3.53
SN Khan,2019-2021,Delhi Daredevils,Royal Challengers Bangalore,128.9,Offbreak,1188,67,22.41,0,0,-,-,0,38.0,0.0,-
CJ Jordan,2020-2021,Delhi Daredevils,England,134.2,Medium,2476,73,16.84,0,439,4/6,27.05,0,214.0,0.0,-10.21
DJ Hooda,2020-2021,Delhi Daredevils,India,133.5,Offbreak,3667,108,23.96,2,27,4/10,43.44,0,102.0,0.0,-19.47
JDS Neesham,2020-2020,Delhi Daredevils,New Zealand,140.9,Medium,4441,97*,23.49,0,260,5/22,25.03,1,124.0,0.0,-1.54
K Gowtham,2020-2020,Delhi Daredevils,Rajasthan Royals,172.8,Offbreak,734,60,15.29,0,74,4/19,28.06,0,31.0,0.0,-12.77
Ravi Bishnoi,2020-2021,Delhi Daredevils,India,88.9,Legbreak,163,22*,6.52,0,185,4/13,23.80,0,56.0,0.0,-17.28
SS Cottrell,2020-2020,Delhi Daredevils,West Indies,118.3,Medium,201,26*,7.17,0,167,4/20,22.73,0,59.0,0.0,-15.55
AK Markram,2021-2021,Delhi Daredevils,South Africa,136.8,Offbreak,4950,100,30.74,1,47,3/21,31.25,0,107.0,0.0,-0.50
AU Rashid,2021-2021,Delhi Daredevils,England,108.0,Legbreak,976,36*,11.34,0,379,4/2,22.97,0,86.0,0.0,-11.62
DJ Malan,2021-2021,Delhi Daredevils,England,131.8,Legbreak,10501,117,32.81,5,23,2/10,31.39,0,132.0,0.0,1.42
FA Allen,2021-2021,Delhi Daredevils,West Indies,141.5,Orthodox,1544,64*,17.54,0,100,4/24,27.46,0,68.0,0.0,-9.91
IC Porel,2021-2021,Delhi Daredevils,Punjab Kings,,Medium,2,2*,-,0,40,4/24,19.32,0,1.0,0.0,-
JA Richardson,2021-2021,Delhi Daredevils,Australia,110.4,Fast,349,33*,13.96,0,124,4/9,22.89,0,30.0,0.0,-8.93
Jalaj S Saxena,2021-2021,Delhi Daredevils,Mumbai Indians,110.0,Offbreak,688,55*,16.78,0,77,5/16,17.75,2,17.0,0.0,-0.97
M Shahrukh Khan,2021-2023,Delhi Daredevils,Punjab Kings,155.0,Offbreak,1371,58,20.16,0,8,2/19,32.50,0,45.0,0.0,-12.33
MC Henriques,2021-2021,Delhi Daredevils,Australia,128.0,Medium,5562,77,27.13,0,120,3/11,29.18,0,129.0,0.0,-2.05
NT Ellis,2021-2024,Delhi Daredevils,Australia,111.2,Medium,489,40,10.86,0,203,4/6,23.64,0,59.0,0.0,-12.77
RP Meredith,2021-2021,Delhi Daredevils,Australia,98.2,Medium,48,10,4.80,0,189,4/9,22.31,0,26.0,0.0,-17.51
JM Bairstow,2022-2024,Delhi Daredevils,England,141.8,,5895,116,30.70,5,-,-,-,-,131.0,16.0,-
JM Sharma,2022-2024,Delhi Daredevils,India,157.0,,,,,,,,,,,,
K Rabada,2022-2024,Delhi Daredevils,South Africa,109.2,Fast,502,44,10.91,0,284,4/21,23.69,0,76.0,0.0,-12.77
LS Livingstone,2022-2024,Delhi Daredevils,England,144.4,Legbreak,,,,,,,,,,,
OF Smith,2022-2022,Delhi Daredevils,West Indies,128.8,Medium,818,44,16.69,0,101,4/30,27.90,0,36.0,0.0,-11.20
PBB Rajapaksa,2022-2023,Delhi Daredevils,Sri Lanka,137.2,Medium,4176,100,22.81,1,28,3/11,18.42,0,62.0,1.0,4.39
PN Mankad,2022-2022,Delhi Daredevils,Punjab Kings,153.5,Medium,1192,72,29.80,0,30,4/48,29.36,0,27.0,0.0,0.43
RA Bawa,2022-2022,Delhi Daredevils,Punjab Kings,134.2,Medium,316,61,24.30,0,22,3/28,20.40,0,9.0,0.0,3.89
RD Chahar,2022-2024,Delhi Daredevils,India,102.7,Legbreak,241,25*,9.64,0,136,5/14,26.12,1,44.0,0.0,-16.48
S Dhawan,2022-2024,Delhi Daredevils,India,126.8,Offbreak,9797,106*,32.98,2,4,1/7,16.50,0,136.0,0.0,16.48
VG Arora,2022-2022,Delhi Daredevils,Punjab Kings,42.3,Medium,27,11,3.85,0,66,3/16,27.50,0,20.0,0.0,-23.64
A Taide,2023-2024,Delhi Daredevils,Punjab Kings,139.7,Orthodox,1492,97,30.44,0,11,2/0,15.18,0,26.0,0.0,15.26
Gurnoor Brar,2023-2023,Delhi Daredevils,Punjab Kings,,Fast,3,3,3.00,0,0,-,-,0,2.0,0.0,-
Harpreet Singh,2023-2024,Delhi Daredevils,Pune Warriors,111.3,Medium,2757,92*,35.34,0,6,2/15,22.33,0,51.0,0.0,13.01
MW Short,2023-2023,Delhi Daredevils,Australia,147.2,Offbreak,3342,109,27.85,2,54,5/22,29.25,1,75.0,0.0,-1.40
Mohit Rathee,2023-2023,Delhi Daredevils,Punjab Kings,50.0,Legbreak,100,34,14.28,0,9,2/16,39.22,0,4.0,0.0,-24.93
Sikandar Raza,2023-2024,Delhi Daredevils,Zimbabwe,136.3,Offbreak,6298,133*,25.81,1,196,5/18,27.12,1,133.0,0.0,-1.31
AR Sharma,2024-2024,Delhi Daredevils,Punjab Kings,163.5,,976,84,32.53,0,3,2/22,29.33,0,8.0,0.0,3.20
HV Patel,2024-2024,Delhi Daredevils,India,124.6,Medium,1289,82,15.71,0,260,5/12,23.37,2,47.0,0.0,-7.65
RR Rossouw,2024-2024,Delhi Daredevils,South Africa,147.9,Offbreak,9434,121,29.20,9,3,1/3,10.66,0,159.0,0.0,18.54
Shashank Singh,2024-2025,Delhi Daredevils,Sunrisers Hyderabad,152.9,Offbreak,1530,68*,27.32,0,20,3/4,28.30,0,29.0,0.0,-0.97
Shivam Singh,2024-2024,Delhi Daredevils,Punjab Kings,137.8,Offbreak,2,2*,-,0,-,-,-,-,2.0,0.0,-
V Kaverappa,2024-2024,Delhi Daredevils,Punjab Kings,0.0,Medium,312,,,,,5/11,,1,,,
Azmatullah Omarzai,2025-2025,Delhi Daredevils,Afghanistan,130.8,Medium,1527,62*,18.17,0,129,4/9,27.12,0,39.0,0.0,-8.94
JP Inglis,2025-2025,Delhi Daredevils,Australia,150.9,,3820,118*,30.31,4,-,-,-,-,110.0,21.0,-
KA Jamieson,2025-2025,Delhi Daredevils,New Zealand,130.5,Medium,461,45*,20.95,0,99,6/7,24.76,1,22.0,0.0,-3.81
LH Ferguson,2025-2025,Delhi Daredevils,New Zealand,116.2,Fast,288,30,11.07,0,228,5/21,22.32,1,52.0,0.0,-11.24
M Jansen,2025-2025,Delhi Daredevils,South Africa,136.9,Fast,983,71*,20.47,0,130,5/30,26.43,1,61.0,0.0,-5.95
MJ Owen,2025-2025,Delhi Daredevils,Australia,183.4,Medium,1095,108,25.46,2,26,5/17,26.84,1,25.0,0.0,-1.38
Musheer Khan,2025-2025,Delhi Daredevils,,0.0,,109,19*,9.08,0,165,5/17,25.89,1,32.0,0.0,-16.81
N Wadhera,2025-2025,Delhi Daredevils,Mumbai Indians,145.5,Legbreak,1043,70,26.74,0,1,1/0,22.00,0,16.0,0.0,4.74
P Arya,2025-2025,Delhi Daredevils,Punjab Kings,175.2,Offbreak,1048,103,30.82,2,1,1/2,2.00,0,14.0,0.0,28.82
P Dubey,2025-2025,Delhi Daredevils,Delhi Capitals,97.0,Legbreak,153,33,12.75,0,25,4/19,21.60,0,15.0,0.0,-8.84
SS Iyer,2025-2025,Delhi Daredevils,India,134.2,Legbreak,6578,147,34.08,3,1,1/28,81.00,0,102.0,0.0,-46.91
Suryansh Shedge,2025-2025,Delhi Daredevils,Punjab Kings,210.8,,138,36*,23.00,0,8,2/11,28.00,0,5.0,0.0,-4.99
V Vyshak,2025-2025,Delhi Daredevils,Royal Challengers Bangalore,100.0,Medium,1276,,,,,3/5,,0,,,
XC Bartlett,2025-2025,Delhi Daredevils,Australia,124.2,Medium,411,59*,17.12,0,102,4/10,22.01,0,38.0,0.0,-4.89
YS Chahal,2025-2025,Delhi Daredevils,India,45.7,Legbreak,81,10,4.76,0,380,6/25,23.57,2,72.0,0.0,-18.80
Yash Thakur,2025-2025,Delhi Daredevils,Lucknow Super Giants,73.3,Medium,29,10,9.66,0,88,5/30,20.14,1,15.0,0.0,-10.48
A Ashish Reddy,2013-2016,Gujarat Lions,Sunrisers Hyderabad,142.9,Medium,637,37,13.55,0,57,4/22,22.01,0,22.0,0.0,-8.46
A Mishra,2013-2014,Gujarat Lions,India,89.7,Legbreak,808,49,13.69,0,285,5/17,22.28,2,44.0,0.0,-8.58
Anand Rajan,2013-2013,Gujarat Lions,Deccan Chargers,,Medium,11,8,11.00,0,47,4/26,16.68,0,16.0,0.0,-5.68
Ankit Sharma,2013-2013,Gujarat Lions,Deccan Chargers,113.1,Orthodox,475,41,13.57,0,63,3/18,28.61,0,18.0,0.0,-15.04
BB Samantray,2013-2013,Gujarat Lions,Sunrisers Hyderabad,97.2,,1146,102,20.10,1,28,3/9,28.39,0,21.0,0.0,-8.28
CL White,2013-2013,Gujarat Lions,Australia,121.1,Legbreak,5469,141*,30.72,2,26,4/10,27.23,0,98.0,0.0,3.49
DB Ravi Teja,2013-2013,Gujarat Lions,Deccan Chargers,118.3,Legbreak,1618,101*,26.09,1,6,1/0,27.50,0,30.0,0.0,-1.40
DJG Sammy,2013-2014,Gujarat Lions,West Indies,140.2,Medium,,,,,,,,,,,
DW Steyn,2013-2015,Gujarat Lions,South Africa,107.1,Fast,313,27*,8.45,0,263,4/9,22.00,0,55.0,0.0,-13.54
GH Vihari,2013-2015,Gujarat Lions,Sunrisers Hyderabad,97.7,Offbreak,1707,84*,21.88,0,27,3/21,22.51,0,34.0,2.0,-0.63
I Sharma,2013-2015,Gujarat Lions,India,83.3,Medium,67,10*,8.37,0,155,5/12,31.79,1,33.0,0.0,-23.41
KC Sangakkara,2013-2013,Gujarat Lions,Sri Lanka,124.8,Offbreak,6937,94,29.27,0,-,-,-,-,167.0,60.0,-
KV Sharma,2013-2016,Gujarat Lions,India,126.1,Legbreak,,,,,,,,,,,
NLTC Perera,2013-2013,Gujarat Lions,Sri Lanka,152.1,Medium,4873,103*,21.09,1,282,5/26,27.15,2,160.0,0.0,-6.05
PA Patel,2013-2013,Gujarat Lions,India,120.5,,4300,82,22.87,0,-,-,-,-,113.0,31.0,-
PA Reddy,2013-2013,Gujarat Lions,Deccan Chargers,102.5,Legbreak,1468,105*,24.06,1,0,-,-,0,16.0,0.0,-
Q de Kock,2013-2013,Gujarat Lions,South Africa,137.7,,11421,140*,31.20,7,-,-,-,-,286.0,57.0,-
S Dhawan,2013-2018,Gujarat Lions,India,126.8,Offbreak,9797,106*,32.98,2,4,1/7,16.50,0,136.0,0.0,16.48
X Thalaivan Sargunam,2013-2013,Gujarat Lions,Sunrisers Hyderabad,111.7,Offbreak,113,29,16.14,0,-,-,-,-,3.0,0.0,-
AJ Finch,2014-2014,Gujarat Lions,Australia,138.1,Orthodox,11458,172,33.60,8,7,1/9,52.71,0,164.0,0.0,-19.11
B Kumar,2014-2024,Gujarat Lions,India,88.7,Medium,522,27,10.44,0,327,5/4,25.11,5,64.0,0.0,-14.67
DA Warner,2014-2021,Gujarat Lions,Australia,139.9,Legbreak,13595,135*,36.44,8,0,-,-,0,202.0,0.0,-
IK Pathan,2014-2014,Gujarat Lions,India,117.8,Medium,2020,65*,22.95,0,173,5/13,26.40,1,44.0,0.0,-3.45
JO Holder,2014-2021,Gujarat Lions,West Indies,136.8,Medium,3035,69,18.61,0,324,5/27,27.61,1,153.0,0.0,-8.99
KL Rahul,2014-2015,Gujarat Lions,India,136.8,,8125,132*,42.53,7,-,-,-,-,115.0,10.0,-
MC Henriques,2014-2017,Gujarat Lions,Australia,128.0,Medium,5562,77,27.13,0,120,3/11,29.18,0,129.0,0.0,-2.05
NV Ojha,2014-2017,Gujarat Lions,India,116.4,,2972,94*,20.92,0,-,-,-,-,110.0,26.0,-
Parvez Rasool,2014-2015,Gujarat Lions,India,90.0,Offbreak,,,,,,,,,,,
S Anirudha,2014-2014,Gujarat Lions,Chennai Super Kings,138.3,,1257,77,26.18,0,-,-,-,-,28.0,0.0,-
Y Venugopal Rao,2014-2014,Gujarat Lions,Deccan Chargers,119.6,Offbreak,1390,71*,23.55,0,8,2/23,56.00,0,17.0,0.0,-32.44
Bipul Sharma,2015-2017,Gujarat Lions,Kings XI Punjab,152.0,Orthodox,1203,79*,23.58,0,84,4/28,21.98,0,30.0,0.0,1.60
EJG Morgan,2015-2016,Gujarat Lions,England,130.9,Medium,,,,,,,,,,,
KS Williamson,2015-2022,Gujarat Lions,New Zealand,125.3,Offbreak,7275,101*,31.76,1,30,3/33,30.30,0,125.0,0.0,1.46
P Kumar,2015-2015,Gujarat Lions,India,108.4,Medium,687,76*,12.26,0,143,3/18,32.16,0,22.0,0.0,-19.89
RS Bopara,2015-2015,Gujarat Lions,England,124.5,Medium,9948,108,28.10,3,292,6/16,25.59,1,158.0,0.0,2.50
TA Boult,2015-2016,Gujarat Lions,New Zealand,116.7,Medium,307,23*,10.96,0,329,4/13,25.31,0,97.0,0.0,-14.34
A Nehra,2016-2017,Gujarat Lions,India,68.3,Medium,69,22*,5.30,0,162,4/10,22.54,0,27.0,0.0,-17.24
AP Tare,2016-2016,Gujarat Lions,Mumbai Indians,123.5,,2630,82,28.27,0,-,-,-,-,71.0,20.0,-
BB Sran,2016-2017,Gujarat Lions,India,71.4,Medium,106,19,11.77,0,45,4/10,30.06,0,9.0,0.0,-18.28
BCJ Cutting,2016-2017,Gujarat Lions,Australia,145.6,Medium,2921,81*,22.46,0,137,5/28,32.08,1,100.0,0.0,-9.61
DJ Hooda,2016-2019,Gujarat Lions,India,133.5,Offbreak,3667,108,23.96,2,27,4/10,43.44,0,102.0,0.0,-19.47
Mustafizur Rahman,2016-2017,Gujarat Lions,Bangladesh,71.4,Medium,196,21*,5.93,0,372,6/10,21.29,4,58.0,0.0,-15.35
Yuvraj Singh,2016-2017,Gujarat Lions,India,131.5,Orthodox,4857,83,25.69,0,80,4/29,24.86,0,53.0,0.0,0.83
CJ Jordan,2017-2018,Gujarat Lions,England,134.2,Medium,2476,73,16.84,0,439,4/6,27.05,0,214.0,0.0,-10.21
Mohammad Nabi,2017-2021,Gujarat Lions,Afghanistan,134.0,Offbreak,6516,89,21.08,0,388,5/15,24.82,1,217.0,0.0,-3.73
Mohammed Siraj,2017-2017,Gujarat Lions,India,90.6,Medium,,,,,,,,,,,
Rashid Khan,2017-2021,Gujarat Lions,Afghanistan,142.2,Legbreak,2773,79*,13.93,0,672,6/17,18.46,4,173.0,0.0,-4.53
S Kaul,2017-2021,Gujarat Lions,India,55.6,Medium,75,8*,7.50,0,182,5/12,22.04,1,23.0,0.0,-14.54
V Shankar,2017-2021,Gujarat Lions,India,131.0,Medium,2454,69*,26.67,0,36,3/12,33.02,0,68.0,0.0,-6.35
AD Hales,2018-2018,Gujarat Lions,England,146.0,Medium,14174,119*,30.09,7,0,-,-,0,245.0,0.0,-
B Stanlake,2018-2018,Gujarat Lions,Australia,59.3,Fast,35,7,7.00,0,91,4/8,27.17,0,12.0,0.0,-20.17
Basil Thampi,2018-2020,Gujarat Lions,Gujarat Lions,91.4,Medium,73,22,9.12,0,90,4/15,28.12,0,18.0,0.0,-18.99
CR Brathwaite,2018-2018,Gujarat Lions,West Indies,136.0,Medium,2385,64*,15.69,0,248,4/14,25.75,0,108.0,0.0,-10.05
KK Ahmed,2018-2021,Gujarat Lions,India,28.0,Medium,11,3*,1.57,0,159,5/18,25.15,1,21.0,0.0,-23.58
MK Pandey,2018-2021,Gujarat Lions,India,122.0,Offbreak,7100,129*,31.69,3,10,4/27,21.20,0,152.0,2.0,10.49
RK Bhui,2018-2019,Gujarat Lions,Sunrisers Hyderabad,152.6,Legbreak,1789,108*,33.75,2,0,-,-,0,18.0,0.0,-
SP Goswami,2018-2020,Gujarat Lions,Kolkata Knight Riders,107.3,,2437,86*,26.78,0,-,-,-,-,52.0,10.0,-
Sandeep Sharma,2018-2021,Gujarat Lions,India,79.5,Medium,117,13*,11.70,0,223,5/18,25.92,1,45.0,0.0,-14.22
Shakib Al Hasan,2018-2019,Gujarat Lions,Bangladesh,126.2,Orthodox,7690,89*,21.12,0,504,6/6,21.62,5,108.0,0.0,-0.50
WP Saha,2018-2021,Gujarat Lions,Chennai Super Kings,125.5,,4655,129,24.24,2,-,-,-,-,142.0,39.0,-
YK Pathan,2018-2019,Gujarat Lions,India,140.9,Offbreak,4852,100,27.56,1,99,4/10,28.42,0,86.0,0.0,-0.85
Abhishek Sharma,2019-2025,Gujarat Lions,India,170.3,Orthodox,4133,141,31.54,7,47,3/7,27.72,0,58.0,0.0,3.82
JM Bairstow,2019-2021,Gujarat Lions,England,141.8,,5895,116,30.70,5,-,-,-,-,131.0,16.0,-
MJ Guptill,2019-2019,Gujarat Lions,New Zealand,130.7,Offbreak,9900,120*,31.83,6,0,-,-,0,194.0,0.0,-
S Nadeem,2019-2021,Gujarat Lions,Delhi Daredevils,56.6,Orthodox,278,36*,7.72,0,125,4/12,28.43,0,28.0,0.0,-20.70
Abdul Samad,2020-2024,Gujarat Lions,Japan,148.4,Legbreak,1642,76*,26.06,0,4,1/9,54.75,0,53.0,0.0,-28.68
MR Marsh,2020-2020,Gujarat Lions,Australia,136.5,Medium,5222,117,32.43,2,85,4/6,25.75,0,81.0,0.0,6.68
PK Garg,2020-2022,Gujarat Lions,Sunrisers Hyderabad,115.9,Medium,821,81,20.02,0,-,-,-,-,23.0,0.0,-
T Natarajan,2020-2024,Gujarat Lions,India,81.0,Medium,8,3*,8.00,0,104,4/19,28.12,0,26.0,0.0,-20.12
J Suchith,2021-2022,Gujarat Lions,Mumbai Indians,124.4,Orthodox,349,34*,13.96,0,74,3/2,28.58,0,41.0,0.0,-14.62
JJ Roy,2021-2021,Gujarat Lions,England,140.0,,10554,145*,27.20,6,1,1/23,39.00,0,202.0,0.0,-11.79
KM Jadhav,2021-2021,Gujarat Lions,India,122.2,Offbreak,2592,84*,24.45,0,6,2/23,20.83,0,55.0,9.0,3.61
Mujeeb Ur Rahman,2021-2021,Gujarat Lions,Afghanistan,104.2,Offbreak,410,34,8.72,0,293,5/15,23.64,2,50.0,0.0,-14.92
Umran Malik,2021-2024,Gujarat Lions,India,155.6,Fast,46,19*,11.50,0,65,5/25,24.98,1,12.0,0.0,-13.48
Virat Singh,2021-2021,Gujarat Lions,Sunrisers Hyderabad,116.7,Legbreak,2432,103*,35.76,1,1,1/13,87.00,0,34.0,0.0,-51.23
AK Markram,2022-2024,Gujarat Lions,South Africa,136.8,Offbreak,4950,100,30.74,1,47,3/21,31.25,0,107.0,0.0,-0.50
Fazalhaq Farooqi,2022-2023,Gujarat Lions,Afghanistan,59.3,Medium,52,16*,6.50,0,172,5/9,21.04,4,20.0,0.0,-14.54
Kartik Tyagi,2022-2023,Gujarat Lions,Rajasthan Royals,81.2,Medium,13,7,3.25,0,25,2/23,40.12,0,3.0,0.0,-36.86
M Jansen,2022-2024,Gujarat Lions,South Africa,136.9,Fast,983,71*,20.47,0,130,5/30,26.43,1,61.0,0.0,-5.95
N Pooran,2022-2022,Gujarat Lions,West Indies,149.6,,9951,108*,30.15,4,-,-,-,-,243.0,36.0,-
R Shepherd,2022-2022,Gujarat Lions,West Indies,155.5,Medium,2173,73*,23.36,0,189,4/13,26.00,0,45.0,0.0,-2.63
RA Tripathi,2022-2024,Gujarat Lions,India,139.0,Medium,3644,93,25.30,0,12,5/27,23.75,1,71.0,0.0,1.55
S Gopal,2022-2022,Gujarat Lions,Mumbai Indians,111.9,Legbreak,526,48*,16.43,0,124,5/11,19.46,3,28.0,0.0,-3.03
SA Abbott,2022-2022,Gujarat Lions,Australia,118.9,Medium,941,110*,11.91,1,254,5/16,21.33,2,104.0,0.0,-9.41
Shashank Singh,2022-2022,Gujarat Lions,Sunrisers Hyderabad,152.9,Offbreak,1530,68*,27.32,0,20,3/4,28.30,0,29.0,0.0,-0.97
Washington Sundar,2022-2024,Gujarat Lions,India,128.9,Offbreak,1428,54*,19.56,0,115,3/10,28.90,0,46.0,0.0,-9.34
AJ Hosein,2023-2023,Gujarat Lions,West Indies,110.9,Orthodox,1059,55*,15.57,0,224,5/11,25.41,1,47.0,0.0,-9.84
AU Rashid,2023-2023,Gujarat Lions,England,108.0,Legbreak,976,36*,11.34,0,379,4/2,22.97,0,86.0,0.0,-11.62
Anmolpreet Singh,2023-2024,Gujarat Lions,Mumbai Indians,150.7,Offbreak,1382,113,26.07,1,-,-,-,-,35.0,0.0,-
GD Phillips,2023-2023,Gujarat Lions,New Zealand,140.0,Offbreak,6810,116*,31.82,5,27,3/6,31.92,0,146.0,10.0,-0.10
H Klaasen,2023-2025,Gujarat Lions,South Africa,155.2,,5927,105*,31.19,3,1,1/12,68.00,0,127.0,34.0,-36.80
HC Brook,2023-2023,Gujarat Lions,England,150.4,Medium,3792,105*,33.26,3,1,1/13,26.00,0,94.0,0.0,7.26
K Nitish Kumar Reddy,2023-2025,Gujarat Lions,India,138.6,Medium,667,76*,29.00,0,8,2/17,44.12,0,17.0,0.0,-15.12
M Markande,2023-2024,Gujarat Lions,India,105.9,Legbreak,106,33*,15.14,0,92,4/4,24.72,0,19.0,0.0,-9.58
MA Agarwal,2023-2024,Gujarat Lions,Royal Challengers Bangalore,132.8,,5012,111,25.70,2,0,-,-,0,93.0,0.0,-
MJ Dagar,2023-2023,Gujarat Lions,Sunrisers Hyderabad,117.4,Orthodox,,,,,,,,,,,
Sanvir Singh,2023-2024,Gujarat Lions,Sunrisers Hyderabad,184.7,Medium,384,55*,38.40,0,6,2/17,37.00,0,23.0,0.0,1.40
Vivrant Sharma,2023-2023,Gujarat Lions,Sunrisers Hyderabad,100.0,Legbreak,403,69,20.15,0,8,4/13,15.62,0,10.0,0.0,4.52
JD Unadkat,2024-2025,Gujarat Lions,India,117.9,Medium,562,58*,15.61,0,245,5/25,23.81,2,61.0,0.0,-8.20
PJ Cummins,2024-2025,Gujarat Lions,Australia,139.2,Fast,1001,66*,17.56,0,192,4/16,27.33,0,45.0,0.0,-9.77
