Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
MC Henriques,2013-2013,Chennai Super Kings,Australia,128.0,Medium,5562,77,27.13,0,120,3/11,29.18,0,129.0,0.0,-2.05
R Rampaul,2013-2014,Chennai Super Kings,West Indies,99.1,Medium,229,23*,9.16,0,231,5/9,21.19,1,29.0,0.0,-12.03
RP Singh,2013-2013,Chennai Super Kings,India,83.0,Medium,108,18,4.32,0,146,5/8,24.91,1,42.0,0.0,-20.59
AB Dinda,2014-2015,Chennai Super Kings,India,66.2,Medium,110,22,5.23,0,151,4/13,25.31,0,23.0,0.0,-20.07
AN Ahmed,2014-2015,Chennai Super Kings,Mumbai Indians,126.7,Medium,241,26*,8.60,0,78,4/21,24.55,0,10.0,0.0,-15.94
JA Morkel,2014-2014,Chennai Super Kings,South Africa,139.2,Medium,4248,73*,26.38,0,248,4/25,25.43,0,71.0,0.0,0.95
MA Starc,2014-2015,Chennai Super Kings,Australia,94.5,Fast,225,29,9.00,0,207,5/35,20.96,1,57.0,0.0,-11.96
NJ Maddinson,2014-2015,Chennai Super Kings,Australia,123.2,Orthodox,2498,87,20.30,0,13,3/20,20.15,0,57.0,0.0,0.15
PA Patel,2014-2019,Chennai Super Kings,India,120.5,,4300,82,22.87,0,-,-,-,-,113.0,31.0,-
RR Rossouw,2014-2015,Chennai Super Kings,South Africa,147.9,Offbreak,9434,121,29.20,9,3,1/3,10.66,0,159.0,0.0,18.54
S Rana,2014-2014,Chennai Super Kings,India Women,116.8,Offbreak,72,34,12.00,0,47,3/24,24.85,0,13.0,0.0,-12.85
SB Jakati,2014-2014,Chennai Super Kings,Chennai Super Kings,96.6,Orthodox,,,,,,,,,,,
VH Zol,2014-2014,Chennai Super Kings,Royal Challengers Bangalore,111.5,Offbreak,551,109,25.04,1,-,-,-,-,8.0,0.0,-
VR Aaron,2014-2016,Chennai Super Kings,Delhi Daredevils,74.7,Fast,133,17*,8.86,0,93,3/16,29.36,0,15.0,0.0,-20.49
YS Chahal,2014-2021,Chennai Super Kings,India,45.7,Legbreak,81,10,4.76,0,380,6/25,23.57,2,72.0,0.0,-18.80
YV Takawale,2014-2014,Chennai Super Kings,Mumbai Indians,107.9,,,,,,,,,,,,
Yuvraj Singh,2014-2014,Chennai Super Kings,India,131.5,Orthodox,4857,83,25.69,0,80,4/29,24.86,0,53.0,0.0,0.83
D Wiese,2015-2016,Chennai Super Kings,South Africa,141.5,Medium,4519,79*,22.59,0,334,5/19,26.24,7,154.0,0.0,-3.65
DJG Sammy,2015-2015,Chennai Super Kings,West Indies,140.2,Medium,,,,,,,,,,,
Iqbal Abdulla,2015-2017,Chennai Super Kings,Kolkata Knight Riders,113.8,Orthodox,426,46*,17.04,0,86,5/10,27.33,1,33.0,0.0,-10.29
KD Karthik,2015-2024,Chennai Super Kings,India,136.8,,7537,97*,27.01,0,1,1/10,28.00,0,236.0,72.0,-0.98
MS Bisla,2015-2015,Chennai Super Kings,Kolkata Knight Riders,116.5,,1324,92,21.70,0,-,-,-,-,40.0,15.0,-
Mandeep Singh,2015-2018,Chennai Super Kings,India,124.8,Orthodox,4043,99*,27.88,0,16,3/21,27.93,0,79.0,0.0,-0.05
SA Abbott,2015-2015,Chennai Super Kings,Australia,118.9,Medium,941,110*,11.91,1,254,5/16,21.33,2,104.0,0.0,-9.41
SN Khan,2015-2018,Chennai Super Kings,Royal Challengers Bangalore,128.9,Offbreak,1188,67,22.41,0,0,-,-,0,38.0,0.0,-
AF Milne,2016-2017,Chennai Super Kings,New Zealand,112.8,Fast,498,22,11.06,0,247,5/11,23.54,3,53.0,0.0,-12.47
CJ Jordan,2016-2016,Chennai Super Kings,England,134.2,Medium,2476,73,16.84,0,439,4/6,27.05,0,214.0,0.0,-10.21
KM Jadhav,2016-2023,Chennai Super Kings,India,122.2,Offbreak,2592,84*,24.45,0,6,2/23,20.83,0,55.0,9.0,3.61
KW Richardson,2016-2021,Chennai Super Kings,Australia,111.9,Medium,404,45,11.22,0,240,4/22,23.45,0,77.0,0.0,-12.22
Parvez Rasool,2016-2016,Chennai Super Kings,India,90.0,Offbreak,,,,,,,,,,,
SR Watson,2016-2017,Chennai Super Kings,Australia,138.3,Medium,8821,124*,29.30,6,216,4/15,27.02,0,101.0,0.0,2.27
STR Binny,2016-2017,Chennai Super Kings,India,130.9,Medium,1641,52,20.01,0,73,4/14,25.87,0,38.0,0.0,-5.86
Sachin Baby,2016-2021,Chennai Super Kings,Rajasthan Royals,130.0,Offbreak,2026,79,29.79,0,8,2/4,32.62,0,43.0,0.0,-2.83
T Shamsi,2016-2016,Chennai Super Kings,South Africa,51.5,Chinaman,95,15*,4.52,0,348,5/24,22.32,1,40.0,0.0,-17.80
TM Head,2016-2017,Chennai Super Kings,Australia,148.6,Offbreak,4336,102,30.97,2,22,3/16,29.95,0,43.0,0.0,1.01
A Choudhary,2017-2017,Chennai Super Kings,Royal Challengers Bangalore,114.3,Medium,97,15*,8.81,0,107,4/30,20.35,0,12.0,0.0,-11.53
Avesh Khan,2017-2017,Chennai Super Kings,India,147.6,Medium,109,19*,9.08,0,165,5/17,25.89,1,32.0,0.0,-16.81
B Stanlake,2017-2017,Chennai Super Kings,Australia,59.3,Fast,35,7,7.00,0,91,4/8,27.17,0,12.0,0.0,-20.17
P Negi,2017-2019,Chennai Super Kings,India,124.1,Orthodox,803,41*,15.74,0,96,5/22,24.61,1,40.0,0.0,-8.86
S Badree,2017-2017,Chennai Super Kings,West Indies,80.6,Legbreak,183,29*,9.15,0,187,5/22,22.16,1,46.0,0.0,-13.01
TS Mills,2017-2017,Chennai Super Kings,England,105.9,Fast,237,30,6.07,0,320,4/13,23.36,0,39.0,0.0,-17.29
Vishnu Vinod,2017-2017,Chennai Super Kings,Royal Challengers Bangalore,145.8,,1620,109*,31.15,1,0,-,-,0,26.0,7.0,-
BB McCullum,2018-2018,Chennai Super Kings,New Zealand,135.1,Medium,9922,158*,29.97,7,0,-,-,0,153.0,14.0,-
C de Grandhomme,2018-2019,Chennai Super Kings,New Zealand,143.9,Medium,,,,,,,,,,,
CJ Anderson,2018-2018,Chennai Super Kings,New Zealand,131.0,Medium,3244,95*,24.20,0,46,2/10,34.06,0,62.0,0.0,-9.85
CR Woakes,2018-2018,Chennai Super Kings,England,125.9,Medium,1031,57*,20.21,0,177,4/21,25.24,0,64.0,0.0,-5.02
K Khejroliya,2018-2019,Chennai Super Kings,Royal Challengers Bangalore,,Medium,19,18*,-,0,27,4/26,26.22,0,4.0,0.0,-
M Ashwin,2018-2018,Chennai Super Kings,Rising Pune Supergiants,106.0,Legbreak,,,,,,,,,,,
M Vohra,2018-2018,Chennai Super Kings,Kings XI Punjab,131.1,Medium,3340,106*,28.79,1,-,-,-,-,41.0,0.0,-
MM Ali,2018-2020,Chennai Super Kings,England,139.7,Offbreak,7450,121*,23.65,3,263,5/34,24.78,1,123.0,0.0,-1.13
Mohammed Siraj,2018-2024,Chennai Super Kings,India,90.6,Medium,,,,,,,,,,,
Q de Kock,2018-2018,Chennai Super Kings,South Africa,137.7,,11421,140*,31.20,7,-,-,-,-,286.0,57.0,-
TG Southee,2018-2019,Chennai Super Kings,New Zealand,131.5,Medium,930,74,10.94,0,346,6/16,24.57,4,132.0,0.0,-13.63
UT Yadav,2018-2020,Chennai Super Kings,India,102.2,Fast,333,26,11.10,0,202,5/18,27.42,2,52.0,0.0,-16.32
Washington Sundar,2018-2021,Chennai Super Kings,India,128.9,Offbreak,1428,54*,19.56,0,115,3/10,28.90,0,46.0,0.0,-9.34
AD Nath,2019-2019,Chennai Super Kings,Gujarat Lions,92.0,Medium,,,,,,,,,,,
Gurkeerat Singh,2019-2020,Chennai Super Kings,Kings XI Punjab,119.6,Offbreak,,,,,,,,,,,
H Klaasen,2019-2019,Chennai Super Kings,South Africa,155.2,,5927,105*,31.19,3,1,1/12,68.00,0,127.0,34.0,-36.80
MP Stoinis,2019-2019,Chennai Super Kings,Australia,137.1,Medium,6843,147*,29.36,2,179,4/15,26.84,0,85.0,0.0,2.52
NA Saini,2019-2021,Chennai Super Kings,India,91.2,Fast,63,12*,10.50,0,73,4/17,30.80,0,23.0,0.0,-20.30
P Ray Barman,2019-2019,Chennai Super Kings,Royal Challengers Bangalore,77.8,Legbreak,42,19,8.40,0,7,4/14,30.00,0,0.0,0.0,-21.59
S Dube,2019-2020,Chennai Super Kings,India,141.7,Medium,3448,95*,31.06,0,57,3/4,31.15,0,54.0,0.0,-0.09
SO Hetmyer,2019-2019,Chennai Super Kings,West Indies,142.4,Legbreak,5938,100,26.50,1,-,-,-,-,158.0,0.0,-
A Zampa,2020-2020,Chennai Super Kings,Australia,86.5,Legbreak,310,23,5.96,0,386,6/19,21.53,3,43.0,0.0,-15.57
AJ Finch,2020-2020,Chennai Super Kings,Australia,138.1,Orthodox,11458,172,33.60,8,7,1/9,52.71,0,164.0,0.0,-19.11
CH Morris,2020-2020,Chennai Super Kings,South Africa,146.3,Medium,1868,82*,20.08,0,290,4/9,22.21,0,104.0,0.0,-2.12
D Padikkal,2020-2025,Chennai Super Kings,India,124.4,Offbreak,3053,124*,30.83,3,-,-,-,-,48.0,0.0,-
I Udana,2020-2020,Chennai Super Kings,Sri Lanka,131.1,Medium,1535,84*,16.15,0,237,5/21,25.27,1,72.0,0.0,-9.11
JR Philippe,2020-2020,Chennai Super Kings,Australia,133.5,,2823,99*,25.66,0,-,-,-,-,87.0,15.0,-
Shahbaz Ahmed,2020-2023,Chennai Super Kings,India,121.5,Orthodox,1295,100*,25.90,1,69,3/7,30.28,0,40.0,0.0,-4.38
DR Sams,2021-2021,Chennai Super Kings,Australia,151.6,Medium,,,,,,,,,,,
GHS Garton,2021-2021,Chennai Super Kings,England,134.6,Fast,833,46,14.87,0,98,4/16,26.73,0,36.0,0.0,-11.85
GJ Maxwell,2021-2024,Chennai Super Kings,Australia,154.9,Offbreak,10846,154*,27.81,8,194,3/10,29.79,0,259.0,0.0,-1.98
KA Jamieson,2021-2021,Chennai Super Kings,New Zealand,130.5,Medium,461,45*,20.95,0,99,6/7,24.76,1,22.0,0.0,-3.81
KS Bharat,2021-2021,Chennai Super Kings,Royal Challengers Bangalore,123.0,,1573,93*,23.13,0,-,-,-,-,63.0,14.0,-
