Name,Span,Team,OtherTeam,SR,BowlingStyle,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
DJM Moody,2022-2022,Perth Scorchers,Hobart Hurricanes,53.3,Medium,8,8,8.00,0,9,3/16,26.55,0,1.0,0.0,-18.55
DJM Short,2023-2025,Adelaide Strikers,Australia,130.5,Chinaman,5401,122*,33.13,2,68,5/21,32.92,1,74.0,0.0,0.20
DJM Short,2016-2023,Hobart Hurricanes,Australia,130.5,Chinaman,5401,122*,33.13,2,68,5/21,32.92,1,74.0,0.0,0.20
DL Vettori,2012-2015,Brisbane Heat,New Zealand,110.0,Orthodox,1041,57,16.01,0,131,4/20,26.13,0,40.0,0.0,-10.12
DLR Smith,2012-2014,Sydney Sixers,Sydney Thunder,99.6,,319,69,22.78,0,-,-,-,-,8.0,2.0,-
DLR Smith,2011-2012,Sydney Thunder,Sydney Thunder,99.6,,319,69,22.78,0,-,-,-,-,8.0,2.0,-
DMK Grant,2022-2022,Brisbane Heat,Brisbane Heat,100.0,Medium,1,1*,-,0,3,3/20,16.00,0,0.0,0.0,-
DP Hughes,2012-2024,Sydney Sixers,Sydney Sixers,130.8,Medium,,,,,,,,,,,
DP Hughes,2013-2015,Sydney Thunder,Sydney Sixers,130.8,Medium,,,,,,,,,,,
DP Michael,2016-2016,Hobart Hurricanes,Samoa,112.2,Medium,250,63*,20.83,0,4,2/37,26.00,0,3.0,0.0,-5.16
DP Nannes,2011-2012,Melbourne Renegades,Netherlands,90.4,Fast,66,12*,8.25,0,257,5/31,22.25,2,34.0,0.0,-14.00
DPMD Jayawardene,2015-2016,Adelaide Strikers,Sri Lanka,126.7,Medium,,,,,,,,,,,
DR Briggs,2020-2021,Adelaide Strikers,England,127.8,Orthodox,389,35*,13.41,0,311,5/19,21.46,1,50.0,0.0,-8.05
DR Drew,2021-2021,Adelaide Strikers,Adelaide Strikers,117.3,Offbreak,,,,,,,,,,,
DR Drew,2024-2025,Brisbane Heat,Adelaide Strikers,117.3,Offbreak,,,,,,,,,,,
DR Salpietro,2012-2012,Adelaide Strikers,Adelaide Strikers,48.1,Offbreak,21,12,7.00,0,1,1/28,120.00,0,2.0,0.0,-112.99
DR Sams,2017-2018,Sydney Sixers,Australia,151.6,Medium,2177,98*,16.74,0,250,5/30,24.63,1,81.0,0.0,-7.88
DR Sams,2018-2025,Sydney Thunder,Australia,151.6,Medium,2177,98*,16.74,0,250,5/30,24.63,1,81.0,0.0,-7.88
DT Christian,2011-2015,Brisbane Heat,Australia,137.9,Medium,5848,129,22.66,2,281,5/14,28.95,2,186.0,0.0,-6.28
DT Christian,2015-2018,Hobart Hurricanes,Australia,137.9,Medium,5848,129,22.66,2,281,5/14,28.95,2,186.0,0.0,-6.28
DT Christian,2018-2020,Melbourne Renegades,Australia,137.9,Medium,5848,129,22.66,2,281,5/14,28.95,2,186.0,0.0,-6.28
DT Christian,2020-2023,Sydney Sixers,Australia,137.9,Medium,5848,129,22.66,2,281,5/14,28.95,2,186.0,0.0,-6.28
DW Lawrence,2020-2020,Brisbane Heat,Brisbane Heat,141.9,Offbreak,3488,120*,25.09,1,57,4/20,24.17,0,60.0,0.0,0.91
DW Lawrence,2023-2025,Melbourne Stars,Brisbane Heat,141.9,Offbreak,3488,120*,25.09,1,57,4/20,24.17,0,60.0,0.0,0.91
DW Steyn,2019-2020,Melbourne Stars,South Africa,107.1,Fast,313,27*,8.45,0,263,4/9,22.00,0,55.0,0.0,-13.54
Dilbar Hussain,2020-2020,Melbourne Stars,Melbourne Stars,100.0,Medium,37,13*,18.50,0,22,4/24,24.54,0,4.0,0.0,-6.04
EJG Morgan,2013-2017,Sydney Thunder,England,130.9,Medium,7780,91,26.02,0,-,-,-,-,160.0,0.0,-
EJM Cowan,2011-2016,Sydney Sixers,Sydney Sixers,103.1,Legbreak,229,70,16.35,0,-,-,-,-,2.0,0.0,-
EP Gulbis,2012-2015,Hobart Hurricanes,Hobart Hurricanes,126.9,Medium,475,61*,19.00,0,20,3/29,38.95,0,19.0,0.0,-19.94
EP Gulbis,2016-2019,Melbourne Stars,Hobart Hurricanes,126.9,Medium,475,61*,19.00,0,20,3/29,38.95,0,19.0,0.0,-19.94
F O'Neill,2024-2025,Melbourne Renegades,Melbourne Renegades,96.4,Fast,54,16*,10.80,0,10,3/16,24.10,0,3.0,0.0,-13.29
F du Plessis,2012-2012,Melbourne Renegades,South Africa,139.2,Legbreak,11906,120*,32.88,8,50,5/19,18.34,2,211.0,0.0,14.54
F du Plessis,2022-2023,Perth Scorchers,South Africa,139.2,Legbreak,11906,120*,32.88,8,50,5/19,18.34,2,211.0,0.0,14.54
FA Allen,2024-2024,Adelaide Strikers,West Indies,141.5,Orthodox,1544,64*,17.54,0,100,4/24,27.46,0,68.0,0.0,-9.91
FH Allen,2024-2025,Perth Scorchers,New Zealand,173.1,,4415,151,28.85,4,0,-,-,0,73.0,2.0,-
FH Edwards,2011-2012,Sydney Thunder,West Indies,94.9,Fast,124,11*,6.52,0,112,5/22,27.67,1,14.0,0.0,-21.15
Faheem Ashraf,2023-2023,Hobart Hurricanes,Pakistan,142.9,Medium,2203,55,17.48,0,232,6/19,26.03,3,84.0,0.0,-8.55
Fakhar Zaman,2022-2022,Brisbane Heat,Pakistan,134.9,Orthodox,8017,115,28.53,3,4,1/3,40.50,0,135.0,0.0,-11.96
Fawad Ahmed,2021-2022,Adelaide Strikers,Australia,75.4,Legbreak,,,,,,,,,,,
