Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Zahir Khan,2024-2024,Joburg Super Kings,Afghanistan,76.9,Chinaman,106.0,19*,4.60,0.0,142,5/19,24.05,1,13.0,0.0,-19.44
DP Conway,2025-2025,Joburg Super Kings,New Zealand,132.7,Medium,6725.0,105*,40.75,2.0,3,1/10,47.00,0,95.0,9.0,-6.24
E Jones,2025-2025,Joburg Super Kings,Central Sparks,101.9,Medium,564.0,83,23.50,0.0,48,4/32,23.97,0,25.0,0.0,-0.47
GC Viljoen,2025-2025,Joburg Super Kings,Chittagong Vikings,122.4,Medium,953.0,44,14.66,0.0,189,5/16,25.56,1,30.0,0.0,-10.90
JM Bairstow,2025-2025,Joburg Super Kings,England,141.8,,5895.0,116,30.70,5.0,-,-,-,-,131.0,16.0,-
JP King,2025-2025,Joburg Super Kings,Joburg Super Kings,90.0,Offbreak,263.0,61,23.90,0.0,7,2/13,29.42,0,6.0,0.0,-5.51
L Sipamla,2025-2025,Joburg Super Kings,South Africa,72.4,Fast,49.0,13*,8.16,0.0,82,4/12,24.97,0,31.0,0.0,-16.80
M Pathirana,2025-2025,Joburg Super Kings,Sri Lanka,55.2,Medium,38.0,8,3.80,0.0,132,4/20,21.46,0,26.0,0.0,-17.66
T Shamsi,2025-2025,Joburg Super Kings,South Africa,51.5,Chinaman,95.0,15*,4.52,0.0,348,5/24,22.32,1,40.0,0.0,-17.80
WJ Lubbe,2025-2025,Joburg Super Kings,South Africa,128.9,Offbreak,2302.0,102,22.13,1.0,28,3/20,34.35,0,35.0,0.0,-12.22
BE Hendricks,2023-2024,MI Cape Town,South Africa,77.1,Medium,119.0,23*,9.91,0.0,142,6/29,24.10,1,31.0,0.0,-14.18
D Brevis,2023-2025,MI Cape Town,South Africa,154.9,Legbreak,2518.0,162,28.94,2.0,18,2/19,21.27,0,53.0,0.0,7.66
D Jansen,2023-2023,MI Cape Town,Isle of Man,101.2,Medium,294.0,41,15.47,0.0,35,3/27,30.48,0,19.0,0.0,-15.01
D Potgieter,2023-2025,MI Cape Town,St Lucia Kings,144.5,Medium,1253.0,71,30.56,0.0,46,5/10,17.50,2,23.0,0.0,13.06
G Roelofsen,2023-2023,MI Cape Town,MI Cape Town,125.5,,2066.0,91,29.94,0.0,-,-,-,-,52.0,13.0,-
GF Linde,2023-2025,MI Cape Town,South Africa,139.5,Orthodox,2417.0,66*,19.49,0.0,194,4/19,26.33,0,58.0,0.0,-6.84
HE van der Dussen,2023-2025,MI Cape Town,South Africa,130.3,Legbreak,6773.0,112*,36.80,5.0,3,2/15,18.33,0,72.0,0.0,18.47
JC Archer,2023-2023,MI Cape Town,England,138.3,Fast,715.0,36,14.30,0.0,225,4/18,23.47,0,57.0,0.0,-9.17
K Rabada,2023-2025,MI Cape Town,South Africa,109.2,Fast,502.0,44,10.91,0.0,284,4/21,23.69,0,76.0,0.0,-12.77
OF Smith,2023-2023,MI Cape Town,West Indies,128.8,Medium,818.0,44,16.69,0.0,101,4/30,27.90,0,36.0,0.0,-11.20
OP Stone,2023-2024,MI Cape Town,England,89.2,Fast,173.0,22*,6.65,0.0,113,4/14,27.31,0,37.0,0.0,-20.66
RD Rickelton,2023-2025,MI Cape Town,South Africa,146.7,,3553.0,103*,29.60,1.0,1,1/14,14.00,0,84.0,13.0,15.60
Rashid Khan,2023-2025,MI Cape Town,Afghanistan,142.2,Legbreak,2773.0,79*,13.93,0.0,672,6/17,18.46,4,173.0,0.0,-4.53
SM Curran,2023-2024,MI Cape Town,England,137.5,Medium,4825.0,102*,24.36,1.0,291,5/10,27.90,4,117.0,0.0,-3.53
TH David,2023-2023,MI Cape Town,Singapore,161.9,Offbreak,5833.0,102*,30.86,1.0,15,1/0,64.06,0,170.0,0.0,-33.20
WB Marshall,2023-2023,MI Cape Town,Durban Heat,116.7,Medium,1172.0,87,25.47,0.0,-,-,-,-,22.0,0.0,-
Waqar Salamkheil,2023-2023,MI Cape Town,Hobart Hurricanes,48.8,Chinaman,23.0,7,11.50,0.0,113,4/14,21.49,0,7.0,0.0,-9.99
C Esterhuizen,2024-2025,MI Cape Town,Abu Dhabi Knight Riders,116.0,,475.0,69,33.92,0.0,-,-,-,-,14.0,1.0,-
KA Pollard,2024-2024,MI Cape Town,West Indies,149.9,Medium,14216.0,104,31.87,1.0,333,4/15,25.33,0,397.0,0.0,6.53
LS Livingstone,2024-2024,MI Cape Town,England,144.4,Legbreak,7385.0,103,28.18,2.0,143,4/17,25.76,0,126.0,0.0,2.42
N Thushara,2024-2024,MI Cape Town,Sri Lanka,65.1,Medium,40.0,7*,4.00,0.0,170,5/13,19.84,2,15.0,0.0,-15.84
N van Heerden,2024-2024,MI Cape Town,MI Cape Town,,Fast,20.0,15,10.00,0.0,20,4/23,34.95,0,8.0,0.0,-24.94
TP Kaber,2024-2025,MI Cape Town,MI Cape Town,117.2,Chinaman,374.0,57*,15.58,0.0,54,3/11,19.79,0,13.0,0.0,-4.21
Azmatullah Omarzai,2025-2025,MI Cape Town,Afghanistan,130.8,Medium,1527.0,62*,18.17,0.0,129,4/9,27.12,0,39.0,0.0,-8.94
C Bosch,2025-2025,MI Cape Town,South Africa,111.4,Medium,747.0,81,17.78,0.0,70,4/19,31.64,0,41.0,0.0,-13.85
CA Ingram,2025-2025,MI Cape Town,South Africa,140.9,,9010.0,127*,28.33,4.0,40,4/32,32.97,0,124.0,0.0,-4.64
CG Benjamin,2025-2025,MI Cape Town,Sharjah Warriors,136.7,Medium,998.0,68*,19.96,0.0,-,-,-,-,33.0,1.0,-
DL Piedt,2025-2025,MI Cape Town,Cape Cobras,92.3,Offbreak,103.0,29*,10.30,0.0,33,3/24,33.93,0,12.0,0.0,-23.63
MJ Potts,2025-2025,MI Cape Town,England,124.1,Medium,236.0,40*,14.75,0.0,90,5/17,24.36,1,30.0,0.0,-9.61
RR Hendricks,2025-2025,MI Cape Town,South Africa,128.7,Medium,7790.0,117,34.16,5.0,8,2/7,33.50,0,118.0,0.0,0.66
Sediqullah Atal,2025-2025,MI Cape Town,Afghanistan,123.7,,2211.0,95*,35.09,0.0,-,-,-,-,28.0,0.0,-
T Luus,2025-2025,MI Cape Town,MI New York,100.0,Medium,11.0,8,5.50,0.0,9,3/35,24.44,0,2.0,0.0,-18.94
TA Boult,2025-2025,MI Cape Town,New Zealand,116.7,Medium,307.0,23*,10.96,0.0,329,4/13,25.31,0,97.0,0.0,-14.34
AL Phehlukwayo,2023-2025,Paarl Royals,South Africa,116.4,Medium,1027.0,39*,13.16,0.0,121,5/26,26.23,1,19.0,0.0,-13.06
BC Fortuin,2023-2025,Paarl Royals,South Africa,96.9,Orthodox,499.0,32,10.18,0.0,170,4/8,22.28,0,56.0,0.0,-12.09
C Bosch,2023-2023,Paarl Royals,South Africa,111.4,Medium,747.0,81,17.78,0.0,70,4/19,31.64,0,41.0,0.0,-13.85
Codi Yusuf,2023-2024,Paarl Royals,Paarl Royals,100.0,Medium,97.0,25,16.16,0.0,36,3/15,30.88,0,10.0,0.0,-14.72
DA Miller,2023-2025,Paarl Royals,South Africa,137.5,Offbreak,11476.0,120*,35.09,4.0,0,-,-,0,321.0,1.0,-
DJ Vilas,2023-2024,Paarl Royals,Cape Cobras,131.4,,4235.0,75*,28.04,0.0,-,-,-,-,116.0,30.0,-
E Jones,2023-2024,Paarl Royals,Central Sparks,101.9,Medium,564.0,83,23.50,0.0,48,4/32,23.97,0,25.0,0.0,-0.47
EJG Morgan,2023-2023,Paarl Royals,England,130.9,Medium,7780.0,91,26.02,0.0,-,-,-,-,160.0,0.0,-
FD Adams,2023-2023,Paarl Royals,Cape Town Blitz,105.9,Medium,1072.0,80*,19.49,0.0,91,5/23,26.06,1,24.0,0.0,-6.57
I Manack,2023-2023,Paarl Royals,Tshwane Spartans,133.3,Offbreak,151.0,30,10.78,0.0,50,4/14,29.02,0,14.0,0.0,-18.23
JC Buttler,2023-2024,Paarl Royals,England,147.0,,13474.0,124,35.83,8.0,-,-,-,-,287.0,49.0,-
JJ Roy,2023-2024,Paarl Royals,England,140.0,,10554.0,145*,27.20,6.0,1,1/23,39.00,0,202.0,0.0,-11.79
L Ngidi,2023-2025,Paarl Royals,South Africa,77.5,Fast,80.0,13*,6.66,0.0,190,5/39,21.34,1,31.0,0.0,-14.68
M Van Buuren,2023-2025,Paarl Royals,Paarl Royals,107.9,Legbreak,1181.0,72*,26.84,0.0,0,-,-,0,19.0,0.0,-
PR Stirling,2023-2023,Paarl Royals,Ireland,141.4,Offbreak,8889.0,119,24.82,3.0,77,4/10,28.48,0,106.0,0.0,-3.65
RR Simmonds,2023-2023,Paarl Royals,Barbados Royals,230.8,Medium,30.0,13*,-,0.0,23,3/17,24.73,0,3.0,0.0,-
T Shamsi,2023-2024,Paarl Royals,South Africa,51.5,Chinaman,95.0,15*,4.52,0.0,348,5/24,22.32,1,40.0,0.0,-17.80
WJ Lubbe,2023-2024,Paarl Royals,South Africa,128.9,Offbreak,2302.0,102,22.13,1.0,28,3/20,34.35,0,35.0,0.0,-12.22
FA Allen,2024-2024,Paarl Royals,West Indies,141.6,Orthodox,1544.0,64*,17.54,0.0,100,4/24,27.46,0,68.0,0.0,-9.91
JA Turner,2024-2024,Paarl Royals,England,60.0,Medium,12.0,4,6.00,0.0,48,4/23,18.85,0,5.0,0.0,-12.85
N Peter,2024-2025,Paarl Royals,West Indies,116.0,Legbreak,41.0,11*,13.66,0.0,38,4/7,21.28,0,12.0,0.0,-7.62
OC McCoy,2024-2024,Paarl Royals,West Indies,102.1,Medium,182.0,23*,7.58,0.0,189,6/17,24.15,2,28.0,0.0,-16.57
AD Galiem,2025-2025,Paarl Royals,South Africa,87.2,Medium,756.0,74*,21.60,0.0,56,4/11,26.28,0,23.0,0.0,-4.68
D Marais,2025-2025,Paarl Royals,Paarl Royals,66.7,,389.0,87*,27.78,0.0,-,-,-,-,10.0,0.0,-
DN Wellalage,2025-2025,Paarl Royals,Sri Lanka,109.6,Orthodox,564.0,45,17.62,0.0,66,4/10,22.60,0,29.0,0.0,-4.98
E Malinga,2025-2025,Paarl Royals,Sunrisers Hyderabad,109.5,Medium,24.0,15,8.00,0.0,44,4/15,20.29,0,10.0,0.0,-12.29
JE Root,2025-2025,Paarl Royals,England,130.9,Offbreak,3062.0,92*,32.23,0.0,35,2/7,28.05,0,58.0,0.0,4.17
KD Karthik,2025-2025,Paarl Royals,India,136.8,,7537.0,97*,27.01,0.0,1,1/10,28.00,0,236.0,72.0,-0.98
KJ Dudgeon,2025-2025,Paarl Royals,Paarl Royals,50.0,Medium,387.0,36*,16.12,0.0,40,4/5,23.82,0,15.0,0.0,-7.69
KT Maphaka,2025-2025,Paarl Royals,South Africa,94.4,Medium,53.0,22*,26.50,0.0,49,4/18,25.22,0,12.0,0.0,1.27
LG Pretorius,2025-2025,Paarl Royals,South Africa,152.1,,1156.0,97,25.13,0.0,-,-,-,-,20.0,1.0,-
MJ Owen,2025-2025,Paarl Royals,Australia,183.4,Medium,1095.0,108,25.46,2.0,26,5/17,26.84,1,25.0,0.0,-1.38
Mujeeb Ur Rahman,2025-2025,Paarl Royals,Afghanistan,104.2,Offbreak,410.0,34,8.72,0.0,293,5/15,23.64,2,50.0,0.0,-14.92
RA Herman,2025-2025,Paarl Royals,South Africa,129.3,,1248.0,102,32.84,1.0,-,-,-,-,31.0,3.0,-
SR Hain,2025-2025,Paarl Royals,Brisbane Heat,134.1,Offbreak,5053.0,112*,38.57,1.0,-,-,-,-,87.0,0.0,-
A Nortje,2023-2023,Pretoria Capitals,South Africa,95.0,Fast,185.0,25,8.04,0.0,181,4/7,22.90,0,38.0,0.0,-14.85
AU Rashid,2023-2024,Pretoria Capitals,England,108.0,Legbreak,976.0,36*,11.34,0.0,379,4/2,22.97,0,86.0,0.0,-11.62
BKG Mendis,2023-2023,Pretoria Capitals,Sri Lanka,135.5,Legbreak,5101.0,105*,30.18,2.0,0,-,-,0,84.0,23.0,-
C Fortuin,2023-2023,Pretoria Capitals,Pretoria Capitals,78.6,,1368.0,104*,19.82,1.0,-,-,-,-,44.0,19.0,-
CA Ingram,2023-2024,Pretoria Capitals,South Africa,140.9,,9010.0,127*,28.33,4.0,40,4/32,32.97,0,124.0,0.0,-4.64
DM Dupavillon,2023-2025,Pretoria Capitals,Trinbago Knight Riders,75.8,Fast,53.0,8,5.88,0.0,90,5/20,21.90,1,17.0,0.0,-16.01
E Bosch,2023-2025,Pretoria Capitals,Barbados Royals,100.5,Fast,570.0,66,18.38,0.0,72,3/12,25.44,0,30.0,0.0,-7.05
JB Little,2023-2023,Pretoria Capitals,Ireland,82.3,Fast,226.0,27*,13.29,0.0,167,5/13,23.77,1,49.0,0.0,-10.48
JDS Neesham,2023-2025,Pretoria Capitals,New Zealand,140.9,Medium,4441.0,97*,23.49,0.0,260,5/22,25.03,1,124.0,0.0,-1.54
M Pretorius,2023-2025,Pretoria Capitals,Jamaica Tallawahs,122.0,Medium,412.0,38*,10.30,0.0,100,4/14,24.42,0,16.0,0.0,-14.11
PD Salt,2023-2024,Pretoria Capitals,England,155.9,Offbreak,7763.0,141*,28.12,4.0,-,-,-,-,165.0,14.0,-
