Player,Span,Team
J Edwards,2018-2025,Sydney Sixers
MW Edwards,2018-2021,Sydney Sixers
LW Feldman,2012-2013,Sydney Sixers
BJ Haddin,2011-2017,Sydney Sixers
JR Hazlewood,2011-2020,Sydney Sixers
MC Henriques,2011-2025,Sydney Sixers
JO Holder,2020-2020,Sydney Sixers
AJ Hosein,2024-2025,Sydney Sixers
DP Hughes,2012-2024,Sydney Sixers
Izharulhaq Naveed,2022-2023,Sydney Sixers
CJ Jordan,2021-2023,Sydney Sixers
SJC Keen,2015-2015,Sydney Sixers
H Kerr,2019-2025,Sydney Sixers
JK Lalor,2012-2014,Sydney Sixers
NCR Larkin,2016-2016,Sydney Sixers
TL Lawford,2015-2015,Sydney Sixers
B Lee,2011-2015,Sydney Sixers
JS Lenton,2022-2022,Sydney Sixers
MJ Lumb,2011-2017,Sydney Sixers
NM Lyon,2014-2023,Sydney Sixers
NL McCullum,2012-2012,Sydney Sixers
SCG MacGill,2011-2012,Sydney Sixers
NJ Maddinson,2011-2018,Sydney Sixers
BAD Manenti,2018-2025,Sydney Sixers
BMAJ Mendis,2012-2012,Sydney Sixers
JM Mennie,2016-2016,Sydney Sixers
IA Moran,2012-2012,Sydney Sixers
C Munro,2017-2017,Sydney Sixers
T Murphy,2021-2025,Sydney Sixers
SP Narine,2012-2012,Sydney Sixers
Naveen-ul-Haq,2022-2022,Sydney Sixers
PM Nevill,2011-2018,Sydney Sixers
MJ North,2013-2014,Sydney Sixers
SNJ O'Keefe,2012-2024,Sydney Sixers
KR Patterson,2012-2025,Sydney Sixers
M Perry,2025-2025,Sydney Sixers
JR Philippe,2018-2025,Sydney Sixers
L Pope,2018-2021,Sydney Sixers
BJ Rohrer,2011-2012,Sydney Sixers
JJ Roy,2016-2018,Sydney Sixers
DR Sams,2017-2018,Sydney Sixers
GS Sandhu,2020-2020,Sydney Sixers
SMSM Senanayake,2013-2013,Sydney Sixers
Shadab Khan,2021-2022,Sydney Sixers
L Shaw,2024-2025,Sydney Sixers
JC Silk,2013-2025,Sydney Sixers
DLR Smith,2012-2014,Sydney Sixers
SPD Smith,2011-2025,Sydney Sixers
WER Somerville,2016-2018,Sydney Sixers
MA Starc,2011-2014,Sydney Sixers
DJ Thornely,2011-2013,Sydney Sixers
HTRJY Thornton,2017-2017,Sydney Sixers
CT Tremlett,2014-2014,Sydney Sixers
JM Vince,2019-2025,Sydney Sixers
DA Warner,2012-2012,Sydney Sixers
MH Wessels,2014-2015,Sydney Sixers
GA West,2018-2018,Sydney Sixers
SA Abbott,2011-2013,Sydney Thunder
WA Agar,2024-2025,Sydney Thunder
TD Andrews,2024-2025,Sydney Thunder
TJ Armstrong,2012-2012,Sydney Thunder
Azhar Mahmood,2012-2012,Sydney Thunder
CT Bancroft,2023-2025,Sydney Thunder
AR Beadle,2015-2015,Sydney Thunder
SW Billings,2020-2025,Sydney Thunder
ND Bills,2012-2012,Sydney Thunder
AC Blizzard,2014-2018,Sydney Thunder
DE Bollinger,2011-2011,Sydney Thunder
CJ Borgas,2012-2014,Sydney Thunder
L Bowe,2020-2020,Sydney Thunder
CR Brathwaite,2017-2017,Sydney Thunder
LR Butterworth,2011-2012,Sydney Thunder
JC Buttler,2017-2019,Sydney Thunder
RGL Carters,2012-2014,Sydney Thunder
DT Christian,2025-2025,Sydney Thunder
JD Cook,2018-2021,Sydney Thunder
TA Copeland,2012-2012,Sydney Thunder
MJ Cosgrove,2012-2015,Sydney Thunder
SJ Coyte,2011-2014,Sydney Thunder
TD Cruickshank,2011-2012,Sydney Thunder
PJ Cummins,2014-2019,Sydney Thunder
BCJ Cutting,2020-2023,Sydney Thunder
J Davies,2023-2023,Sydney Thunder
O Davies,2020-2025,Sydney Thunder
MR Day,2012-2012,Sydney Thunder
BS Dean,2013-2013,Sydney Thunder
CS Delport,2015-2015,Sydney Thunder
AP Devcich,2019-2019,Sydney Thunder
TM Dilshan,2014-2014,Sydney Thunder
B Doggett,2020-2023,Sydney Thunder
JR Doran,2015-2016,Sydney Thunder
LA Doran,2011-2013,Sydney Thunder
BR Dunk,2011-2012,Sydney Thunder
FH Edwards,2011-2012,Sydney Thunder
Fawad Ahmed,2015-2019,Sydney Thunder
Fazalhaq Farooqi,2022-2022,Sydney Thunder
AL Fekete,2017-2017,Sydney Thunder
LW Feldman,2013-2014,Sydney Thunder
CJ Ferguson,2017-2021,Sydney Thunder
LH Ferguson,2024-2025,Sydney Thunder
JS Floros,2011-2014,Sydney Thunder
GHS Garton,2025-2025,Sydney Thunder
CH Gayle,2011-2013,Sydney Thunder
RJ Gibson,2016-2018,Sydney Thunder
M Gilkes,2019-2025,Sydney Thunder
TW Gray,2024-2024,Sydney Thunder
CJ Green,2015-2025,Sydney Thunder
MJ Guptill,2012-2012,Sydney Thunder
AD Hales,2019-2024,Sydney Thunder
CD Hartley,2014-2016,Sydney Thunder
LC Hatcher,2023-2024,Sydney Thunder
NM Hauritz,2014-2015,Sydney Thunder
BJ Holt,2019-2022,Sydney Thunder
DP Hughes,2013-2015,Sydney Thunder
MEK Hussey,2013-2016,Sydney Thunder
CJ Jordan,2019-2019,Sydney Thunder
JH Kallis,2014-2016,Sydney Thunder
SJC Keen,2012-2013,Sydney Thunder
UT Khawaja,2011-2022,Sydney Thunder
T Kohler-Cadmore,2023-2024,Sydney Thunder
SJ Konstas,2024-2025,Sydney Thunder
JK Lalor,2015-2015,Sydney Thunder
JS Lenton,2017-2020,Sydney Thunder
RJG Lockyear,2012-2012,Sydney Thunder
N McAndrew,2016-2025,Sydney Thunder
MJ McClenaghan,2017-2018,Sydney Thunder
AB McDonald,2014-2016,Sydney Thunder
CJ McKay,2015-2017,Sydney Thunder
S Mahmood,2021-2022,Sydney Thunder
BAW Mendis,2014-2014,Sydney Thunder
AF Milne,2020-2021,Sydney Thunder
Mohammad Hasnain,2022-2025,Sydney Thunder
IA Moran,2015-2015,Sydney Thunder
EJG Morgan,2013-2017,Sydney Thunder
CH Morris,2019-2020,Sydney Thunder
AJ Nair,2016-2022,Sydney Thunder
DP Nannes,2012-2015,Sydney Thunder
HM Nicholls,2016-2016,Sydney Thunder
B Nikitaras,2023-2025,Sydney Thunder
KR Patterson,2013-2018,Sydney Thunder
RR Pawson,2023-2023,Sydney Thunder
CA Philipson,2011-2011,Sydney Thunder
MJ Prior,2012-2013,Sydney Thunder
SL Rainbird,2018-2019,Sydney Thunder
CJL Rogers,2012-2012,Sydney Thunder
BJ Rohrer,2015-2018,Sydney Thunder
JE Root,2018-2019,Sydney Thunder
AI Ross,2019-2024,Sydney Thunder
RR Rossouw,2022-2023,Sydney Thunder
JJ Roy,2015-2015,Sydney Thunder
AD Russell,2015-2017,Sydney Thunder
SE Rutherford,2024-2025,Sydney Thunder
DR Sams,2018-2025,Sydney Thunder
GS Sandhu,2012-2024,Sydney Thunder
CS Sandri,2013-2013,Sydney Thunder
JJS Sangha,2018-2025,Sydney Thunder
T Sangha,2020-2025,Sydney Thunder
DLR Smith,2011-2012,Sydney Thunder
CP Tremain,2012-2021,Sydney Thunder
AJ Tye,2014-2014,Sydney Thunder
Usman Qadir,2022-2023,Sydney Thunder
JM Vince,2017-2018,Sydney Thunder
DA Warner,2011-2025,Sydney Thunder
SR Watson,2015-2019,Sydney Thunder
HD Weibgen,2025-2025,Sydney Thunder
SM Whiteman,2021-2023,Sydney Thunder
CR Woakes,2013-2013,Sydney Thunder
Zaman Khan,2023-2023,Sydney Thunder
A Zampa,2012-2013,Sydney Thunder
