Player,Span,Team,Country,SR,Bowling Style
Saeed Ajmal,2012-2012,Adelaide Strikers,Pakistan,116.4,Offbreak
DR Salpietro,2012-2012,Adelaide Strikers,Adelaide Strikers,48.1,Offbreak
PD Salt,2019-2021,Adelaide Strikers,England,155.9,Offbreak
L Scott,2020-2025,Adelaide Strikers,Adelaide Strikers,129.9,
Shakib Al Hasan,2014-2014,Adelaide Strikers,Bangladesh,126.2,Orthodox
DJM Short,2023-2025,Adelaide Strikers,Australia,130.5,Chinaman
MW Short,2018-2025,Adelaide Strikers,Australia,147.2,Offbreak
PM Siddle,2017-2023,Adelaide Strikers,Australia,89.2,Medium
CJ Simmons,2014-2015,Adelaide Strikers,Perth Scorchers,139.7,
JD Smith,2012-2012,Adelaide Strikers,Adelaide Strikers,52.9,Offbreak
KR Smith,2015-2017,Adelaide Strikers,Adelaide Strikers,104.8,Offbreak
IS Sodhi,2017-2017,Adelaide Strikers,New Zealand,106.3,Legbreak
B Stanlake,2015-2020,Adelaide Strikers,Australia,59.3,Fast
SW Tait,2012-2015,Adelaide Strikers,Australia,75.3,Fast
RN ten Doeschate,2015-2015,Adelaide Strikers,Netherlands,134.4,Medium
AC Thomas,2011-2012,Adelaide Strikers,South Africa,107.3,Medium
HTRJY Thornton,2022-2025,Adelaide Strikers,Sydney Sixers,80.0,Fast
C Valente,2018-2021,Adelaide Strikers,Adelaide Strikers,118.3,Medium
J Weatherald,2016-2025,Adelaide Strikers,Adelaide Strikers,130.9,Legbreak
JW Wells,2017-2022,Adelaide Strikers,Hobart Hurricanes,121.5,Medium
GA West,2016-2016,Adelaide Strikers,Adelaide Strikers,0.0,Medium
CL White,2019-2020,Adelaide Strikers,Australia,121.1,Legbreak
DJ Worrall,2020-2021,Adelaide Strikers,Melbourne Stars,99.5,Medium
BE Young,2012-2013,Adelaide Strikers,Adelaide Strikers,80.0,Orthodox
A Zampa,2013-2015,Adelaide Strikers,Australia,86.5,Legbreak
TB Abell,2021-2021,Brisbane Heat,Brisbane Heat,133.5,Medium
TP Alsop,2025-2025,Brisbane Heat,Brisbane Heat,130.8,
S Badree,2015-2017,Brisbane Heat,West Indies,80.6,Legbreak
T Banton,2019-2025,Brisbane Heat,England,141.9,
XC Bartlett,2020-2025,Brisbane Heat,Australia,124.2,Medium
JJ Bazley,2020-2023,Brisbane Heat,Brisbane Heat,129.6,Medium
SW Billings,2022-2024,Brisbane Heat,England,134.3,
J Brown,2022-2024,Brisbane Heat,Brisbane Heat,148.8,
M Bryant,2018-2025,Brisbane Heat,Brisbane Heat,139.8,Medium
ND Buchanan,2011-2017,Brisbane Heat,Brisbane Heat,73.3,Medium
JA Burns,2012-2021,Brisbane Heat,Italy,121.3,Medium
DT Christian,2011-2015,Brisbane Heat,Australia,137.9,Medium
J Clayton,2022-2022,Brisbane Heat,Brisbane Heat,91.3,
TLW Cooper,2020-2022,Brisbane Heat,Netherlands,128.5,Offbreak
BCJ Cutting,2012-2020,Brisbane Heat,Australia,145.6,Medium
JL Denly,2021-2021,Brisbane Heat,England,127.4,Legbreak
AB de Villiers,2020-2020,Brisbane Heat,South Africa,149.4,Medium
B Doggett,2017-2019,Brisbane Heat,Brisbane Heat,102.4,Medium
PG Dooley,2022-2022,Brisbane Heat,Brisbane Heat,81.8,Chinaman
DR Drew,2024-2025,Brisbane Heat,Adelaide Strikers,117.3,Offbreak
BM Duckett,2021-2022,Brisbane Heat,England,140.6,Offbreak
RM Duffield,2014-2015,Brisbane Heat,Brisbane Heat,33.3,Medium
Fakhar Zaman,2022-2022,Brisbane Heat,Pakistan,134.9,Orthodox
AL Fekete,2015-2016,Brisbane Heat,Melbourne Renegades,25.0,Medium
LW Feldman,2015-2015,Brisbane Heat,Sydney Sixers,116.7,Medium
A Flintoff,2014-2015,Brisbane Heat,England,125.9,Fast
JS Floros,2015-2018,Brisbane Heat,Sydney Thunder,104.5,Offbreak
PJ Forrest,2011-2015,Brisbane Heat,Brisbane Heat,106.5,Medium
CJ Gannon,2012-2021,Brisbane Heat,United States of America,100.8,Medium
DMK Grant,2022-2022,Brisbane Heat,Brisbane Heat,100.0,Medium
L Gregory,2020-2021,Brisbane Heat,England,140.8,Medium
L Guthrie,2021-2022,Brisbane Heat,Brisbane Heat,141.7,Fast
SR Hain,2023-2023,Brisbane Heat,Brisbane Heat,134.1,Offbreak
RJ Harris,2011-2014,Brisbane Heat,Australia,107.4,Fast
CD Hartley,2011-2013,Brisbane Heat,Brisbane Heat,105.2,
NM Hauritz,2011-2013,Brisbane Heat,Australia,120.9,Offbreak
ML Hayden,2011-2012,Brisbane Heat,Australia,136.9,Medium
SD Heazlett,2015-2023,Brisbane Heat,Brisbane Heat,123.9,Orthodox
JR Hopes,2011-2016,Brisbane Heat,Australia,119.4,Medium
SH Johnson,2023-2025,Brisbane Heat,Australia,111.0,Fast
UT Khawaja,2023-2025,Brisbane Heat,Australia,133.2,Offbreak
C Kieswetter,2013-2014,Brisbane Heat,England,121.5,
MP Kuhnemann,2019-2025,Brisbane Heat,Australia,74.2,Orthodox
M Labuschagne,2017-2025,Brisbane Heat,Australia,127.5,Legbreak
JK Lalor,2015-2020,Brisbane Heat,Perth Scorchers,87.0,Medium
B Laughlin,2019-2021,Brisbane Heat,Australia,86.4,Medium
DW Lawrence,2020-2020,Brisbane Heat,Brisbane Heat,141.9,Offbreak
JS Lehmann,2022-2022,Brisbane Heat,Adelaide Strikers,109.6,Orthodox
CA Lynn,2011-2022,Brisbane Heat,Australia,143.8,Orthodox
BB McCullum,2011-2019,Brisbane Heat,New Zealand,135.1,Medium
AC McDermott,2011-2015,Brisbane Heat,Brisbane Heat,50.0,Medium
BR McDermott,2014-2014,Brisbane Heat,Australia,136.2,Medium
RH McDonald,2022-2022,Brisbane Heat,Brisbane Heat,,Medium
S McGiffin,2022-2022,Brisbane Heat,Brisbane Heat,87.0,Medium
NA McSweeney,2022-2025,Brisbane Heat,Melbourne Renegades,116.9,Offbreak
S Milenko,2014-2020,Brisbane Heat,Brisbane Heat,120.7,Medium
TS Mills,2017-2017,Brisbane Heat,England,105.9,Fast
M Morkel,2021-2021,Brisbane Heat,South Africa,117.0,Fast
Mujeeb Ur Rahman,2018-2022,Brisbane Heat,Afghanistan,104.2,Offbreak
C Munro,2022-2025,Brisbane Heat,New Zealand,140.1,Medium
MG Neser,2011-2025,Brisbane Heat,Brisbane Heat,128.0,Medium
SD Parry,2015-2015,Brisbane Heat,England,111.1,Orthodox
JL Pattinson,2018-2020,Brisbane Heat,Australia,110.3,Medium
SJ Paulsen,2012-2012,Brisbane Heat,Brisbane Heat,134.6,Legbreak
JJ Peirson,2014-2024,Brisbane Heat,Brisbane Heat,121.1,None
NLTC Perera,2012-2013,Brisbane Heat,Sri Lanka,152.1,Medium
