Team,Player Name,Role,Country,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR,
Perth Scorchers,Nick Hobson,Top order Batter,Australia,481,48*,25.31,0,-,-,-,-,22,0,-,134,
Perth Scorchers,Matty Hurst,Wicketkeeper Batter,Australia,659,78,19.96,0,-,-,-,-,21,3,-,0,
Perth Scorchers,Josh Inglis,Wicketkeeper Batter,Australia,3820,118*,30.31,4,-,-,-,-,110,21,-,150.9,
Perth Scorchers,Keaton Jennings,Opening Batter,England,2509,108,30.97,1,22,Apr-37,28.54,0,36,0,2.42,132.7,
Perth Scorchers,Matthew Spoors,Batter,Australia,347,108*,34.7,1,2,5-Jan,33.5,0,2,0,1.2,114.9,
Perth Scorchers,Ashton Turner,Middle order Batter,Australia,3860,84*,24.9,0,35,20-Mar,25.62,0,96,0,-0.72,140.6,
Perth Scorchers,Cooper Connolly,Batting Allrounder,Australia,646,66,32.3,0,13,25-Mar,26.76,0,11,0,5.53,132.9,
Perth Scorchers,Aaron Hardie,Allrounder,Australia,1516,90*,26.13,0,44,21-Mar,27.75,0,41,0,-1.61,130.2,
Perth Scorchers,Mitchell Marsh,Allrounder,Australia,5419,117,33.45,3,85,6-Apr,25.75,0,83,0,7.69,138,
Perth Scorchers,Ashton Agar,Bowler,Australia,1408,68,16.76,0,137,30-Jun,29.59,2,91,0,-12.83,118.4,
Perth Scorchers,Mahli Beardman,Bowler,Australia,,,,,,,,,,,,33.3,
Perth Scorchers,Jason Behrendorff,Bowler,Australia,175,26,13.46,0,213,21-Apr,22.17,0,56,0,-8.71,103.5,
Perth Scorchers,Matthew Kelly,Bowler,Australia,104,23*,11.55,0,60,25-Apr,20.85,0,13,0,-9.29,125,
Perth Scorchers,Lance Morris,Bowler,Australia,3,2,1,0,40,24-May,22.95,1,7,0,-21.94,27.3,
Perth Scorchers,Jhye Richardson,Bowler,Australia,349,33*,13.96,0,124,9-Apr,22.89,0,30,0,-8.93,110.4,
Perth Scorchers,Andrew Tye,Bowler,Australia,741,44,12.77,0,342,17-May,21.33,3,87,0,-8.56,128.1,
Sydney Sixers,Daniel Hughes,Opening Batter,Australia,3350,96*,29.38,0,-,-,-,-,40,0,-,130.8,
Sydney Sixers,Kurtis Patterson,Middle order Batter,Australia,1264,78,21.79,0,-,-,-,-,33,0,-,120.4,
Sydney Sixers,Josh Philippe,Wicketkeeper Batter,Australia,2823,99*,25.66,0,-,-,-,-,87,15,-,133.5,
Sydney Sixers,Jordan Silk,Middle order Batter,Australia,2402,78,31.6,0,-,-,-,-,85,0,-,125.4,
