Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
MR Adair,2016-2025,1226,72,14.95,0,187,4/13,19.93,0,71,0,-4.98
Rehan Ahmed,2022-2025,947,52*,18.94,0,80,4/22,27.41,0,22,0,-8.47
TP Alsop,2016-2025,2229,87*,27.51,0,-,-,-,-,37,5,-
CR Brathwaite,2011-2024,2385,64*,15.69,0,248,4/14,25.75,0,108,0,-10.05
JM Cox,2019-2025,3510,139*,30.78,1,-,-,-,-,102,7,-
TH David,2018-2025,5833,102*,30.86,1,15,1/0,64.06,0,170,0,-33.20
LA Dawson,2008-2025,2888,82,17.60,0,270,5/17,25.39,1,125,0,-7.78
C de Grandhomme,,,,,,,,,,,,
DC Drakes,2018-2025,542,48*,15.48,0,73,3/18,31.98,0,26,0,-16.50
MG Erasmus,,,,,,,,,,,,
RJ Gleeson,2016-2025,65,8,4.64,0,149,5/33,23.55,1,25,0,-18.90
TG Helm,2016-2025,289,28*,11.56,0,129,5/11,26.23,1,23,0,-14.67
MADI Hemantha,2014-2025,895,59*,17.21,0,82,6/23,16.67,1,38,0,0.54
SO Hetmyer,2016-2025,5938,100,26.50,1,-,-,-,-,158,0,-
Ibrahim Zadran,2017-2025,3097,101*,30.36,1,6,3/42,44.33,0,65,0,-13.97
CJ Jordan,2008-2025,2476,73,16.84,0,439,4/6,27.05,0,214,0,-10.21
Karim Janat,2016-2025,2817,120,22.71,2,125,5/11,28.82,1,43,0,-6.10
CA Lynn,2010-2025,8526,113*,32.91,6,3,2/15,31.00,0,72,0,1.91
B Muzarabani,2018-2025,74,9*,3.36,0,134,3/8,23.85,0,20,0,-20.48
J Overton,2015-2025,1687,83*,20.57,0,133,5/47,27.20,1,95,0,-6.62
OJ Pope,2017-2025,1720,99*,27.74,0,-,-,-,-,36,3,-
OG Robinson,2014-2025,228,31,10.85,0,71,4/15,28.80,0,33,0,-17.94
Saghir Khan,,,,,,,,,,,,
SM Sharma,2021-2025,6,4,2.00,0,1,1/47,163.00,0,1,0,-160.99
JL Smith,2018-2025,1687,87,24.44,0,-,-,-,-,53,10,-
