Team,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Gulf Giants,James Vince,Batter,12655,129*,31.95,7,3,5-Jan,29,0,259,0,2.95,137.3
Gulf Giants,Dipendra Singh Airee,Middle order Batter,2062,110*,30.77,1,60,18-Apr,21.2,0,48,0,9.57,139.2
Gulf Giants,Tom Alsop,Wicketkeeper Batter,2229,87*,27.51,0,-,-,-,-,37,5,-,130.8
Gulf Giants,Jordan Cox,Wicketkeeper Batter,3581,139*,30.87,1,-,-,-,-,105,7,-,142.4
Gulf Giants,Tim David,Middle order Batter,5857,102*,30.82,1,15,Jan-00,64.06,0,172,0,-33.24,161.8
Gulf Giants,Shimron Hetmyer,Middle order Batter,5942,100,26.4,1,-,-,-,-,158,0,-,142.4
Gulf Giants,Ibrahim Zadran,Opening Batter,3157,101*,30.06,1,6,Mar-42,44.33,0,66,0,-14.26,110.6
Gulf Giants,Adam Lyth,Batter,4979,161,24.64,1,26,31-May,27.34,1,107,0,-2.69,144.8
Gulf Giants,Ollie Robinson,Wicketkeeper Batter,228,31,10.85,0,71,15-Apr,28.8,0,33,0,-17.94,0
Gulf Giants,Jamie Smith,Wicketkeeper Batter,1687,87,24.44,0,-,-,-,-,53,10,-,144.4
Gulf Giants,Aayan Afzal Khan,Bowling Allrounder,219,42,13.68,0,53,16-Apr,18.35,0,10,0,-4.67,89
Gulf Giants,Mark Adair,Bowling Allrounder,1226,72,14.95,0,187,13-Apr,19.93,0,71,0,-4.98,125.4
Gulf Giants,Tom Curran,Allrounder,2396,67*,21.58,0,255,15-Apr,25.52,0,66,0,-3.93,143.5
Gulf Giants,Dominic Drakes,Bowling Allrounder,542,48*,15.48,0,73,18-Mar,31.98,0,26,0,-16.5,121.8
Gulf Giants,Gerhard Erasmus,Allrounder,2640,100*,25.38,1,64,7-Mar,19.25,0,70,5,6.13,123.7
Gulf Giants,Dushan Hemantha,Allrounder,895,59*,17.21,0,82,23-Jun,16.67,1,38,0,0.54,118.3
Gulf Giants,Jamie Overton,Bowling Allrounder,1687,83*,20.57,0,133,May-47,27.2,1,95,0,-6.62,157.5
Gulf Giants,Rehan Ahmed,Bowling Allrounder,956,52*,19.12,0,80,22-Apr,27.41,0,22,0,-8.29,123.3
Gulf Giants,Chris Jordan,Bowler,2476,73,16.84,0,439,6-Apr,27.05,0,214,0,-10.21,134.2
Gulf Giants,Tymal Mills,Bowler,237,30,6.07,0,320,13-Apr,23.36,0,39,0,-17.29,105.9
Gulf Giants,Blessing Muzarabani,Bowler,74,9*,3.36,0,140,8-Mar,23.57,0,20,0,-20.2,60.2
Gulf Giants,Saghir Khan,Bowler,,,,,,,,,,,,156.8
Gulf Giants,Daniel Worrall,Bowler,178,62*,11.86,0,104,23-Apr,28.69,0,27,0,-16.82,99.5
Gulf Giants,Muhammad Zuhaib,Bowler,90,26*,11.25,0,31,21-May,19.32,1,8,0,-8.07,0
Gulf Giants,Uzair Khan,,,,,,,,,,,,,0
Gulf Giants,Wahidullah Zadran,,0,0,0,0,28,22-Apr,16.32,0,2,0,-16.32,
MI Emirates,Nicholas Pooran,Wicketkeeper Batter,9952,108*,30.06,4,-,-,-,-,243,36,-,149.6
MI Emirates,Aryan Lakra,Batter,118,63*,14.75,0,2,14-Jan,27,0,5,0,-12.24,105.4
MI Emirates,Tom Banton,Wicketkeeper Batter,4778,107*,27.3,4,-,-,-,-,103,10,-,142.2
MI Emirates,Ben Charlesworth,Middle order Batter,776,56,24.25,0,7,5-Feb,33.57,0,13,0,-9.32,145.6
MI Emirates,Andre Fletcher,Top order Batter,8513,118,28.85,5,3,22-Feb,26.33,0,165,23,2.52,124.4
MI Emirates,Muhammad Waseem,Opening Batter,3847,112,34.34,3,5,13-Feb,28.2,0,94,0,6.14,149.2
MI Emirates,Kusal Perera,Wicketkeeper Batter,5022,102*,26.71,2,-,-,-,-,64,27,-,137.4
MI Emirates,Dan Mousley,Batting Allrounder,1596,68,22.47,0,70,19-Apr,21.42,0,56,0,1.05,130.5
MI Emirates,Kieron Pollard,Batting Allrounder,14237,104,31.85,1,333,15-Apr,25.36,0,401,0,6.48,149.9
MI Emirates,Romario Shepherd,Bowling Allrounder,2186,73*,23.25,0,189,13-Apr,26.12,0,46,0,-2.86,155.5
MI Emirates,Jordan Thompson,Bowling Allrounder,1262,74,17.05,0,131,21-May,25.21,1,44,0,-8.15,153.8
MI Emirates,Fareed Ahmad,Bowler,157,24*,9.23,0,92,14-Mar,27.66,0,18,0,-18.42,81
MI Emirates,Fazalhaq Farooqi,Bowler,52,16*,6.5,0,172,9-May,21.04,4,20,0,-14.54,59.3
MI Emirates,AM Ghazanfar,Bowler,88,28,6.76,0,55,12-Apr,20.6,0,5,0,-13.83,106.7
MI Emirates,Akeal Hosein,Bowler,1093,55*,15.61,0,230,11-May,25.14,1,47,0,-9.53,110.6
MI Emirates,Alzarri Joseph,Bowler,484,29*,13.08,0,200,12-Jun,25.7,2,57,0,-12.62,107.1
MI Emirates,Nosthush Kenjige,Bowler,28,9*,4.66,0,34,21-Mar,25.5,0,6,0,-20.83,73.3
MI Emirates,Muhammad Rohid,Bowler,4,2*,4,0,35,21-Mar,18.65,0,6,0,-14.65,133.3
MI Emirates,Waqar Salamkheil,Bowler,23,7,11.5,0,113,14-Apr,21.49,0,7,0,-9.99,48.8
MI Emirates,Zahoor Khan,Bowler,15,6,3,0,97,16-Apr,21.87,0,14,0,-18.87,51.7
MI Emirates,Thomas Draca,,-,-,-,-,8,9-Mar,15.5,0,2,0,-,
Sharjah Warriorz,Johnson Charles,Wicketkeeper Batter,8101,119*,27.18,4,5,5-Jan,14.6,0,114,7,12.58,135.5
Sharjah Warriorz,Ethan D'Souza,Batter,162,34,14.72,0,4,9-Apr,5.5,0,8,0,9.22,113.3
Sharjah Warriorz,Avishka Fernando,Opening Batter,3606,100,27.52,1,0,-,-,0,42,0,-,134.6
Sharjah Warriorz,Tom Kohler-Cadmore,Wicketkeeper Batter,6524,127,28.36,1,-,-,-,-,129,5,-,141.3
Sharjah Warriorz,Bhanuka Rajapaksa,Top order Batter,4176,100,22.81,1,28,11-Mar,18.42,0,62,1,4.39,137.2
Sharjah Warriorz,Rohan Mustafa,Top order Batter,1497,77,20.22,0,80,18-Apr,21.62,0,43,0,-1.39,117.6
Sharjah Warriorz,Jason Roy,Opening Batter,10554,145*,27.2,6,1,23-Jan,39,0,202,0,-11.79,140
Sharjah Warriorz,Tim Seifert,Wicketkeeper Batter,6675,125*,28.52,4,-,-,-,-,181,37,-,135
Sharjah Warriorz,Matthew Wade,Wicketkeeper Batter,5267,130*,26.73,1,-,-,-,-,150,20,-,137.4
Sharjah Warriorz,Luke Wells,Top order Batter,1425,87,18.26,0,41,19-Feb,36.09,0,38,0,-17.82,142.1
Sharjah Warriorz,Kusal Mendis,Wicketkeeper Batter,5101,105*,29.83,2,0,-,-,0,84,23,-,135.4
