Player,Span,Team,Record Type
RJ Gibson,2020-2023,Adelaide Strikers,Bowling
AD Hales,2013-2014,Adelaide Strikers,Bowling
DJ Harris,2011-2012,Adelaide Strikers,Bowling
L Haskett,2025-2025,Adelaide Strikers,Bowling
TM Head,2013-2023,Adelaide Strikers,Bowling
BJ Hodge,2014-2017,Adelaide Strikers,Bowling
JM Holland,2014-2016,Adelaide Strikers,Bowling
AJ Hose,2022-2024,Adelaide Strikers,Bowling
PJ Hughes,2012-2014,Adelaide Strikers,Bowling
HJ Hunt,2022-2023,Adelaide Strikers,Bowling
CA Ingram,2017-2019,Adelaide Strikers,Bowling
DPMD Jayawardene,2015-2016,Adelaide Strikers,Bowling
MJ Johnston,2012-2012,Adelaide Strikers,Bowling
CJ Jordan,2016-2017,Adelaide Strikers,Bowling
T Kelly,2021-2024,Adelaide Strikers,Bowling
HP Kingston,2015-2015,Adelaide Strikers,Bowling
M Klinger,2011-2014,Adelaide Strikers,Bowling
B Laughlin,2014-2019,Adelaide Strikers,Bowling
TL Lawford,2014-2015,Adelaide Strikers,Bowling
JS Lehmann,2016-2019,Adelaide Strikers,Bowling
TP Ludeman,2012-2017,Adelaide Strikers,Bowling
CA Lynn,2022-2025,Adelaide Strikers,Bowling
NM Lyon,2011-2013,Adelaide Strikers,Bowling
BE McGain,2011-2012,Adelaide Strikers,Bowling
BAD Manenti,2022-2024,Adelaide Strikers,Bowling
HJ Manenti,2025-2025,Adelaide Strikers,Bowling
JM Muirhead,2012-2012,Adelaide Strikers,Bowling
MG Neser,2012-2021,Adelaide Strikers,Bowling
HJ Nielsen,2018-2024,Adelaide Strikers,Bowling
BS Oakley,2013-2013,Adelaide Strikers,Bowling
AW O'Brien,2011-2012,Adelaide Strikers,Bowling
LN O'Connor,2016-2021,Adelaide Strikers,Bowling
J Overton,2023-2025,Adelaide Strikers,Bowling
DA Payne,2023-2024,Adelaide Strikers,Bowling
KA Pollard,2012-2017,Adelaide Strikers,Bowling
L Pope,2024-2025,Adelaide Strikers,Bowling
OJ Pope,2024-2025,Adelaide Strikers,Bowling
GD Putland,2012-2016,Adelaide Strikers,Bowling
AU Rashid,2015-2016,Adelaide Strikers,Bowling
Rashid Khan,2017-2023,Adelaide Strikers,Bowling
NJ Reardon,2012-2014,Adelaide Strikers,Bowling
MT Renshaw,2020-2022,Adelaide Strikers,Bowling
KW Richardson,2011-2016,Adelaide Strikers,Bowling
AI Ross,2014-2025,Adelaide Strikers,Bowling
Saeed Ajmal,2012-2012,Adelaide Strikers,Bowling
DR Salpietro,2012-2012,Adelaide Strikers,Bowling
PD Salt,2019-2021,Adelaide Strikers,Bowling
L Scott,2020-2025,Adelaide Strikers,Bowling
Shakib Al Hasan,2014-2014,Adelaide Strikers,Bowling
DJM Short,2023-2025,Adelaide Strikers,Bowling
MW Short,2018-2025,Adelaide Strikers,Bowling
PM Siddle,2017-2023,Adelaide Strikers,Bowling
CJ Simmons,2014-2015,Adelaide Strikers,Bowling
JD Smith,2012-2012,Adelaide Strikers,Bowling
KR Smith,2015-2017,Adelaide Strikers,Bowling
IS Sodhi,2017-2017,Adelaide Strikers,Bowling
B Stanlake,2015-2020,Adelaide Strikers,Bowling
SW Tait,2012-2015,Adelaide Strikers,Bowling
RN ten Doeschate,2015-2015,Adelaide Strikers,Bowling
AC Thomas,2011-2012,Adelaide Strikers,Bowling
HTRJY Thornton,2022-2025,Adelaide Strikers,Bowling
C Valente,2018-2021,Adelaide Strikers,Bowling
J Weatherald,2016-2025,Adelaide Strikers,Bowling
JW Wells,2017-2022,Adelaide Strikers,Bowling
GA West,2016-2016,Adelaide Strikers,Bowling
CL White,2019-2020,Adelaide Strikers,Bowling
DJ Worrall,2020-2021,Adelaide Strikers,Bowling
BE Young,2012-2013,Adelaide Strikers,Bowling
A Zampa,2013-2015,Adelaide Strikers,Bowling
TB Abell,2021-2021,Brisbane Heat,Batting
TP Alsop,2025-2025,Brisbane Heat,Batting
S Badree,2015-2017,Brisbane Heat,Batting
T Banton,2019-2025,Brisbane Heat,Batting
XC Bartlett,2020-2025,Brisbane Heat,Batting
JJ Bazley,2020-2023,Brisbane Heat,Batting
