Player,Span,Team,Record Type
T Luus,2025-2025,MI Cape Town,Batting
WB Marshall,2023-2023,MI Cape Town,Batting
DL Piedt,2025-2025,MI Cape Town,Batting
KA Pollard,2024-2024,MI Cape Town,Batting
D Potgieter,2023-2025,MI Cape Town,Batting
MJ Potts,2025-2025,MI Cape Town,Batting
K Rabada,2023-2025,MI Cape Town,Batting
Rashid Khan,2023-2025,MI Cape Town,Batting
RD Rickelton,2023-2025,MI Cape Town,Batting
G Roelofsen,2023-2023,MI Cape Town,Batting
Sediqullah Atal,2025-2025,MI Cape Town,Batting
OF Smith,2023-2023,MI Cape Town,Batting
OP Stone,2023-2024,MI Cape Town,Batting
N Thushara,2024-2024,MI Cape Town,Batting
HE van der Dussen,2023-2025,MI Cape Town,Batting
N van Heerden,2024-2024,MI Cape Town,Batting
Waqar Salamkheil,2023-2023,MI Cape Town,Batting
JC Archer,2023-2023,MI Cape Town,Bowling
Azmatullah Omarzai,2025-2025,MI Cape Town,Bowling
CG Benjamin,2025-2025,MI Cape Town,Bowling
C Bosch,2025-2025,MI Cape Town,Bowling
TA Boult,2025-2025,MI Cape Town,Bowling
D Brevis,2023-2025,MI Cape Town,Bowling
SM Curran,2023-2024,MI Cape Town,Bowling
TH David,2023-2023,MI Cape Town,Bowling
C Esterhuizen,2024-2025,MI Cape Town,Bowling
BE Hendricks,2023-2024,MI Cape Town,Bowling
RR Hendricks,2025-2025,MI Cape Town,Bowling
CA Ingram,2025-2025,MI Cape Town,Bowling
D Jansen,2023-2023,MI Cape Town,Bowling
TP Kaber,2024-2025,MI Cape Town,Bowling
GF Linde,2023-2025,MI Cape Town,Bowling
LS Livingstone,2024-2024,MI Cape Town,Bowling
T Luus,2025-2025,MI Cape Town,Bowling
WB Marshall,2023-2023,MI Cape Town,Bowling
DL Piedt,2025-2025,MI Cape Town,Bowling
KA Pollard,2024-2024,MI Cape Town,Bowling
D Potgieter,2023-2025,MI Cape Town,Bowling
MJ Potts,2025-2025,MI Cape Town,Bowling
K Rabada,2023-2025,MI Cape Town,Bowling
Rashid Khan,2023-2025,MI Cape Town,Bowling
RD Rickelton,2023-2025,MI Cape Town,Bowling
G Roelofsen,2023-2023,MI Cape Town,Bowling
Sediqullah Atal,2025-2025,MI Cape Town,Bowling
OF Smith,2023-2023,MI Cape Town,Bowling
OP Stone,2023-2024,MI Cape Town,Bowling
N Thushara,2024-2024,MI Cape Town,Bowling
HE van der Dussen,2023-2025,MI Cape Town,Bowling
N van Heerden,2024-2024,MI Cape Town,Bowling
Waqar Salamkheil,2023-2023,MI Cape Town,Bowling
FD Adams,2023-2023,Paarl Royals,Batting
FA Allen,2024-2024,Paarl Royals,Batting
C Bosch,2023-2023,Paarl Royals,Batting
JC Buttler,2023-2024,Paarl Royals,Batting
KJ Dudgeon,2025-2025,Paarl Royals,Batting
BC Fortuin,2023-2025,Paarl Royals,Batting
AD Galiem,2025-2025,Paarl Royals,Batting
SR Hain,2025-2025,Paarl Royals,Batting
RA Herman,2025-2025,Paarl Royals,Batting
E Jones,2023-2024,Paarl Royals,Batting
KD Karthik,2025-2025,Paarl Royals,Batting
WJ Lubbe,2023-2024,Paarl Royals,Batting
OC McCoy,2024-2024,Paarl Royals,Batting
E Malinga,2025-2025,Paarl Royals,Batting
I Manack,2023-2023,Paarl Royals,Batting
KT Maphaka,2025-2025,Paarl Royals,Batting
D Marais,2025-2025,Paarl Royals,Batting
DA Miller,2023-2025,Paarl Royals,Batting
EJG Morgan,2023-2023,Paarl Royals,Batting
Mujeeb Ur Rahman,2025-2025,Paarl Royals,Batting
L Ngidi,2023-2025,Paarl Royals,Batting
MJ Owen,2025-2025,Paarl Royals,Batting
N Peter,2024-2025,Paarl Royals,Batting
AL Phehlukwayo,2023-2025,Paarl Royals,Batting
LG Pretorius,2025-2025,Paarl Royals,Batting
JE Root,2025-2025,Paarl Royals,Batting
JJ Roy,2023-2024,Paarl Royals,Batting
T Shamsi,2023-2024,Paarl Royals,Batting
RR Simmonds,2023-2023,Paarl Royals,Batting
PR Stirling,2023-2023,Paarl Royals,Batting
JA Turner,2024-2024,Paarl Royals,Batting
M Van Buuren,2023-2025,Paarl Royals,Batting
DJ Vilas,2023-2024,Paarl Royals,Batting
DN Wellalage,2025-2025,Paarl Royals,Batting
Codi Yusuf,2023-2024,Paarl Royals,Batting
