Player,Span,Team,Record Type,StartYear,EndYear
TL Suman,2009-2010,Royal Challengers Bangalore,Batting,2009,2010
AA Bilakhia,2009-2010,Royal Challengers Bangalore,Bowling,2009,2010
RJ Harris,2009-2010,Royal Challengers Bangalore,Bowling,2009,2010
Jaskaran Singh,2009-2010,Royal Challengers Bangalore,Bowling,2009,2010
DR Smith,2009-2010,Royal Challengers Bangalore,Bowling,2009,2010
TL Suman,2009-2010,Royal Challengers Bangalore,Bowling,2009,2010
Harmeet Singh,2009-2011,Royal Challengers Bangalore,Batting,2009,2011
Harmeet Singh,2009-2011,Royal Challengers Bangalore,Bowling,2009,2011
Anirudh Singh,2010-2010,Royal Challengers Bangalore,Batting,2010,2010
MR Marsh,2010-2010,Royal Challengers Bangalore,Batting,2010,2010
MD Mishra,2010-2010,Royal Challengers Bangalore,Batting,2010,2010
KAJ Roach,2010-2010,Royal Challengers Bangalore,Batting,2010,2010
R Sharma,2010-2010,Royal Challengers Bangalore,Batting,2010,2010
B Sumanth,2010-2010,Royal Challengers Bangalore,Batting,2010,2010
Anirudh Singh,2010-2010,Royal Challengers Bangalore,Bowling,2010,2010
MR Marsh,2010-2010,Royal Challengers Bangalore,Bowling,2010,2010
MD Mishra,2010-2010,Royal Challengers Bangalore,Bowling,2010,2010
KAJ Roach,2010-2010,Royal Challengers Bangalore,Bowling,2010,2010
R Sharma,2010-2010,Royal Challengers Bangalore,Bowling,2010,2010
B Sumanth,2010-2010,Royal Challengers Bangalore,Bowling,2010,2010
KH Devdhar,2011-2011,Royal Challengers Bangalore,Batting,2011,2011
MJ Lumb,2011-2011,Royal Challengers Bangalore,Batting,2011,2011
I Malhotra,2011-2011,Royal Challengers Bangalore,Batting,2011,2011
I Sharma,2011-2011,Royal Challengers Bangalore,Batting,2011,2011
S Sohal,2011-2011,Royal Challengers Bangalore,Batting,2011,2011
KH Devdhar,2011-2011,Royal Challengers Bangalore,Bowling,2011,2011
MJ Lumb,2011-2011,Royal Challengers Bangalore,Bowling,2011,2011
I Malhotra,2011-2011,Royal Challengers Bangalore,Bowling,2011,2011
I Sharma,2011-2011,Royal Challengers Bangalore,Bowling,2011,2011
S Sohal,2011-2011,Royal Challengers Bangalore,Bowling,2011,2011
Anand Rajan,2011-2012,Royal Challengers Bangalore,Batting,2011,2012
B Chipli,2011-2012,Royal Challengers Bangalore,Batting,2011,2012
DT Christian,2011-2012,Royal Challengers Bangalore,Batting,2011,2012
S Dhawan,2011-2012,Royal Challengers Bangalore,Batting,2011,2012
JP Duminy,2011-2012,Royal Challengers Bangalore,Batting,2011,2012
MS Gony,2011-2012,Royal Challengers Bangalore,Batting,2011,2012
IR Jaggi,2011-2012,Royal Challengers Bangalore,Batting,2011,2012
A Mishra,2011-2012,Royal Challengers Bangalore,Batting,2011,2012
KC Sangakkara,2011-2012,Royal Challengers Bangalore,Batting,2011,2012
DW Steyn,2011-2012,Royal Challengers Bangalore,Batting,2011,2012
CL White,2011-2012,Royal Challengers Bangalore,Batting,2011,2012
Anand Rajan,2011-2012,Royal Challengers Bangalore,Bowling,2011,2012
B Chipli,2011-2012,Royal Challengers Bangalore,Bowling,2011,2012
DT Christian,2011-2012,Royal Challengers Bangalore,Bowling,2011,2012
S Dhawan,2011-2012,Royal Challengers Bangalore,Bowling,2011,2012
JP Duminy,2011-2012,Royal Challengers Bangalore,Bowling,2011,2012
MS Gony,2011-2012,Royal Challengers Bangalore,Bowling,2011,2012
IR Jaggi,2011-2012,Royal Challengers Bangalore,Bowling,2011,2012
A Mishra,2011-2012,Royal Challengers Bangalore,Bowling,2011,2012
KC Sangakkara,2011-2012,Royal Challengers Bangalore,Bowling,2011,2012
DW Steyn,2011-2012,Royal Challengers Bangalore,Bowling,2011,2012
CL White,2011-2012,Royal Challengers Bangalore,Bowling,2011,2012
Ankit Sharma,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
A Ashish Reddy,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
DJ Harris,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
AA Jhunjhunwala,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
CA Lynn,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
T Mishra,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
PA Patel,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
V Pratap Singh,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
PA Reddy,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
BB Samantray,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
TP Sudhindra,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
J Theron,2012-2012,Royal Challengers Bangalore,Batting,2012,2012
Ankit Sharma,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
A Ashish Reddy,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
DJ Harris,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
AA Jhunjhunwala,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
CA Lynn,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
T Mishra,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
PA Patel,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
V Pratap Singh,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
PA Reddy,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
BB Samantray,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
TP Sudhindra,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
J Theron,2012-2012,Royal Challengers Bangalore,Bowling,2012,2012
S Ladda,2016-2016,Sunrisers Hyderabad,Batting,2016,2016
DJ Bravo,2016-2016,Sunrisers Hyderabad,Batting,2016,2016
ER Dwivedi,2016-2016,Sunrisers Hyderabad,Batting,2016,2016
DW Steyn,2016-2016,Sunrisers Hyderabad,Batting,2016,2016
PV Tambe,2016-2016,Sunrisers Hyderabad,Batting,2016,2016
S Ladda,2016-2016,Sunrisers Hyderabad,Bowling,2016,2016
DJ Bravo,2016-2016,Sunrisers Hyderabad,Bowling,2016,2016
ER Dwivedi,2016-2016,Sunrisers Hyderabad,Bowling,2016,2016
DW Steyn,2016-2016,Sunrisers Hyderabad,Bowling,2016,2016
PV Tambe,2016-2016,Sunrisers Hyderabad,Bowling,2016,2016
AD Nath,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
JP Faulkner,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
AJ Finch,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
Ishan Kishan,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
RA Jadeja,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
SB Jakati,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
KD Karthik,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
S Kaushik,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
DS Kulkarni,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
P Kumar,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
BB McCullum,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
SK Raina,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
PJ Sangwan,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
DR Smith,2016-2017,Sunrisers Hyderabad,Batting,2016,2017
AD Nath,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
JP Faulkner,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
AJ Finch,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
Ishan Kishan,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
RA Jadeja,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
SB Jakati,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
KD Karthik,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
S Kaushik,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
DS Kulkarni,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
P Kumar,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
BB McCullum,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
SK Raina,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
PJ Sangwan,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
DR Smith,2016-2017,Sunrisers Hyderabad,Bowling,2016,2017
SS Agarwal,2017-2017,Sunrisers Hyderabad,Batting,2017,2017
Ankit Soni,2017-2017,Sunrisers Hyderabad,Batting,2017,2017
Basil Thampi,2017-2017,Sunrisers Hyderabad,Batting,2017,2017
MS Gony,2017-2017,Sunrisers Hyderabad,Batting,2017,2017
MM Patel,2017-2017,Sunrisers Hyderabad,Batting,2017,2017
IK Pathan,2017-2017,Sunrisers Hyderabad,Batting,2017,2017
JJ Roy,2017-2017,Sunrisers Hyderabad,Batting,2017,2017
NB Singh,2017-2017,Sunrisers Hyderabad,Batting,2017,2017
Tejas Baroka,2017-2017,Sunrisers Hyderabad,Batting,2017,2017
AJ Tye,2017-2017,Sunrisers Hyderabad,Batting,2017,2017
SS Agarwal,2017-2017,Sunrisers Hyderabad,Bowling,2017,2017
Ankit Soni,2017-2017,Sunrisers Hyderabad,Bowling,2017,2017
Basil Thampi,2017-2017,Sunrisers Hyderabad,Bowling,2017,2017
MS Gony,2017-2017,Sunrisers Hyderabad,Bowling,2017,2017
MM Patel,2017-2017,Sunrisers Hyderabad,Bowling,2017,2017
IK Pathan,2017-2017,Sunrisers Hyderabad,Bowling,2017,2017
JJ Roy,2017-2017,Sunrisers Hyderabad,Bowling,2017,2017
NB Singh,2017-2017,Sunrisers Hyderabad,Bowling,2017,2017
Tejas Baroka,2017-2017,Sunrisers Hyderabad,Bowling,2017,2017
AJ Tye,2017-2017,Sunrisers Hyderabad,Bowling,2017,2017
