Player,Span,Team,Country,SR,Bowling Style
KR Mayers,2025-2025,Karachi Kings,West Indies,135.1,Medium
RP Meredith,2025-2025,Karachi Kings,Australia,98.2,Medium
TS Mills,2024-2025,Karachi Kings,England,105.9,Fast
Misbah-ul-Haq,2016-2018,Karachi Kings,Pakistan,112.3,Legbreak
Mohammad Irfan,2016-2017,Karachi Kings,Pakistan,48.8,Fast
Mohammad Nawaz,2025-2025,Karachi Kings,Quetta Gladiators,100.0,Orthodox
Mohammad Sami,2016-2019,Karachi Kings,Pakistan,105.4,Fast
Mohammad Wasim,2021-2023,Karachi Kings,Pakistan,117.2,Medium
Mubasir Khan,2022-2023,Karachi Kings,Islamabad United,96.1,Offbreak
Muhammad Akhlaq,2021-2022,Karachi Kings,Lahore Qalandars,134.2,Medium
Muhammad Hurraira,2022-2022,Karachi Kings,,0,
Muhammad Musa,2019-2022,Karachi Kings,Pakistan,115.7,Medium
Muhammad Shahzad,2025-2025,Karachi Kings,Islamabad United,133.3,
C Munro,2020-2025,Karachi Kings,New Zealand,140.1,Medium
Naseem Shah,2024-2025,Karachi Kings,Pakistan,115.2,Fast
Nasir Nawaz,2019-2022,Karachi Kings,Islamabad United,78.3,Medium
JDS Neesham,2025-2025,Karachi Kings,New Zealand,140.9,Medium
WD Parnell,2019-2019,Karachi Kings,South Africa,114.8,Medium
SR Patel,2018-2019,Karachi Kings,England,125.8,Orthodox
N Pooran,2017-2017,Karachi Kings,West Indies,149.6,
Rafatullah Mohmand,2017-2017,Karachi Kings,Pakistan,103.7,Orthodox
Rahmanullah Gurbaz,2022-2023,Karachi Kings,Afghanistan,142.7,
Rizwan Hussain,2019-2020,Karachi Kings,Islamabad United,106.5,
Rohail Nazir,2021-2021,Karachi Kings,Pakistan,119.8,
L Ronchi,2018-2020,Karachi Kings,Australia,156.8,
Rumman Raees,2016-2024,Karachi Kings,Pakistan,94.7,Medium
AD Russell,2016-2018,Karachi Kings,West Indies,167.6,Fast
Saad Masood,2025-2025,Karachi Kings,Peshawar Zalmi,141.7,Offbreak
Saeed Ajmal,2016-2017,Karachi Kings,Pakistan,116.4,Offbreak
Sahibzada Farhan,2018-2025,Karachi Kings,Pakistan,129.6,
Salman Irshad,2025-2025,Karachi Kings,Dhaka Dominators,68.6,Medium
PD Salt,2019-2021,Karachi Kings,England,155.9,Offbreak
Shadab Khan,2017-2025,Karachi Kings,Pakistan,136.5,Legbreak
Sharjeel Khan,2016-2017,Karachi Kings,Pakistan,136.6,Legbreak
DR Smith,2016-2017,Karachi Kings,West Indies,126.3,Medium
Sohaib Maqsood,2023-2023,Karachi Kings,Pakistan,124.1,Offbreak
DW Steyn,2020-2020,Karachi Kings,South Africa,107.1,Fast
PR Stirling,2021-2023,Karachi Kings,Ireland,141.4,Offbreak
Ubaid Shah,2024-2024,Karachi Kings,Islamabad United,58.3,Medium
Umar Amin,2016-2021,Karachi Kings,Pakistan,110.2,Medium
HE van der Dussen,2023-2025,Karachi Kings,South Africa,130.3,Legbreak
CAK Walton,2018-2019,Karachi Kings,West Indies,125.0,
