Name,Span,Team,OtherTeam,SR,BowlingStyle,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Muhammad Faizan,2020-2021,Islamabad United,Lahore Qalandars,84.4,Medium,424,76*,18.43,0,12,2/18,25.66,0,5.0,0.0,-7.23
Raja Farzan,2020-2020,Islamabad United,Lahore Qalandars,,Legbreak,17,10*,17.00,0,9,4/24,17.11,0,0.0,0.0,-0.11
S Prasanna,2020-2020,Islamabad United,Sri Lanka,139.7,Legbreak,2238,76*,17.08,0,173,4/19,24.57,0,68.0,0.0,-7.48
SR Patel,2020-2022,Islamabad United,England,125.8,Orthodox,6939,90*,24.60,0,364,4/5,26.54,0,118.0,0.0,-1.93
Tamim Iqbal,2020-2020,Islamabad United,Bangladesh,120.2,Offbreak,8283,141*,32.86,4,0,-,-,0,85.0,0.0,-
Usman Shinwari,2020-2020,Islamabad United,Pakistan,100.0,Medium,153,36*,10.92,0,128,5/9,25.13,2,26.0,0.0,-14.20
Ahmed Daniyal,2021-2021,Islamabad United,Pakistan,110.6,Medium,82,24,10.25,0,39,4/28,29.76,0,8.0,0.0,-19.51
JL Denly,2021-2021,Islamabad United,England,127.4,Legbreak,7107,127,27.02,5,53,4/19,27.22,0,111.0,0.0,-0.20
JP Faulkner,2021-2021,Islamabad United,Australia,126.6,Medium,1953,73,21.46,0,262,5/16,22.80,3,69.0,0.0,-1.33
Rashid Khan,2021-2023,Islamabad United,Afghanistan,142.2,Legbreak,2773,79*,13.93,0,672,6/17,18.46,4,173.0,0.0,-4.53
Salman Mirza,2021-2025,Islamabad United,Pakistan,88.9,Medium,41,16*,5.85,0,47,4/11,15.08,0,4.0,0.0,-9.22
TH David,2021-2021,Islamabad United,Singapore,161.9,Offbreak,5833,102*,30.86,1,15,1/0,64.06,0,170.0,0.0,-33.20
Zeeshan Ashraf,2021-2022,Islamabad United,Multan Sultans,125.6,Offbreak,1147,73,17.64,0,-,-,-,-,25.0,4.0,-
Abdullah Shafique,2022-2025,Islamabad United,Pakistan,140.5,Offbreak,2074,102*,30.05,1,-,-,-,-,26.0,0.0,-
D Foxcroft,2022-2022,Islamabad United,New Zealand,124.7,Offbreak,1429,82*,35.72,0,24,5/11,28.29,1,25.0,0.0,7.43
Fawad Ahmed,2022-2022,Islamabad United,Australia,75.4,Legbreak,86,19,5.73,0,172,4/14,24.75,0,22.0,0.0,-19.02
HC Brook,2022-2022,Islamabad United,England,150.4,Medium,3792,105*,33.26,3,1,1/13,26.00,0,94.0,0.0,7.26
Kamran Ghulam,2022-2024,Islamabad United,Islamabad United,123.5,Orthodox,1834,110*,30.06,1,35,4/11,22.65,0,23.0,0.0,7.40
PD Salt,2022-2022,Islamabad United,England,155.9,Offbreak,7763,141*,28.12,4,-,-,-,-,165.0,14.0,-
Zaman Khan,2022-2025,Islamabad United,Pakistan,74.0,Medium,75,9*,7.50,0,132,4/16,24.53,0,23.0,0.0,-17.03
Ahsan Hafeez,2023-2024,Islamabad United,Lahore Qalandars,140.0,Orthodox,66,20,9.42,0,6,2/18,24.50,0,2.0,0.0,-15.07
Hussain Talat,2023-2023,Islamabad United,Pakistan,121.2,Medium,3895,101*,30.66,1,80,4/14,25.48,0,38.0,0.0,5.18
LA Dawson,2023-2023,Islamabad United,England,121.4,Orthodox,2888,82,17.60,0,269,5/17,25.47,1,125.0,0.0,-7.86
Mirza Baig,2023-2024,Islamabad United,Pakistan,121.1,,833,77,26.87,0,1,1/37,61.00,0,6.0,0.0,-34.12
S Dadswell,2023-2023,Islamabad United,Lahore Qalandars,95.5,Medium,759,98*,21.68,0,12,2/25,33.33,0,17.0,0.0,-11.64
SD Hope,2023-2024,Islamabad United,West Indies,129.2,,4939,106,30.48,3,-,-,-,-,88.0,15.0,-
SW Billings,2023-2025,Islamabad United,England,134.3,,7238,106,24.04,1,-,-,-,-,237.0,32.0,-
Shawaiz Irfan,2023-2023,Islamabad United,Lahore Qalandars,0.0,,40,14*,20.00,0,-,-,-,-,3.0,2.0,-
Sikandar Raza,2023-2025,Islamabad United,Zimbabwe,136.3,Offbreak,6298,133*,25.81,1,196,5/18,27.12,1,133.0,0.0,-1.31
GF Linde,2024-2024,Islamabad United,South Africa,139.5,Orthodox,2417,66*,19.49,0,194,4/19,26.33,0,58.0,0.0,-6.84
HE van der Dussen,2024-2024,Islamabad United,South Africa,130.3,Legbreak,6773,112*,36.80,5,3,2/15,18.33,0,72.0,0.0,18.47
Jahandad Khan,2024-2025,Islamabad United,Pakistan,150.0,Medium,249,45*,15.56,0,38,3/9,27.28,0,6.0,0.0,-11.72
LJ Tucker,2024-2024,Islamabad United,Ireland,123.2,,2537,94*,23.06,0,-,-,-,-,98.0,23.0,-
Mohammad Imran,2024-2024,Islamabad United,Fortune Barishal,50.0,Medium,39,13,4.33,0,79,6/16,23.29,1,10.0,0.0,-18.95
Sahibzada Farhan,2024-2024,Islamabad United,Pakistan,129.6,,3950,162*,33.76,6,-,-,-,-,61.0,2.0,-
Salman Fayyaz,2024-2024,Islamabad United,Lahore Qalandars,166.7,Legbreak,10,8,10.00,0,2,1/23,30.50,0,2.0,0.0,-20.49
Tayyab Abbas,2024-2024,Islamabad United,Lahore Qalandars,,Medium,,,,,,,,,,,
Asif Afridi,2025-2025,Islamabad United,Lahore Qalandars,73.0,Orthodox,513,54,14.65,0,78,5/26,23.20,1,20.0,0.0,-8.54
Asif Ali,2025-2025,Islamabad United,Pakistan,141.9,Medium,4737,100,22.03,1,4,2/27,13.25,0,120.0,0.0,8.78
DJ Mitchell,2025-2025,Islamabad United,New Zealand,138.2,Medium,5330,88*,30.98,0,83,4/32,25.53,0,129.0,0.0,5.45
MDKJ Perera,2025-2025,Islamabad United,Sri Lanka,137.4,,,,,,,,,,,,
Mohammad Azab,2025-2025,Islamabad United,Lahore Qalandars,0.0,,11330,122,43.07,11,4,2/20,21.25,0,147.0,0.0,21.82
Mohammad Naeem,2025-2025,Islamabad United,,0,,0,0*,0.00,0,6,5/31,26.33,1,0.0,0.0,-26.33
Muhammad Akhlaq,2025-2025,Islamabad United,Lahore Qalandars,134.2,Medium,1037,62,20.33,0,-,-,-,-,30.0,9.0,-
PBB Rajapaksa,2025-2025,Islamabad United,Sri Lanka,137.2,Medium,4176,100,22.81,1,28,3/11,18.42,0,62.0,1.0,4.39
Rishad Hossain,2025-2025,Islamabad United,Bangladesh,133.9,Legbreak,336,53,10.50,0,90,4/22,22.44,0,44.0,0.0,-11.94
Shakib Al Hasan,2025-2025,Islamabad United,Bangladesh,126.2,Orthodox,,,,,,,,,,,
TK Curran,2025-2025,Islamabad United,England,143.5,Medium,2396,67*,21.58,0,255,4/15,25.52,0,66.0,0.0,-3.93
AD Russell,2016-2018,Karachi Kings,West Indies,167.6,Fast,9449,121*,26.32,2,496,5/15,25.87,1,238.0,0.0,0.44
Ashar Zaidi,2016-2016,Karachi Kings,Comilla Victorians,138.3,Orthodox,1065,59*,24.76,0,40,4/11,26.37,0,17.0,0.0,-1.60
Asif Ali,2016-2023,Karachi Kings,Pakistan,141.9,Medium,4737,100,22.03,1,4,2/27,13.25,0,120.0,0.0,8.78
Azhar Mahmood,2016-2016,Karachi Kings,Sydney Thunder,131.0,Medium,,,,,,,,,,,
BJ Haddin,2016-2017,Karachi Kings,Australia,128.1,,,,,,,,,,,,
Babar Azam,2016-2016,Karachi Kings,Pakistan,128.7,Offbreak,11330,122,43.07,11,4,2/20,21.25,0,147.0,0.0,21.82
DR Smith,2016-2017,Karachi Kings,West Indies,126.3,Medium,7870,110*,26.23,5,110,4/8,27.99,0,141.0,0.0,-1.75
Imran Khalid,2016-2017,Karachi Kings,Faisalabad Wolves,91.4,Orthodox,611,48,14.20,0,88,4/20,23.10,0,26.0,0.0,-8.89
Kamran Ghulam,2016-2016,Karachi Kings,Islamabad United,123.5,Orthodox,1834,110*,30.06,1,35,4/11,22.65,0,23.0,0.0,7.40
Khalid Latif,2016-2016,Karachi Kings,Pakistan,109.0,Offbreak,2469,88,25.19,0,2,2/11,20.00,0,34.0,0.0,5.19
Misbah-ul-Haq,2016-2018,Karachi Kings,Pakistan,112.3,Legbreak,3491,107*,33.89,1,-,-,-,-,65.0,0.0,-
Mohammad Irfan,2016-2017,Karachi Kings,Pakistan,48.8,Fast,,,,,,,,,,,
Mohammad Sami,2016-2019,Karachi Kings,Pakistan,105.4,Fast,1,1,1.00,0,1,1/23,23.00,0,0.0,0.0,-21.99
Rumman Raees,2016-2024,Karachi Kings,Pakistan,94.7,Medium,180,25*,9.47,0,131,4/25,24.61,0,41.0,0.0,-15.14
S Badree,2016-2017,Karachi Kings,West Indies,80.6,Legbreak,,,,,,,,,,,
SR Watson,2016-2017,Karachi Kings,Australia,138.3,Medium,8821,124*,29.30,6,216,4/15,27.02,0,101.0,0.0,2.27
SW Billings,2016-2017,Karachi Kings,England,134.3,,7238,106,24.04,1,-,-,-,-,237.0,32.0,-
Saeed Ajmal,2016-2017,Karachi Kings,Pakistan,116.4,Offbreak,240,21*,8.00,0,271,4/14,17.36,0,31.0,0.0,-9.36
Sharjeel Khan,2016-2017,Karachi Kings,Pakistan,136.6,Legbreak,3793,117,24.95,5,0,-,-,0,36.0,0.0,-
Umar Amin,2016-2021,Karachi Kings,Pakistan,110.2,Medium,3448,82*,28.03,0,18,3/14,28.66,0,54.0,0.0,-0.63
Amad Butt,2017-2020,Karachi Kings,Khulna Tigers,134.0,Fast,622,43*,15.17,0,102,4/27,24.09,0,33.0,0.0,-8.92
BM Duckett,2017-2017,Karachi Kings,England,140.6,Offbreak,5397,96,30.49,0,-,-,-,-,107.0,2.0,-
Hussain Talat,2017-2021,Karachi Kings,Pakistan,121.2,Medium,3895,101*,30.66,1,80,4/14,25.48,0,38.0,0.0,5.18
N Pooran,2017-2017,Karachi Kings,West Indies,149.6,,9951,108*,30.15,4,-,-,-,-,243.0,36.0,-
Rafatullah Mohmand,2017-2017,Karachi Kings,Pakistan,103.7,Orthodox,1614,78,26.03,0,2,2/23,18.00,0,31.0,0.0,8.03
Shadab Khan,2017-2025,Karachi Kings,Pakistan,136.5,Legbreak,3402,91,18.59,0,345,5/28,23.83,1,122.0,0.0,-5.24
Zohaib Khan,2017-2017,Karachi Kings,Lahore Qalandars,138.5,Orthodox,515,43*,14.71,0,61,4/11,28.52,0,26.0,0.0,-13.81
AD Hales,2018-2025,Karachi Kings,England,146.0,Medium,14174,119*,30.09,7,0,-,-,0,245.0,0.0,-
CAK Walton,2018-2019,Karachi Kings,West Indies,125.0,,3578,99*,22.78,0,0,-,-,0,99.0,16.0,-
Faheem Ashraf,2018-2024,Karachi Kings,Pakistan,142.9,Medium,2203,55,17.48,0,232,6/19,26.03,3,84.0,0.0,-8.55
Iftikhar Ahmed,2018-2021,Karachi Kings,Pakistan,129.3,Offbreak,6007,100*,29.73,1,85,3/5,29.85,0,144.0,0.0,-0.12
JP Duminy,2018-2018,Karachi Kings,South Africa,123.5,Offbreak,,,,,,,,,,,
L Ronchi,2018-2020,Karachi Kings,Australia,156.8,,4217,102,25.25,1,-,-,-,-,119.0,36.0,-
SR Patel,2018-2019,Karachi Kings,England,125.8,Orthodox,6939,90*,24.60,0,364,4/5,26.54,0,118.0,0.0,-1.93
ST Finn,2018-2018,Karachi Kings,England,82.4,Medium,79,11*,8.77,0,176,5/16,22.43,1,43.0,0.0,-13.65
Sahibzada Farhan,2018-2025,Karachi Kings,Pakistan,129.6,,3950,162*,33.76,6,-,-,-,-,61.0,2.0,-
Zafar Gohar,2018-2022,Karachi Kings,Lahore Qalandars,100.0,Orthodox,386,37*,13.31,0,88,4/14,25.05,0,23.0,0.0,-11.74
