Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
EJG Morgan,2006-2023,7780,91,26.02,0,-,-,-,-,160,0,-
Muhammad Riazullah,2016-2025,2910,,,,,4/6,,0,,,
Mukhtar Ahmed,2014-2025,1370,123,29.14,3,11,3/16,10.27,0,32,0,18.87
Mushfiqur Rahim,2006-2025,6004,98*,29.28,0,-,-,-,-,169,54,-
B Muzarabani,2018-2025,74,9*,3.36,0,134,3/8,23.85,0,20,0,-20.48
Najibullah Zadran,2011-2025,4475,97*,26.47,0,2,1/5,11.00,0,90,0,15.47
Nauman Anwar,2015-2024,787,97,21.27,0,-,-,-,-,16,0,-
Noor Ahmad,2019-2025,221,20,6.13,0,209,5/11,21.51,2,40,0,-15.37
Omair Yousuf,2019-2025,1043,78*,30.67,0,-,-,-,-,20,0,-
NLTC Perera,2008-2025,4873,103*,21.09,1,282,5/26,27.15,2,160,0,-6.05
KA Pollard,2006-2025,14216,104,31.87,1,333,4/15,25.33,0,397,0,6.53
Qasim Akram,2020-2025,1074,64,21.05,0,37,3/6,21.48,0,30,0,-0.42
AM Rossington,2011-2025,3576,95,20.79,0,-,-,-,-,82,33,-
SE Rutherford,2018-2025,3610,86,23.59,0,13,3/19,38.53,0,70,0,-14.94
Saad Baig,2024-2025,149,36*,21.28,0,-,-,-,-,5,1,-
Saifullah Bangash,2015-2025,253,36*,23.00,0,-,-,-,-,22,7,-
DR Sams,2017-2025,2177,98*,16.74,0,250,5/30,24.63,1,81,0,-7.88
KC Sangakkara,2004-2020,6937,94,29.27,0,-,-,-,-,167,60,-
TL Seifert,2014-2025,6584,125*,28.50,4,-,-,-,-,181,37,-
Shahid Afridi,2004-2022,4399,101,18.25,1,347,5/7,22.78,2,97,0,-4.53
Shahzaib Hasan,2008-2017,2695,101*,28.07,2,0,-,-,0,27,0,-
T Shamsi,2011-2025,95,15*,4.52,0,348,5/24,22.32,1,40,0,-17.80
Shan Masood,2011-2025,4735,103*,26.01,1,-,-,-,-,84,0,-
Shoaib Malik,2005-2025,13571,95*,35.99,0,187,5/13,27.70,2,238,0,8.29
LMP Simmons,2007-2022,7756,116,29.83,2,23,4/19,25.95,0,116,0,3.87
AW Summers,,-,-,-,-,0,-,-,0,1,0,-
Tayyab Tahir,2015-2025,1395,78,36.71,0,-,-,-,-,29,0,-
JA Thompson,2018-2025,1262,74,17.05,0,131,5/21,25.21,1,44,0,-8.15
AJ Tye,2014-2025,741,44,12.77,0,342,5/17,21.33,3,87,0,-8.56
Umaid Asif,2011-2023,437,40,12.85,0,127,5/20,26.20,1,34,0,-13.35
Umer Khan,2019-2023,24,12,4.00,0,22,3/22,30.45,0,10,0,-26.45
Usama Mir,2013-2025,530,39,8.68,0,182,6/40,23.35,1,61,0,-14.66
JM Vince,2010-2025,12655,129*,31.95,7,3,1/5,29.00,0,259,0,2.95
MS Wade,2009-2025,5267,130*,26.73,1,-,-,-,-,150,20,-
DA Warner,2007-2025,13595,135*,36.44,8,0,-,-,0,202,0,-
Aftab Ibrahim,,33,15,8.25,0,11,2/15,22.00,0,3,0,-13.74
Ahmed Shehzad,2008-2024,7011,113*,29.09,5,12,2/10,28.66,0,101,0,0.42
MM Ali,2007-2025,7450,121*,23.65,3,263,5/34,24.78,1,123,0,-1.13
Ali Shafique,2017-2023,9,4,3.00,0,14,3/21,30.21,0,0,0,-27.21
Asad Shafiq,2008-2023,2702,92*,24.34,0,7,2/7,25.71,0,61,0,-1.37
MG Bracewell,2012-2025,3403,141*,27.22,1,92,4/28,24.89,0,112,1,2.33
DM Bravo,2008-2025,3575,94*,30.04,0,-,-,-,-,60,0,-
C Campher,2020-2025,1552,72*,21.26,0,73,5/16,27.08,1,52,0,-5.82
J Charles,2008-2025,8101,119*,27.18,4,5,1/5,14.60,0,114,7,12.58
SS Cottrell,2011-2024,201,26*,7.17,0,167,4/20,22.73,0,59,0,-15.55
LJ Evans,2009-2025,7305,118*,29.69,3,1,1/5,35.00,0,149,4,-5.30
Faisal Akram,2021-2025,21,7,5.25,0,12,2/25,46.00,0,8,0,-40.74
CJ Green,2015-2025,1997,50,17.21,0,243,5/32,25.92,1,152,0,-8.71
Hamayun Altaf,,,,,,,,,,,,
P Hatzoglou,2020-2025,86,15,14.33,0,64,3/14,29.56,0,19,0,-15.22
RR Hendricks,2009-2025,7790,117,34.16,5,8,2/7,33.50,0,118,0,0.66
SO Hetmyer,2016-2025,5938,100,26.50,1,-,-,-,-,158,0,-
AJ Hosein,2014-2025,1059,55*,15.57,0,224,5/11,25.41,1,47,0,-9.84
Ihsanullah,2022-2025,14,6*,4.66,0,42,5/12,20.04,1,1,0,-15.38
Izharulhaq Naveed,2022-2025,17,3*,4.25,0,43,4/12,24.39,0,5,0,-20.14
Jahanzaib Sultan,2023-2025,243,79*,30.37,0,-,-,-,-,4,0,-
Junaid Khan,2006-2022,146,36,5.61,0,200,4/12,23.52,0,46,0,-17.90
JB Little,2016-2025,226,27*,13.29,0,167,5/13,23.77,1,49,0,-10.48
A Lyth,2008-2025,4979,161,24.64,1,26,5/31,27.34,1,107,0,-2.69
D Madushanka,2020-2025,29,12,3.22,0,56,3/12,30.94,0,11,0,-27.72
Mohammad Ali,2022-2025,36,11,12.00,0,62,5/24,18.04,1,13,0,-6.04
DA Miller,2008-2025,11476,120*,35.09,4,0,-,-,0,321,1,-
Mohammad Abbas,2013-2023,34,15*,8.50,0,32,3/22,35.53,0,7,0,-27.03
Mohammad Hasnain,2019-2025,117,22,7.31,0,139,4/25,27.64,0,15,0,-20.32
TJ Moores,2016-2025,2853,80*,25.47,0,-,-,-,-,79,25,-
Muhammad Amir Barki,2019-2025,555,80,13.87,0,34,5/16,17.00,1,23,0,-3.12
Noman Ali,2006-2025,197,26*,9.38,0,43,3/31,29.90,0,12,0,-20.52
RR Rossouw,2008-2025,9434,121,29.20,9,3,1/3,10.66,0,159,0,18.54
Saif Badar,2017-2025,562,54,21.61,0,1,1/15,56.00,0,17,0,-34.38
Sameen Gul,2016-2025,77,14*,7.00,0,59,3/20,28.35,0,7,0,-21.35
Shahid Aziz,2023-2025,189,29,11.81,0,32,4/20,22.31,0,10,0,-10.49
Shahnawaz Dahani,2021-2025,39,16,9.75,0,81,5/12,22.07,1,14,0,-12.32
Shakeel Ansar,2008-2019,591,100*,17.90,1,-,-,-,-,41,23,-
Sohaibullah,2018-2023,26,9*,8.66,0,18,3/8,30.72,0,2,0,-22.05
OP Stone,2011-2025,173,22*,6.65,0,113,4/14,27.31,0,37,0,-20.66
AJ Turner,2013-2025,3860,84*,24.90,0,35,3/20,25.62,0,96,0,-0.72
Umar Gul,2005-2020,548,32,8.69,0,222,6/24,20.16,3,38,0,-11.46
Umar Siddiq,2014-2025,1410,78*,24.73,0,-,-,-,-,30,9,-
Usman Khan,2021-2025,1944,123,30.85,5,-,-,-,-,31,5,-
Usman Qadir,2013-2024,272,36,12.36,0,112,5/14,24.33,1,20,0,-11.96
RA Whiteley,2011-2025,3648,91*,23.08,0,10,3/23,33.10,0,93,0,-10.01
DJ Willey,2009-2025,4773,118,22.30,2,362,4/7,23.45,0,165,0,-1.14
Yasir Khan,2022-2025,1152,107,26.18,2,-,-,-,-,13,0,-
Abdul Samad,2019-2025,1642,76*,26.06,0,4,1/9,54.75,0,53,0,-28.68
Abdur Rehman,2005-2018,245,30*,9.80,0,77,3/17,26.22,0,35,0,-16.42
Adil Amin,2010-2025,1354,75*,26.54,0,23,4/27,33.52,0,28,0,-6.97
Aimal Khan,,0,0*,-,0,3,2/26,59.33,0,0,0,-
Ali Majid,2020-2025,22,9*,-,0,22,3/27,24.81,0,9,0,-
Ali Raza,2021-2025,497,64,19.88,0,-,-,-,-,29,4,-
FA Allen,2017-2025,1544,64*,17.54,0,100,4/24,27.46,0,68,0,-9.91
J Allenby,2005-2017,3224,110,29.30,2,60,5/21,34.50,2,35,0,-5.19
Arif Yaqoob,2023-2025,19,9*,9.50,0,42,5/27,15.35,1,4,0,-5.85
Arish Ali,2021-2025,0,0*,0.00,0,9,4/28,18.22,0,4,0,-18.22
Azmatullah Omarzai,2018-2025,1527,62*,18.17,0,129,4/9,27.12,0,39,0,-8.94
