Player,Span,Team,Record Type
Naseem Shah,2024-2025,Karachi Kings,Batting
Nasir Nawaz,2019-2022,Karachi Kings,Batting
JDS Neesham,2025-2025,Karachi Kings,Batting
WD Parnell,2019-2019,Karachi Kings,Batting
SR Patel,2018-2019,Karachi Kings,Batting
N Pooran,2017-2017,Karachi Kings,Batting
Rafatullah Mohmand,2017-2017,Karachi Kings,Batting
Rahmanullah Gurbaz,2022-2023,Karachi Kings,Batting
Rizwan Hussain,2019-2020,Karachi Kings,Batting
Rohail Nazir,2021-2021,Karachi Kings,Batting
L Ronchi,2018-2020,Karachi Kings,Batting
Rumman Raees,2016-2024,Karachi Kings,Batting
AD Russell,2016-2018,Karachi Kings,Batting
Saad Masood,2025-2025,Karachi Kings,Batting
Saeed Ajmal,2016-2017,Karachi Kings,Batting
Sahibzada Farhan,2018-2025,Karachi Kings,Batting
Salman Irshad,2025-2025,Karachi Kings,Batting
PD Salt,2019-2021,Karachi Kings,Batting
Shadab Khan,2017-2025,Karachi Kings,Batting
Sharjeel Khan,2016-2017,Karachi Kings,Batting
DR Smith,2016-2017,Karachi Kings,Batting
Sohaib Maqsood,2023-2023,Karachi Kings,Batting
DW Steyn,2020-2020,Karachi Kings,Batting
PR Stirling,2021-2023,Karachi Kings,Batting
Ubaid Shah,2024-2024,Karachi Kings,Batting
Umar Amin,2016-2021,Karachi Kings,Batting
HE van der Dussen,2023-2025,Karachi Kings,Batting
CAK Walton,2018-2019,Karachi Kings,Batting
Waqas Maqsood,2019-2022,Karachi Kings,Batting
SR Watson,2016-2017,Karachi Kings,Batting
Zafar Gohar,2018-2022,Karachi Kings,Batting
Zahid Mahmood,2022-2022,Karachi Kings,Batting
Zahir Khan,2022-2022,Karachi Kings,Batting
Zeeshan Zameer,2022-2023,Karachi Kings,Batting
Zohaib Khan,2017-2017,Karachi Kings,Batting
Abrar Ahmed,2023-2023,Karachi Kings,Bowling
Agha Salman,2024-2025,Karachi Kings,Bowling
Ahmed Safi Abdullah,2020-2020,Karachi Kings,Bowling
Akif Javed,2020-2021,Karachi Kings,Bowling
Ali Khan,2021-2021,Karachi Kings,Bowling
Amad Butt,2017-2020,Karachi Kings,Bowling
Ashar Zaidi,2016-2016,Karachi Kings,Bowling
Asif Ali,2016-2023,Karachi Kings,Bowling
Athar Mahmood,2022-2022,Karachi Kings,Bowling
Azam Khan,2022-2025,Karachi Kings,Bowling
Azhar Mahmood,2016-2016,Karachi Kings,Bowling
Babar Azam,2016-2016,Karachi Kings,Bowling
S Badree,2016-2017,Karachi Kings,Bowling
IR Bell,2019-2019,Karachi Kings,Bowling
SW Billings,2016-2017,Karachi Kings,Bowling
JM Cox,2024-2024,Karachi Kings,Bowling
TK Curran,2023-2023,Karachi Kings,Bowling
Danish Aziz,2022-2022,Karachi Kings,Bowling
LA Dawson,2022-2022,Karachi Kings,Bowling
M de Lange,2022-2022,Karachi Kings,Bowling
CS Delport,2019-2019,Karachi Kings,Bowling
BM Duckett,2017-2017,Karachi Kings,Bowling
JP Duminy,2018-2018,Karachi Kings,Bowling
BJ Dwarshuis,2025-2025,Karachi Kings,Bowling
Faheem Ashraf,2018-2024,Karachi Kings,Bowling
Fawad Ahmed,2021-2021,Karachi Kings,Bowling
Fazalhaq Farooqi,2023-2023,Karachi Kings,Bowling
ST Finn,2018-2018,Karachi Kings,Bowling
MW Forde,2024-2024,Karachi Kings,Bowling
Ghazi Ghori,2025-2025,Karachi Kings,Bowling
AGS Gous,2025-2025,Karachi Kings,Bowling
L Gregory,2021-2021,Karachi Kings,Bowling
MJ Guptill,2024-2024,Karachi Kings,Bowling
BJ Haddin,2016-2017,Karachi Kings,Bowling
Haider Ali,2024-2025,Karachi Kings,Bowling
AD Hales,2018-2025,Karachi Kings,Bowling
Hasan Ali,2021-2023,Karachi Kings,Bowling
Hasan Nawaz,2023-2023,Karachi Kings,Bowling
JO Holder,2025-2025,Karachi Kings,Bowling
Hunain Shah,2024-2025,Karachi Kings,Bowling
Hussain Talat,2017-2021,Karachi Kings,Bowling
Iftikhar Ahmed,2018-2021,Karachi Kings,Bowling
Imad Wasim,2024-2025,Karachi Kings,Bowling
Imran Khalid,2016-2017,Karachi Kings,Bowling
CA Ingram,2020-2020,Karachi Kings,Bowling
WG Jacks,2022-2022,Karachi Kings,Bowling
Kamran Ghulam,2016-2016,Karachi Kings,Bowling
Khalid Latif,2016-2016,Karachi Kings,Bowling
UT Khawaja,2021-2021,Karachi Kings,Bowling
BA King,2021-2021,Karachi Kings,Bowling
OC McCoy,2024-2024,Karachi Kings,Bowling
DJ Malan,2020-2020,Karachi Kings,Bowling
KR Mayers,2025-2025,Karachi Kings,Bowling
RP Meredith,2025-2025,Karachi Kings,Bowling
TS Mills,2024-2025,Karachi Kings,Bowling
Misbah-ul-Haq,2016-2018,Karachi Kings,Bowling
Mohammad Irfan,2016-2017,Karachi Kings,Bowling
Mohammad Nawaz,2025-2025,Karachi Kings,Bowling
Mohammad Sami,2016-2019,Karachi Kings,Bowling
Mohammad Wasim,2021-2023,Karachi Kings,Bowling
Mubasir Khan,2022-2023,Karachi Kings,Bowling
Muhammad Akhlaq,2021-2022,Karachi Kings,Bowling
Muhammad Hurraira,2022-2022,Karachi Kings,Bowling
Muhammad Musa,2019-2022,Karachi Kings,Bowling
Muhammad Shahzad,2025-2025,Karachi Kings,Bowling
C Munro,2020-2025,Karachi Kings,Bowling
Naseem Shah,2024-2025,Karachi Kings,Bowling
Nasir Nawaz,2019-2022,Karachi Kings,Bowling
JDS Neesham,2025-2025,Karachi Kings,Bowling
WD Parnell,2019-2019,Karachi Kings,Bowling
SR Patel,2018-2019,Karachi Kings,Bowling
N Pooran,2017-2017,Karachi Kings,Bowling
Rafatullah Mohmand,2017-2017,Karachi Kings,Bowling
Rahmanullah Gurbaz,2022-2023,Karachi Kings,Bowling
Rizwan Hussain,2019-2020,Karachi Kings,Bowling
Rohail Nazir,2021-2021,Karachi Kings,Bowling
L Ronchi,2018-2020,Karachi Kings,Bowling
Rumman Raees,2016-2024,Karachi Kings,Bowling
AD Russell,2016-2018,Karachi Kings,Bowling
Saad Masood,2025-2025,Karachi Kings,Bowling
Saeed Ajmal,2016-2017,Karachi Kings,Bowling
Sahibzada Farhan,2018-2025,Karachi Kings,Bowling
Salman Irshad,2025-2025,Karachi Kings,Bowling
PD Salt,2019-2021,Karachi Kings,Bowling
Shadab Khan,2017-2025,Karachi Kings,Bowling
Sharjeel Khan,2016-2017,Karachi Kings,Bowling
DR Smith,2016-2017,Karachi Kings,Bowling
Sohaib Maqsood,2023-2023,Karachi Kings,Bowling
DW Steyn,2020-2020,Karachi Kings,Bowling
PR Stirling,2021-2023,Karachi Kings,Bowling
Ubaid Shah,2024-2024,Karachi Kings,Bowling
Umar Amin,2016-2021,Karachi Kings,Bowling
HE van der Dussen,2023-2025,Karachi Kings,Bowling
CAK Walton,2018-2019,Karachi Kings,Bowling
Waqas Maqsood,2019-2022,Karachi Kings,Bowling
SR Watson,2016-2017,Karachi Kings,Bowling
Zafar Gohar,2018-2022,Karachi Kings,Bowling
Zahid Mahmood,2022-2022,Karachi Kings,Bowling
Zahir Khan,2022-2022,Karachi Kings,Bowling
Zeeshan Zameer,2022-2023,Karachi Kings,Bowling
Zohaib Khan,2017-2017,Karachi Kings,Bowling
Aamer Jamal,2025-2025,Lahore Qalandars,Batting
Aamer Yamin,2019-2023,Lahore Qalandars,Batting
Abbas Afridi,2021-2025,Lahore Qalandars,Batting
Abrar Ahmed,2017-2017,Lahore Qalandars,Batting
Akif Javed,2023-2023,Lahore Qalandars,Batting
Ali Khan,2020-2020,Lahore Qalandars,Batting
Anwar Ali,2024-2024,Lahore Qalandars,Batting
Arafat Minhas,2024-2025,Lahore Qalandars,Batting
Arshad Iqbal,2020-2021,Lahore Qalandars,Batting
Awais Zia,2019-2019,Lahore Qalandars,Batting
Babar Azam,2017-2022,Lahore Qalandars,Batting
Bilawal Bhatti,2016-2016,Lahore Qalandars,Batting
RS Bopara,2016-2019,Lahore Qalandars,Batting
DT Christian,2021-2021,Lahore Qalandars,Batting
JM Clarke,2021-2022,Lahore Qalandars,Batting
