Team,Country,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Oval Invincibles (Men),England,Jordan Cox,Wicketkeeper Batter,3581,139*,30.87,1,-,-,-,-,105,7,-,
Oval Invincibles (Men),South Africa,Donovan Ferreira,Middle order Batter,2260,82*,28.97,0,20,23-Mar,31.3,0,71,8,-2.32,173.3
Oval Invincibles (Men),England,Miles Hammond,Top order Batter,2505,80,22.36,0,0,-,-,0,74,0,-,133.7
Oval Invincibles (Men),Zimbabwe,Tawanda Muyeye,Middle order Batter,1420,100,23.27,1,-,-,-,-,23,0,-,141.4
Oval Invincibles (Men),England,Jordan Clark,Allrounder,1232,60,20.19,0,81,22-Apr,28.43,0,46,0,-8.23,126.7
Oval Invincibles (Men),England,Sam Curran,Allrounder,4882,102*,24.65,1,291,10-May,28.03,4,118,0,-3.37,
Oval Invincibles (Men),England,Tom Curran,Allrounder,2396,67*,21.58,0,255,15-Apr,25.52,0,66,0,-3.93,
Oval Invincibles (Men),England,Will Jacks,Batting Allrounder,6120,108*,29,5,80,15-Apr,22.68,0,112,0,6.31,
Oval Invincibles (Men),Afghanistan,Rashid Khan,Bowling Allrounder,2789,79*,13.87,0,678,17-Jun,18.39,4,175,0,-4.51,
Oval Invincibles (Men),England,Gus Atkinson,Bowler,98,14,8.9,0,72,20-Apr,21.86,0,17,0,-12.95,93.1
Oval Invincibles (Men),Australia,Jason Behrendorff,Bowler,175,26,13.46,0,213,21-Apr,22.17,0,56,0,-8.71,
Oval Invincibles (Men),England,Saqib Mahmood,Bowler,81,12,7.36,0,123,14-Apr,21.06,0,13,0,-13.7,
Oval Invincibles (Men),England,George Scrimshaw,Bowler,29,6*,9.66,0,96,19-Apr,21.72,0,10,0,-12.06,63
Oval Invincibles (Men),Australia,Nathan Sowter,Bowler,251,37*,8.96,0,184,15-May,22.81,1,64,0,-13.85,
Oval Invincibles (Men),Pakistan,Zafar Gohar,Bowler,386,37*,13.31,0,88,14-Apr,25.05,0,23,0,-11.74,
Oval Invincibles (Men),Australia,Adam Zampa,Bowler,310,23,5.96,0,387,19-Jun,21.62,3,43,0,-15.66,
Southern Brave (Men),England,James Vince,Batter,12655,129*,31.95,7,3,5-Jan,29,0,259,0,2.95,137.3
Southern Brave (Men),England,Toby Albert,Opening Batter,1168,98*,30.73,0,-,-,-,-,16,0,-,136.7
Southern Brave (Men),New Zealand,Finn Allen,Top order Batter,4415,151,28.85,4,0,-,-,0,73,2,-,
Southern Brave (Men),Australia,Hilton Cartwright,Middle order Batter,2611,79,28.38,0,4,Feb-34,52,0,69,0,-23.61,130
Southern Brave (Men),South Africa,Leus du Plooy,Middle order Batter,4009,92,28.84,0,14,15-Apr,22,0,85,0,6.84,138
Southern Brave (Men),England,Laurie Evans,Middle order Batter,7305,118*,29.69,3,1,5-Jan,35,0,149,4,-5.3,138.3
Southern Brave (Men),England,Jason Roy,Opening Batter,10554,145*,27.2,6,1,23-Jan,39,0,202,0,-11.79,140
Southern Brave (Men),South Africa,Faf du Plessis,Middle order Batter,11906,120*,32.88,8,50,19-May,18.34,2,211,0,14.54,139.2
Southern Brave (Men),New Zealand,Michael Bracewell,Batting Allrounder,3438,141*,26.85,1,94,28-Apr,25.23,0,114,1,1.62,140
Southern Brave (Men),England,James Coles,Allrounder,1041,77*,27.39,0,37,12-Apr,30.37,0,32,0,-2.98,145.1
Southern Brave (Men),England,Craig Overton,Bowling Allrounder,596,42,15.68,0,141,25-Apr,26.31,0,98,0,-10.62,133.1
Southern Brave (Men),England,Jordan Thompson,Bowling Allrounder,1262,74,17.05,0,131,21-May,25.21,1,44,0,-8.15,153.8
Southern Brave (Men),England,Jofra Archer,Bowler,715,36,14.3,0,225,18-Apr,23.47,0,57,0,-9.17,138.3
Southern Brave (Men),England,Danny Briggs,Bowler,389,35*,13.41,0,311,19-May,21.46,1,50,0,-8.05,127.8
Southern Brave (Men),England,Chris Jordan,Bowler,2476,73,16.84,0,439,6-Apr,27.05,0,214,0,-10.21,134.2
Southern Brave (Men),England,Tymal Mills,Bowler,237,30,6.07,0,320,13-Apr,23.36,0,39,0,-17.29,105.9
Southern Brave (Men),England,Reece Topley,Bowler,122,14*,12.2,0,240,20-Apr,23.37,0,41,0,-11.17,96.2
Trent Rockets (Men),England,Tom Banton,Wicketkeeper Batter,4778,107*,27.3,4,-,-,-,-,103,10,-,142.2
Trent Rockets (Men),England,Ben Cox,Wicketkeeper Batter,2889,70*,27,0,-,-,-,-,92,38,-,129.2
Trent Rockets (Men),England,Sam Hain,Middle order Batter,5053,112*,38.57,1,-,-,-,-,87,0,-,134.1
Trent Rockets (Men),England,Max Holden,Top order Batter,2324,121*,26.4,2,0,-,-,0,37,0,-,142.5
Trent Rockets (Men),England,Joe Root,Top order Batter,3062,92*,32.23,0,35,7-Feb,28.05,0,58,0,4.17,130.9
Trent Rockets (Men),England,Ross Whiteley,Middle order Batter,3648,91*,23.08,0,10,23-Mar,33.1,0,93,0,-10.01,0
Trent Rockets (Men),England,Tom Alsop,Wicketkeeper Batter,2229,87*,27.51,0,-,-,-,-,37,5,-,130.8
Trent Rockets (Men),England,Adam Hose,Middle order Batter,4297,119,29.03,2,-,-,-,-,90,0,-,141.1
Trent Rockets (Men),England,David Willey,Bowling Allrounder,4773,118,22.3,2,362,7-Apr,23.45,0,165,0,-1.14,135.9
Trent Rockets (Men),England,Calvin Harrison,Bowling Allrounder,313,23,12.03,0,65,11-May,25.06,1,46,0,-13.02,113.8
Trent Rockets (Men),South Africa,George Linde,Allrounder,2417,66*,19.49,0,194,19-Apr,26.33,0,58,0,-6.84,139.5
Trent Rockets (Men),England,Rehan Ahmed,Bowling Allrounder,956,52*,19.12,0,80,22-Apr,27.41,0,22,0,-8.29,123.3
Trent Rockets (Men),Australia,Marcus Stoinis,Batting Allrounder,6849,147*,29.26,2,180,15-Apr,27.08,0,86,0,2.18,137.1
Trent Rockets (Men),England,Sam Cook,Bowler,65,18,6.5,0,102,15-Apr,27.16,0,29,0,-20.66,0
Trent Rockets (Men),New Zealand,Lockie Ferguson,Bowler,288,30,11.07,0,228,21-May,22.32,1,52,0,-11.24,116.2
Trent Rockets (Men),West Indies,Akeal Hosein,Bowler,1093,55*,15.61,0,230,11-May,25.14,1,47,0,-9.53,110.6
Trent Rockets (Men),England,Callum Parkinson,Bowler,317,27*,11.32,0,166,20-Apr,22.13,0,24,0,-10.81,90.7
Trent Rockets (Men),England,Dillon Pennington,Bowler,74,10*,6.16,0,71,9-Apr,28.04,0,22,0,-21.87,80
Trent Rockets (Men),England,Ben Sanderson,Bowler,121,27,8.64,0,131,8-Jun,23.2,1,22,0,-14.56,88.3
Trent Rockets (Men),England,John Turner,Bowler,12,4,6,0,48,23-Apr,18.85,0,5,0,-12.85,60
Welsh Fire (Men),England,Tom Abell,Middle order Batter,3715,101*,29.25,1,2,11-Jan,50,0,98,0,-20.74,133.5
Welsh Fire (Men),England,Jonny Bairstow,Wicketkeeper Batter,5895,116,30.7,5,-,-,-,-,131,16,-,141.8
Welsh Fire (Men),England,Stephen Eskinazi,Top order Batter,3688,102*,31.52,1,-,-,-,-,51,0,-,0
