Player,Span,Team,Country,SR,Bowling Style
B Stanlake,2017-2017,Chennai Super Kings,Australia,59.3,Fast
MA Starc,2014-2015,Chennai Super Kings,Australia,94.5,Fast
DW Steyn,2008-2020,Chennai Super Kings,South Africa,107.1,Fast
MP Stoinis,2019-2019,Chennai Super Kings,Australia,137.1,Medium
Suyash Sharma,2025-2025,Chennai Super Kings,Kolkata Knight Riders,,Legbreak
Swapnil Singh,2024-2024,Chennai Super Kings,Kings XI Punjab,129.0,Orthodox
J Syed Mohammad,2011-2013,Chennai Super Kings,Royal Challengers Bangalore,102.9,Orthodox
YV Takawale,2014-2014,Chennai Super Kings,Mumbai Indians,107.9,
LRPL Taylor,2008-2010,Chennai Super Kings,New Zealand,121.3,Offbreak
N Thushara,2025-2025,Chennai Super Kings,Sri Lanka,65.1,Medium
SS Tiwary,2011-2013,Chennai Super Kings,Mumbai Indians,120.5,
RJW Topley,2023-2024,Chennai Super Kings,England,96.2,Medium
I Udana,2020-2020,Chennai Super Kings,Sri Lanka,131.1,Medium
JD Unadkat,2013-2013,Chennai Super Kings,India,117.9,Medium
RV Uthappa,2009-2010,Chennai Super Kings,India,130.5,Medium
RE van der Merwe,2009-2010,Chennai Super Kings,South Africa,134.9,Orthodox
JJ van der Wath,2011-2011,Chennai Super Kings,South Africa,116.4,Medium
DL Vettori,2011-2012,Chennai Super Kings,New Zealand,110.0,Orthodox
R Vinay Kumar,2008-2013,Chennai Super Kings,India,112.0,Medium
Vishnu Vinod,2017-2017,Chennai Super Kings,Royal Challengers Bangalore,145.8,
M Vohra,2018-2018,Chennai Super Kings,Kings XI Punjab,131.1,Medium
V Vyshak,2023-2024,Chennai Super Kings,Royal Challengers Bangalore,100.0,Medium
Washington Sundar,2018-2021,Chennai Super Kings,India,128.9,Offbreak
SR Watson,2016-2017,Chennai Super Kings,Australia,138.3,Medium
CL White,2008-2010,Chennai Super Kings,Australia,121.1,Legbreak
D Wiese,2015-2016,Chennai Super Kings,South Africa,141.5,Medium
DJ Willey,2022-2023,Chennai Super Kings,England,135.9,Medium
CR Woakes,2018-2018,Chennai Super Kings,England,125.9,Medium
UT Yadav,2018-2020,Chennai Super Kings,India,102.2,Fast
Yash Dayal,2024-2025,Chennai Super Kings,Gujarat Titans,50.0,Medium
Yuvraj Singh,2014-2014,Chennai Super Kings,India,131.5,Orthodox
A Zampa,2020-2020,Chennai Super Kings,Australia,86.5,Legbreak
VH Zol,2014-2014,Chennai Super Kings,Royal Challengers Bangalore,111.5,Offbreak
S Ladda,2011-2013,Deccan Chargers,Delhi Daredevils,0.0,Legbreak
AB Agarkar,2008-2010,Deccan Chargers,India,118.1,Medium
MM Ali,2025-2025,Deccan Chargers,England,139.7,Offbreak
Aman Hakim Khan,2022-2022,Deccan Chargers,Kolkata Knight Riders,128.1,Offbreak
Anureet Singh,2009-2009,Deccan Chargers,Kings XI Punjab,91.2,Medium
VG Arora,2023-2025,Deccan Chargers,Punjab Kings,42.3,Medium
Azhar Mahmood,2015-2015,Deccan Chargers,Sydney Thunder,131.0,Medium
L Balaji,2011-2013,Deccan Chargers,India,73.7,Medium
SB Bangar,2009-2009,Deccan Chargers,Deccan Chargers,84.5,Medium
T Banton,2020-2020,Deccan Chargers,England,141.9,
R Bhatia,2011-2013,Deccan Chargers,Delhi Daredevils,113.3,Medium
SW Billings,2022-2022,Deccan Chargers,England,134.3,
MS Bisla,2011-2014,Deccan Chargers,Kolkata Knight Riders,116.5,
SE Bond,2010-2010,Deccan Chargers,New Zealand,95.7,Fast
J Botha,2015-2015,Deccan Chargers,South Africa,117.6,Offbreak
MV Boucher,2011-2011,Deccan Chargers,South Africa,115.4,Medium
TA Boult,2017-2017,Deccan Chargers,New Zealand,116.7,Medium
CR Brathwaite,2019-2019,Deccan Chargers,West Indies,136.0,Medium
DM Bravo,2017-2017,Deccan Chargers,West Indies,114.0,Medium
KC Cariappa,2015-2019,Deccan Chargers,Kolkata Knight Riders,104.9,Legbreak
PVD Chameera,2024-2024,Deccan Chargers,Sri Lanka,94.0,Fast
PP Chawla,2014-2019,Deccan Chargers,India,113.3,Legbreak
A Chopra,2008-2009,Deccan Chargers,India Women,68.5,
NM Coulter-Nile,2017-2017,Deccan Chargers,Australia,132.2,Fast
PJ Cummins,2014-2022,Deccan Chargers,Australia,139.2,Fast
TK Curran,2018-2018,Deccan Chargers,England,143.5,Medium
DB Das,2008-2013,Deccan Chargers,Kolkata Knight Riders,123.9,Legbreak
C de Grandhomme,2017-2017,Deccan Chargers,New Zealand,143.9,Medium
Q de Kock,2025-2025,Deccan Chargers,South Africa,137.7,
M de Lange,2012-2012,Deccan Chargers,South Africa,129.8,Fast
JL Denly,2019-2019,Deccan Chargers,England,127.4,Legbreak
AB Dinda,2008-2010,Deccan Chargers,India,66.2,Medium
P Dogra,2013-2013,Deccan Chargers,Rajasthan Royals,110.5,Legbreak
LH Ferguson,2019-2023,Deccan Chargers,New Zealand,116.2,Fast
AJ Finch,2022-2022,Deccan Chargers,Australia,138.1,Orthodox
G Gambhir,2011-2017,Deccan Chargers,India,122.7,Legbreak
SC Ganguly,2008-2010,Deccan Chargers,Kolkata Knight Riders,106.8,Medium
RS Gavaskar,2010-2010,Deccan Chargers,Kolkata Knight Riders,25.0,Orthodox
CH Gayle,2009-2010,Deccan Chargers,West Indies,144.1,Offbreak
AN Ghosh,2009-2009,Deccan Chargers,Kolkata Knight Riders,87.5,Medium
SP Goswami,2011-2011,Deccan Chargers,Kolkata Knight Riders,107.3,
CJ Green,2020-2020,Deccan Chargers,Australia,137.8,Offbreak
HF Gurney,2019-2019,Deccan Chargers,England,73.3,Medium
BJ Haddin,2011-2011,Deccan Chargers,Australia,128.1,
Harbhajan Singh,2021-2021,Deccan Chargers,India,136.2,Offbreak
Harpreet Singh,2010-2010,Deccan Chargers,Pune Warriors,111.3,Medium
Harshit Rana,2022-2025,Deccan Chargers,India,112.5,Medium
JW Hastings,2016-2016,Deccan Chargers,Australia,162.9,Medium
MC Henriques,2009-2009,Deccan Chargers,Australia,128.0,Medium
BJ Hodge,2008-2010,Deccan Chargers,Australia,130.3,Offbreak
GB Hogg,2015-2016,Deccan Chargers,Australia,104.3,Chinaman
JO Holder,2016-2016,Deccan Chargers,West Indies,136.8,Medium
DJ Hussey,2008-2010,Deccan Chargers,Australia,124.4,Offbreak
B Indrajith,2022-2022,Deccan Chargers,Kolkata Knight Riders,123.7,
Iqbal Abdulla,2008-2013,Deccan Chargers,Kolkata Knight Riders,113.8,Orthodox
SS Iyer,2022-2024,Deccan Chargers,India,134.2,Legbreak
VR Iyer,2021-2025,Deccan Chargers,India,138.9,Medium
SP Jackson,2017-2022,Deccan Chargers,Kolkata Knight Riders,125.2,
N Jagadeesan,2023-2023,Deccan Chargers,Chennai Super Kings,126.9,
IR Jaggi,2017-2017,Deccan Chargers,Deccan Chargers,93.5,Legbreak
MG Johnson,2018-2018,Deccan Chargers,Australia,105.0,Fast
SH Johnson,2025-2025,Deccan Chargers,Australia,111.0,Fast
JH Kallis,2011-2014,Deccan Chargers,South Africa,112.7,Medium
KD Karthik,2018-2021,Deccan Chargers,India,136.8,
M Kartik,2008-2010,Deccan Chargers,India,103.7,Orthodox
K Khejroliya,2023-2023,Deccan Chargers,Royal Challengers Bangalore,,Medium
Kuldeep Yadav,2016-2020,Deccan Chargers,India,84.4,Chinaman
CK Langeveldt,2009-2010,Deccan Chargers,South Africa,70.6,Medium
B Lee,2011-2013,Deccan Chargers,Australia,129.2,Fast
Litton Das,2023-2023,Deccan Chargers,,0,
CA Lynn,2014-2019,Deccan Chargers,Australia,143.8,Orthodox
BB McCullum,2008-2013,Deccan Chargers,New Zealand,135.1,Medium
R McLaren,2013-2013,Deccan Chargers,South Africa,116.2,Medium
Mandeep Singh,2010-2023,Deccan Chargers,India,124.8,Orthodox
Mashrafe Mortaza,2009-2009,Deccan Chargers,Bangladesh,128.7,Medium
AD Mathews,2009-2010,Deccan Chargers,Sri Lanka,124.3,Medium
BAW Mendis,2008-2010,Deccan Chargers,Sri Lanka,67.6,Offbreak
Mohammad Hafeez,2008-2008,Deccan Chargers,Pakistan,116.7,Offbreak
Mohammed Shami,2013-2013,Deccan Chargers,India,103.4,Fast
EJG Morgan,2011-2021,Deccan Chargers,England,130.9,Medium
M Morkel,2014-2016,Deccan Chargers,South Africa,117.0,Fast
C Munro,2016-2016,Deccan Chargers,New Zealand,140.1,Medium
KL Nagarkoti,2020-2021,Deccan Chargers,Kolkata Knight Riders,65.8,Fast
NS Naik,2019-2020,Deccan Chargers,Kings XI Punjab,62.0,None
SP Narine,2012-2025,Deccan Chargers,West Indies,148.8,Offbreak
S Narwal,2013-2013,Deccan Chargers,Rajasthan Royals,137.0,Medium
A Nortje,2025-2025,Deccan Chargers,South Africa,95.0,Fast
MK Pandey,2014-2025,Deccan Chargers,India,122.0,Offbreak
MB Parmar,2010-2010,Deccan Chargers,Kolkata Knight Riders,,Offbreak
YK Pathan,2011-2017,Deccan Chargers,India,140.9,Offbreak
RT Ponting,2008-2008,Deccan Chargers,Australia,111.3,Medium
R Powell,2025-2025,Deccan Chargers,West Indies,141.4,Medium
M Prasidh Krishna,2018-2021,Deccan Chargers,India,34.5,Medium
Y Prithvi Raj,2019-2019,Deccan Chargers,Kolkata Knight Riders,0.0,Medium
CA Pujara,2010-2010,Deccan Chargers,Kolkata Knight Riders,105.5,Legbreak
A Raghuvanshi,2024-2025,Deccan Chargers,Kolkata Knight Riders,137.2,Orthodox
AM Rahane,2022-2025,Deccan Chargers,India,125.0,Medium
Rahmanullah Gurbaz,2023-2025,Deccan Chargers,Afghanistan,142.7,
AS Rajpoot,2016-2017,Deccan Chargers,Chennai Super Kings,63.4,Medium
Ramandeep Singh,2024-2025,Deccan Chargers,India,168.0,Medium
N Rana,2018-2024,Deccan Chargers,India,136.2,Offbreak
Rasikh Salam,2022-2022,Deccan Chargers,Mumbai Indians,95.7,Medium
AS Roy,2022-2025,Deccan Chargers,Mumbai Indians,152.7,Orthodox
JJ Roy,2023-2023,Deccan Chargers,England,140.0,
AD Russell,2014-2025,Deccan Chargers,West Indies,167.6,Fast
WP Saha,2008-2010,Deccan Chargers,Chennai Super Kings,125.5,
C Sakariya,2025-2025,Deccan Chargers,India,62.5,Medium
Salman Butt,2008-2008,Deccan Chargers,Pakistan,109.1,Offbreak
PD Salt,2024-2024,Deccan Chargers,England,155.9,Offbreak
S Sandeep Warrier,2019-2021,Deccan Chargers,India,60.0,Medium
PJ Sangwan,2012-2013,Deccan Chargers,Delhi Daredevils,64.4,Medium
SS Sarkar,2009-2009,Deccan Chargers,Kolkata Knight Riders,,Medium
R Sathish,2016-2016,Deccan Chargers,Mumbai Indians,141.9,Medium
JPR Scantlebury-Searles,2018-2018,Deccan Chargers,,0,
TL Seifert,2021-2021,Deccan Chargers,New Zealand,135.0,
SMSM Senanayake,2013-2013,Deccan Chargers,Sri Lanka,90.1,Offbreak
OA Shah,2010-2010,Deccan Chargers,England,121.5,Offbreak
SS Shaikh,2009-2009,Deccan Chargers,Kolkata Knight Riders,85.7,Medium
Shakib Al Hasan,2011-2021,Deccan Chargers,Bangladesh,126.2,Orthodox
I Sharma,2008-2010,Deccan Chargers,India,83.3,Medium
Shivam Mavi,2018-2022,Deccan Chargers,India,100.0,Medium
Shoaib Akhtar,2008-2008,Deccan Chargers,Pakistan,100.0,Fast
Shubman Gill,2018-2021,Deccan Chargers,India,139.4,Offbreak
LR Shukla,2008-2013,Deccan Chargers,Kolkata Knight Riders,115.7,Medium
RK Singh,2018-2025,Deccan Chargers,India,150.9,Offbreak
TG Southee,2021-2023,Deccan Chargers,New Zealand,131.5,Medium
MA Starc,2024-2024,Deccan Chargers,Australia,94.5,Fast
Suyash Sharma,2023-2024,Deccan Chargers,Kolkata Knight Riders,,Legbreak
T Taibu,2008-2008,Deccan Chargers,Zimbabwe,102.9,Medium
RN ten Doeschate,2011-2015,Deccan Chargers,Netherlands,134.4,Medium
SN Thakur,2023-2023,Deccan Chargers,India,145.4,Medium
MK Tiwary,2010-2013,Deccan Chargers,India,114.9,Legbreak
A Tomar,2022-2022,Deccan Chargers,Singapore Women,84.8,Offbreak
RA Tripathi,2020-2021,Deccan Chargers,India,139.0,Medium
Umar Gul,2008-2008,Deccan Chargers,Pakistan,115.3,Medium
JD Unadkat,2010-2016,Deccan Chargers,India,117.9,Medium
RV Uthappa,2014-2019,Deccan Chargers,India,130.5,Medium
MN van Wyk,2009-2009,Deccan Chargers,South Africa,132.2,Orthodox
CV Varun,2020-2025,Deccan Chargers,India,81.9,Legbreak
