Team,Country,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Lucknow Super Giants,West Indies,Nicholas Pooran,Wicketkeeper Batter,9952,108*,30.06,4,-,-,-,-,243,36,-,149.6
Lucknow Super Giants,India,Yuvraj Chaudhary,Batting Allrounder,478,123,47.8,1,8,15-Apr,16.37,0,4,0,31.42,0
Lucknow Super Giants,India,Rajvardhan Hangargekar,Bowling Allrounder,28,11,9.33,0,14,Mar-36,30.85,0,4,0,-21.52,
Lucknow Super Giants,India,Arshin Kulkarni,Allrounder,324,62,24.92,0,10,22-Feb,32.9,0,3,0,-7.97,112.5
Lucknow Super Giants,Australia,Mitchell Marsh,Allrounder,5419,117,33.45,3,85,6-Apr,25.75,0,83,0,7.69,138
Lucknow Super Giants,India,Shahbaz Ahmed,Allrounder,1295,100*,25.9,1,69,7-Mar,30.28,0,40,0,-4.38,121.5
Lucknow Super Giants,India,Akash Deep,Bowler,84,17,10.5,0,52,Apr-35,26.51,0,10,0,-16.01,179.2
Lucknow Super Giants,India,Akash Singh,Bowler,44,17,11,0,20,19-Mar,33.75,0,3,0,-22.74,89.3
Lucknow Super Giants,India,Avesh Khan,Bowler,109,19*,9.08,0,165,17-May,25.89,1,32,0,-16.81,147.6
Lucknow Super Giants,New Zealand,Will O’Rourke,Bowler,,,,,,,,,,,,0
Lucknow Super Giants,India,Prince Yadav,Bowler,0,0,0,0,0,-,-,0,0,0,-,50
Lucknow Super Giants,India,Digvesh Rathi,Bowler,,,,,,,,,,,,0
Lucknow Super Giants,India,Ravi Bishnoi,Bowler,163,22*,6.52,0,185,13-Apr,23.8,0,56,0,-17.28,88.9
Lucknow Super Giants,India,Manimaran Siddharth,Bowler,1,1*,-,0,23,16-Apr,12.39,0,5,0,-,83.5
Lucknow Super Giants,India,Shardul Thakur,Bowler,459,68,10.92,0,202,25-Apr,26.92,0,54,0,-15.99,145.4
Lucknow Super Giants,West Indies,Shamar Joseph,Bowler,36,21*,36,0,29,9-Mar,28.44,0,7,0,7.55,128.6
Lucknow Super Giants,India,Mohsin Khan,Bowler,101,19,8.41,0,80,16-Apr,20.35,0,9,0,-11.93,122.9
Lucknow Super Giants,India,Mayank Yadav,Bowler,1,1*,-,0,25,14-Mar,18.2,0,6,0,-,0
Mumbai Indians,England,Jonny Bairstow,Wicketkeeper Batter,5895,116,30.7,5,-,-,-,-,131,16,-,141.8
Mumbai Indians,India,Bevon Jacobs,Middle order Batter,522,90*,29,0,-,-,-,-,10,0,-,138.5
Mumbai Indians,India,Robin Minz,Wicketkeeper,7272,92,28.18,0,0,-,-,0,131,39,-,40
Mumbai Indians,India,Naman Dhir,Top order Batter,563,62*,23.45,0,5,19-May,28.8,1,20,0,-5.34,175.9
Mumbai Indians,India,Rohit Sharma,Top order Batter,12248,121*,30.85,8,29,6-Apr,28.62,0,175,0,2.23,135
