Player,Span,Team,Record Type
DT Christian,2013-2021,Chennai Super Kings,Bowling
MJ Dagar,2024-2024,Chennai Super Kings,Bowling
TH David,2021-2025,Chennai Super Kings,Bowling
C de Grandhomme,2018-2019,Chennai Super Kings,Bowling
Q de Kock,2018-2018,Chennai Super Kings,Bowling
PW Hasaranga,2021-2023,Chennai Super Kings,Bowling
AB de Villiers,2011-2021,Chennai Super Kings,Bowling
TM Dilshan,2011-2013,Chennai Super Kings,Bowling
AB Dinda,2014-2015,Chennai Super Kings,Bowling
ND Doshi,2010-2010,Chennai Super Kings,Bowling
R Dravid,2008-2010,Chennai Super Kings,Bowling
S Dube,2019-2020,Chennai Super Kings,Bowling
F du Plessis,2022-2024,Chennai Super Kings,Bowling
D du Preez,2009-2009,Chennai Super Kings,Bowling
LH Ferguson,2024-2024,Chennai Super Kings,Bowling
AJ Finch,2020-2020,Chennai Super Kings,Bowling
GHS Garton,2021-2021,Chennai Super Kings,Bowling
CH Gayle,2011-2017,Chennai Super Kings,Bowling
SP Goswami,2008-2010,Chennai Super Kings,Bowling
C Green,2024-2024,Chennai Super Kings,Bowling
Gurkeerat Singh,2019-2020,Chennai Super Kings,Bowling
JR Hazlewood,2022-2025,Chennai Super Kings,Bowling
TM Head,2016-2017,Chennai Super Kings,Bowling
MC Henriques,2013-2013,Chennai Super Kings,Bowling
SO Hetmyer,2019-2019,Chennai Super Kings,Bowling
Iqbal Abdulla,2015-2017,Chennai Super Kings,Bowling
WG Jacks,2024-2024,Chennai Super Kings,Bowling
KM Jadhav,2016-2023,Chennai Super Kings,Bowling
W Jaffer,2008-2009,Chennai Super Kings,Bowling
SB Jakati,2014-2014,Chennai Super Kings,Bowling
KA Jamieson,2021-2021,Chennai Super Kings,Bowling
CJ Jordan,2016-2016,Chennai Super Kings,Bowling
AS Joseph,2024-2024,Chennai Super Kings,Bowling
SB Joshi,2008-2008,Chennai Super Kings,Bowling
M Kaif,2011-2012,Chennai Super Kings,Bowling
JH Kallis,2008-2010,Chennai Super Kings,Bowling
KD Karthik,2015-2024,Chennai Super Kings,Bowling
M Kartik,2013-2013,Chennai Super Kings,Bowling
S Kaul,2022-2022,Chennai Super Kings,Bowling
AA Kazi,2011-2011,Chennai Super Kings,Bowling
SN Khan,2015-2018,Chennai Super Kings,Bowling
Z Khan,2008-2013,Chennai Super Kings,Bowling
K Khejroliya,2018-2019,Chennai Super Kings,Bowling
H Klaasen,2019-2019,Chennai Super Kings,Bowling
V Kohli,2008-2025,Chennai Super Kings,Bowling
B Kumar,2025-2025,Chennai Super Kings,Bowling
P Kumar,2008-2010,Chennai Super Kings,Bowling
A Kumble,2008-2010,Chennai Super Kings,Bowling
CK Langeveldt,2011-2011,Chennai Super Kings,Bowling
LS Livingstone,2025-2025,Chennai Super Kings,Bowling
MK Lomror,2022-2024,Chennai Super Kings,Bowling
BB McCullum,2018-2018,Chennai Super Kings,Bowling
AB McDonald,2012-2013,Chennai Super Kings,Bowling
NJ Maddinson,2014-2015,Chennai Super Kings,Bowling
Mandeep Singh,2015-2018,Chennai Super Kings,Bowling
GJ Maxwell,2021-2024,Chennai Super Kings,Bowling
TS Mills,2017-2017,Chennai Super Kings,Bowling
AF Milne,2016-2017,Chennai Super Kings,Bowling
Misbah-ul-Haq,2008-2008,Chennai Super Kings,Bowling
A Mithun,2009-2013,Chennai Super Kings,Bowling
Mohammed Siraj,2018-2024,Chennai Super Kings,Bowling
EJG Morgan,2010-2010,Chennai Super Kings,Bowling
JA Morkel,2014-2014,Chennai Super Kings,Bowling
CH Morris,2020-2020,Chennai Super Kings,Bowling
A Mukund,2013-2013,Chennai Super Kings,Bowling
M Muralidaran,2012-2014,Chennai Super Kings,Bowling
KK Nair,2013-2013,Chennai Super Kings,Bowling
DP Nannes,2011-2011,Chennai Super Kings,Bowling
P Negi,2017-2019,Chennai Super Kings,Bowling
L Ngidi,2025-2025,Chennai Super Kings,Bowling
R Ninan,2011-2011,Chennai Super Kings,Bowling
AA Noffke,2008-2008,Chennai Super Kings,Bowling
D Padikkal,2020-2025,Chennai Super Kings,Bowling
MK Pandey,2009-2010,Chennai Super Kings,Bowling
KH Pandya,2025-2025,Chennai Super Kings,Bowling
Pankaj Singh,2009-2010,Chennai Super Kings,Bowling
P Parameswaran,2012-2012,Chennai Super Kings,Bowling
WD Parnell,2023-2023,Chennai Super Kings,Bowling
Parvez Rasool,2016-2016,Chennai Super Kings,Bowling
HV Patel,2012-2023,Chennai Super Kings,Bowling
PA Patel,2014-2019,Chennai Super Kings,Bowling
AUK Pathan,2011-2012,Chennai Super Kings,Bowling
RM Patidar,2021-2025,Chennai Super Kings,Bowling
DT Patil,2008-2008,Chennai Super Kings,Bowling
JR Philippe,2020-2020,Chennai Super Kings,Bowling
KP Pietersen,2009-2010,Chennai Super Kings,Bowling
LA Pomersbach,2011-2011,Chennai Super Kings,Bowling
SS Prabhudessai,2022-2024,Chennai Super Kings,Bowling
CA Pujara,2011-2013,Chennai Super Kings,Bowling
KL Rahul,2013-2016,Chennai Super Kings,Bowling
R Rampaul,2013-2014,Chennai Super Kings,Bowling
S Rana,2014-2014,Chennai Super Kings,Bowling
Rasikh Salam,2025-2025,Chennai Super Kings,Bowling
P Ray Barman,2019-2019,Chennai Super Kings,Bowling
