Player,Span,Team
JD Unadkat,2024-2025,Gujarat Lions
Y Venugopal Rao,2014-2014,Gujarat Lions
AU Verma,2025-2025,Gujarat Lions
GH Vihari,2013-2015,Gujarat Lions
Virat Singh,2021-2021,Gujarat Lions
Vivrant Sharma,2023-2023,Gujarat Lions
V Viyaskanth,2024-2024,Gujarat Lions
DA Warner,2014-2021,Gujarat Lions
Washington Sundar,2022-2024,Gujarat Lions
CL White,2013-2013,Gujarat Lions
KS Williamson,2015-2022,Gujarat Lions
Yuvraj Singh,2016-2017,Gujarat Lions
A Zampa,2025-2025,Gujarat Lions
Zeeshan Ansari,2025-2025,Gujarat Lions
Abdul Samad,2025-2025,Gujarat Titans
Akash Deep,2025-2025,Gujarat Titans
Akash Singh,2025-2025,Gujarat Titans
Arshad Khan,2024-2024,Gujarat Titans
Avesh Khan,2022-2025,Gujarat Titans
A Badoni,2022-2025,Gujarat Titans
MP Breetzke,2025-2025,Gujarat Titans
PVD Chameera,2022-2022,Gujarat Titans
Q de Kock,2022-2024,Gujarat Titans
K Gowtham,2022-2024,Gujarat Titans
MJ Henry,2024-2024,Gujarat Titans
Himmat Singh,2025-2025,Gujarat Titans
JO Holder,2022-2022,Gujarat Titans
DJ Hooda,2022-2024,Gujarat Titans
S Joseph,2024-2024,Gujarat Titans
AA Kulkarni,2024-2024,Gujarat Titans
E Lewis,2022-2022,Gujarat Titans
PN Mankad,2023-2023,Gujarat Titans
AK Markram,2025-2025,Gujarat Titans
MR Marsh,2025-2025,Gujarat Titans
KR Mayers,2023-2023,Gujarat Titans
DA Miller,2025-2025,Gujarat Titans
A Mishra,2023-2024,Gujarat Titans
Mohsin Khan,2022-2024,Gujarat Titans
Naveen-ul-Haq,2023-2024,Gujarat Titans
W O'Rourke,2025-2025,Gujarat Titans
D Padikkal,2024-2024,Gujarat Titans
MK Pandey,2022-2022,Gujarat Titans
KH Pandya,2022-2024,Gujarat Titans
RR Pant,2025-2025,Gujarat Titans
N Pooran,2023-2025,Gujarat Titans
Prince Yadav,2025-2025,Gujarat Titans
KL Rahul,2022-2024,Gujarat Titans
DS Rathi,2025-2025,Gujarat Titans
Ravi Bishnoi,2022-2025,Gujarat Titans
Shahbaz Ahmed,2025-2025,Gujarat Titans
KS Sharma,2022-2023,Gujarat Titans
R Shepherd,2023-2023,Gujarat Titans
M Siddharth,2024-2025,Gujarat Titans
MP Stoinis,2022-2024,Gujarat Titans
Swapnil Singh,2023-2023,Gujarat Titans
SN Thakur,2025-2025,Gujarat Titans
Yash Thakur,2023-2024,Gujarat Titans
AJ Turner,2024-2024,Gujarat Titans
AJ Tye,2022-2022,Gujarat Titans
JD Unadkat,2023-2023,Gujarat Titans
M Vohra,2022-2023,Gujarat Titans
MA Wood,2023-2023,Gujarat Titans
MP Yadav,2024-2025,Gujarat Titans
Yudhvir Singh,2023-2024,Gujarat Titans
P Amarnath,2008-2008,Kings XI Punjab
KK Ahmed,2025-2025,Kings XI Punjab
Akash Singh,2023-2023,Kings XI Punjab
MM Ali,2021-2024,Kings XI Punjab
S Anirudha,2008-2013,Kings XI Punjab
KB Arun Karthik,2010-2010,Kings XI Punjab
R Ashwin,2009-2025,Kings XI Punjab
KM Asif,2018-2021,Kings XI Punjab
S Badree,2014-2014,Kings XI Punjab
S Badrinath,2008-2013,Kings XI Punjab
GJ Bailey,2009-2010,Kings XI Punjab
L Balaji,2008-2010,Kings XI Punjab
SW Billings,2018-2019,Kings XI Punjab
DE Bollinger,2010-2012,Kings XI Punjab
DJ Bravo,2011-2022,Kings XI Punjab
D Brevis,2025-2025,Kings XI Punjab
DL Chahar,2018-2024,Kings XI Punjab
PP Chawla,2020-2020,Kings XI Punjab
DP Conway,2022-2025,Kings XI Punjab
SM Curran,2020-2025,Kings XI Punjab
TU Deshpande,2022-2024,Kings XI Punjab
MS Dhoni,2008-2025,Kings XI Punjab
S Dube,2022-2025,Kings XI Punjab
F du Plessis,2012-2021,Kings XI Punjab
NT Ellis,2025-2025,Kings XI Punjab
SP Fleming,2008-2008,Kings XI Punjab
A Flintoff,2009-2009,Kings XI Punjab
RD Gaikwad,2020-2025,Kings XI Punjab
C Ganapathy,2010-2010,Kings XI Punjab
RJ Gleeson,2024-2024,Kings XI Punjab
MS Gony,2008-2010,Kings XI Punjab
RS Hangargekar,2023-2023,Kings XI Punjab
Harbhajan Singh,2018-2019,Kings XI Punjab
JW Hastings,2014-2014,Kings XI Punjab
ML Hayden,2008-2010,Kings XI Punjab
JR Hazlewood,2020-2021,Kings XI Punjab
BW Hilfenhaus,2012-2014,Kings XI Punjab
JO Holder,2013-2013,Kings XI Punjab
DJ Hooda,2025-2025,Kings XI Punjab
DJ Hussey,2014-2014,Kings XI Punjab
MEK Hussey,2008-2015,Kings XI Punjab
Imran Tahir,2018-2021,Kings XI Punjab
RA Jadeja,2012-2025,Kings XI Punjab
KM Jadhav,2018-2020,Kings XI Punjab
N Jagadeesan,2020-2022,Kings XI Punjab
SB Jakati,2009-2012,Kings XI Punjab
Joginder Sharma,2008-2011,Kings XI Punjab
CJ Jordan,2022-2022,Kings XI Punjab
S Randiv,2011-2011,Kings XI Punjab
A Kamboj,2025-2025,Kings XI Punjab
CK Kapugedera,2008-2008,Kings XI Punjab
JM Kemp,2010-2010,Kings XI Punjab
SC Kuggeleijn,2019-2019,Kings XI Punjab
KMDN Kulasekara,2011-2012,Kings XI Punjab
B Laughlin,2013-2013,Kings XI Punjab
BB McCullum,2014-2015,Kings XI Punjab
SSB Magala,2023-2023,Kings XI Punjab
VY Mahesh,2012-2012,Kings XI Punjab
M Manhas,2014-2014,Kings XI Punjab
A Mhatre,2025-2025,Kings XI Punjab
AF Milne,2022-2022,Kings XI Punjab
DJ Mitchell,2024-2024,Kings XI Punjab
Monu Kumar,2020-2020,Kings XI Punjab
RG More,2015-2015,Kings XI Punjab
JA Morkel,2008-2013,Kings XI Punjab
CH Morris,2013-2013,Kings XI Punjab
Mukesh Choudhary,2022-2025,Kings XI Punjab
A Mukund,2008-2008,Kings XI Punjab
M Muralidaran,2008-2010,Kings XI Punjab
Mustafizur Rahman,2024-2024,Kings XI Punjab
DP Nannes,2013-2013,Kings XI Punjab
P Negi,2014-2015,Kings XI Punjab
A Nehra,2014-2015,Kings XI Punjab
L Ngidi,2018-2021,Kings XI Punjab
Noor Ahmad,2025-2025,Kings XI Punjab
M Ntini,2008-2008,Kings XI Punjab
JDP Oram,2008-2009,Kings XI Punjab
J Overton,2025-2025,Kings XI Punjab
IC Pandey,2014-2015,Kings XI Punjab
PA Patel,2008-2010,Kings XI Punjab
UM Patel,2025-2025,Kings XI Punjab
M Pathirana,2022-2025,Kings XI Punjab
NLTC Perera,2010-2010,Kings XI Punjab
D Pretorius,2022-2023,Kings XI Punjab
AM Rahane,2023-2024,Kings XI Punjab
SK Raina,2008-2021,Kings XI Punjab
AS Rajpoot,2013-2013,Kings XI Punjab
SK Rasheed,2025-2025,Kings XI Punjab
R Ravindra,2024-2025,Kings XI Punjab
AT Rayudu,2018-2023,Kings XI Punjab
WP Saha,2011-2013,Kings XI Punjab
Sameer Rizvi,2024-2024,Kings XI Punjab
MJ Santner,2019-2024,Kings XI Punjab
V Shankar,2014-2025,Kings XI Punjab
KV Sharma,2018-2020,Kings XI Punjab
MM Sharma,2013-2019,Kings XI Punjab
DR Shorey,2018-2019,Kings XI Punjab
Simarjeet Singh,2022-2024,Kings XI Punjab
DR Smith,2014-2015,Kings XI Punjab
PH Solanki,2022-2022,Kings XI Punjab
TG Southee,2011-2011,Kings XI Punjab
BA Stokes,2023-2023,Kings XI Punjab
SB Styris,2011-2011,Kings XI Punjab
SN Thakur,2018-2024,Kings XI Punjab
M Theekshana,2022-2024,Kings XI Punjab
T Thushara,2009-2010,Kings XI Punjab
RA Tripathi,2025-2025,Kings XI Punjab
S Tyagi,2009-2010,Kings XI Punjab
RV Uthappa,2021-2022,Kings XI Punjab
S Vidyut,2008-2008,Kings XI Punjab
M Vijay,2009-2020,Kings XI Punjab
SR Watson,2018-2020,Kings XI Punjab
DJ Willey,2018-2018,Kings XI Punjab
MA Wood,2018-2018,Kings XI Punjab
UA Birla,2013-2013,Kochi Tuskers Kerala
MJ Clarke,2012-2012,Kochi Tuskers Kerala
AB Dinda,2012-2013,Kochi Tuskers Kerala
JP Faulkner,2011-2011,Kochi Tuskers Kerala
CJ Ferguson,2011-2012,Kochi Tuskers Kerala
AJ Finch,2013-2013,Kochi Tuskers Kerala
SC Ganguly,2011-2012,Kochi Tuskers Kerala
RV Gomez,2013-2013,Kochi Tuskers Kerala
Harpreet Singh,2011-2012,Kochi Tuskers Kerala
AA Jhunjhunwala,2011-2011,Kochi Tuskers Kerala
Kamran Khan,2011-2011,Kochi Tuskers Kerala
M Kartik,2011-2012,Kochi Tuskers Kerala
B Kumar,2011-2013,Kochi Tuskers Kerala
NL McCullum,2011-2011,Kochi Tuskers Kerala
AP Majumdar,2012-2012,Kochi Tuskers Kerala
M Manhas,2011-2013,Kochi Tuskers Kerala
MR Marsh,2011-2013,Kochi Tuskers Kerala
AD Mathews,2012-2013,Kochi Tuskers Kerala
BAW Mendis,2013-2013,Kochi Tuskers Kerala
MD Mishra,2011-2012,Kochi Tuskers Kerala
SS Mundhe,2011-2011,Kochi Tuskers Kerala
AG Murtaza,2012-2013,Kochi Tuskers Kerala
AM Nayar,2013-2013,Kochi Tuskers Kerala
A Nehra,2012-2012,Kochi Tuskers Kerala
TD Paine,2011-2011,Kochi Tuskers Kerala
IC Pandey,2013-2013,Kochi Tuskers Kerala
MK Pandey,2011-2013,Kochi Tuskers Kerala
WD Parnell,2011-2013,Kochi Tuskers Kerala
Parvez Rasool,2013-2013,Kochi Tuskers Kerala
S Rana,2011-2011,Kochi Tuskers Kerala
M Rawat,2013-2013,Kochi Tuskers Kerala
KW Richardson,2013-2013,Kochi Tuskers Kerala
JD Ryder,2011-2012,Kochi Tuskers Kerala
MN Samuels,2012-2013,Kochi Tuskers Kerala
R Sharma,2011-2013,Kochi Tuskers Kerala
GC Smith,2011-2011,Kochi Tuskers Kerala
SPD Smith,2012-2013,Kochi Tuskers Kerala
TL Suman,2013-2013,Kochi Tuskers Kerala
JE Taylor,2011-2011,Kochi Tuskers Kerala
LRPL Taylor,2013-2013,Kochi Tuskers Kerala
AC Thomas,2011-2012,Kochi Tuskers Kerala
K Upadhyay,2012-2013,Kochi Tuskers Kerala
RV Uthappa,2011-2013,Kochi Tuskers Kerala
SB Wagh,2011-2011,Kochi Tuskers Kerala
LJ Wright,2012-2013,Kochi Tuskers Kerala
Yuvraj Singh,2011-2013,Kochi Tuskers Kerala
S Ladda,2010-2010,Kolkata Knight Riders
AR Bawne,2017-2017,Kolkata Knight Riders
VR Aaron,2011-2012,Kolkata Knight Riders
Abhishek Sharma,2018-2018,Kolkata Knight Riders
Abishek Porel,2023-2025,Kolkata Knight Riders
AB Agarkar,2011-2013,Kolkata Knight Riders
MA Agarwal,2014-2016,Kolkata Knight Riders
KK Ahmed,2022-2024,Kolkata Knight Riders
Aman Hakim Khan,2023-2023,Kolkata Knight Riders
CJ Anderson,2017-2017,Kolkata Knight Riders
R Ashwin,2020-2021,Kolkata Knight Riders
Avesh Khan,2018-2021,Kolkata Knight Riders
KS Bharat,2022-2022,Kolkata Knight Riders
R Bhatia,2008-2010,Kolkata Knight Riders
RK Bhui,2024-2024,Kolkata Knight Riders
SW Billings,2016-2017,Kolkata Knight Riders
TR Birt,2011-2011,Kolkata Knight Riders
J Botha,2013-2013,Kolkata Knight Riders
TA Boult,2018-2019,Kolkata Knight Riders
DAJ Bracewell,2012-2012,Kolkata Knight Riders
CR Brathwaite,2016-2017,Kolkata Knight Riders
AT Carey,2020-2020,Kolkata Knight Riders
PVD Chameera,2025-2025,Kolkata Knight Riders
UBT Chand,2011-2013,Kolkata Knight Riders
B Chipli,2013-2013,Kolkata Knight Riders
DT Christian,2018-2018,Kolkata Knight Riders
PD Collingwood,2010-2010,Kolkata Knight Riders
NM Coulter-Nile,2014-2016,Kolkata Knight Riders
PJ Cummins,2017-2017,Kolkata Knight Riders
TK Curran,2021-2021,Kolkata Knight Riders
CJ Dala,2018-2018,Kolkata Knight Riders
Q de Kock,2014-2016,Kolkata Knight Riders
TU Deshpande,2020-2020,Kolkata Knight Riders
AB de Villiers,2008-2010,Kolkata Knight Riders
S Dhawan,2008-2021,Kolkata Knight Riders
YV Dhull,2023-2023,Kolkata Knight Riders
TM Dilshan,2008-2010,Kolkata Knight Riders
AB Dinda,2011-2011,Kolkata Knight Riders
P Dubey,2020-2023,Kolkata Knight Riders
JP Duminy,2014-2016,Kolkata Knight Riders
F du Plessis,2025-2025,Kolkata Knight Riders
D Ferreira,2025-2025,Kolkata Knight Riders
AJ Finch,2011-2012,Kolkata Knight Riders
J Fraser-McGurk,2024-2025,Kolkata Knight Riders
G Gambhir,2008-2018,Kolkata Knight Riders
PK Garg,2023-2023,Kolkata Knight Riders
CM Gautam,2013-2015,Kolkata Knight Riders
B Geeves,2008-2008,Kolkata Knight Riders
Gulbadin Naib,2024-2024,Kolkata Knight Riders
Sunny Gupta,2012-2012,Kolkata Knight Riders
MC Henriques,2010-2010,Kolkata Knight Riders
SO Hetmyer,2020-2021,Kolkata Knight Riders
SD Hope,2024-2024,Kolkata Knight Riders
JR Hopes,2011-2011,Kolkata Knight Riders
Imran Tahir,2014-2016,Kolkata Knight Riders
CA Ingram,2011-2019,Kolkata Knight Riders
SS Iyer,2015-2021,Kolkata Knight Riders
KM Jadhav,2010-2015,Kolkata Knight Riders
DPMD Jayawardene,2012-2013,Kolkata Knight Riders
MC Juneja,2013-2013,Kolkata Knight Riders
KD Karthik,2008-2014,Kolkata Knight Riders
S Kaul,2013-2014,Kolkata Knight Riders
SN Khan,2022-2023,Kolkata Knight Riders
Z Khan,2015-2017,Kolkata Knight Riders
Kuldeep Yadav,2022-2025,Kolkata Knight Riders
K Kushagra,2024-2024,Kolkata Knight Riders
S Lamichhane,2018-2019,Kolkata Knight Riders
AB McDonald,2009-2011,Kolkata Knight Riders
GD McGrath,2008-2008,Kolkata Knight Riders
MF Maharoof,2008-2010,Kolkata Knight Riders
VY Mahesh,2008-2010,Kolkata Knight Riders
Mandeep Singh,2022-2022,Kolkata Knight Riders
M Manhas,2008-2010,Kolkata Knight Riders
MR Marsh,2022-2024,Kolkata Knight Riders
AD Mathews,2015-2017,Kolkata Knight Riders
GJ Maxwell,2012-2018,Kolkata Knight Riders
BMAJ Mendis,2013-2013,Kolkata Knight Riders
LI Meriwala,2021-2021,Kolkata Knight Riders
A Mishra,2008-2021,Kolkata Knight Riders
Mohammad Asif,2008-2008,Kolkata Knight Riders
Mohammed Shami,2014-2018,Kolkata Knight Riders
JA Morkel,2015-2015,Kolkata Knight Riders
M Morkel,2011-2013,Kolkata Knight Riders
CH Morris,2016-2019,Kolkata Knight Riders
Mukesh Kumar,2023-2025,Kolkata Knight Riders
C Munro,2018-2019,Kolkata Knight Riders
Mustafizur Rahman,2022-2025,Kolkata Knight Riders
DJ Muthuswami,2015-2015,Kolkata Knight Riders
S Nadeem,2011-2018,Kolkata Knight Riders
Y Nagar,2009-2012,Kolkata Knight Riders
KL Nagarkoti,2022-2022,Kolkata Knight Riders
KK Nair,2016-2025,Kolkata Knight Riders
DP Nannes,2009-2010,Kolkata Knight Riders
T Natarajan,2025-2025,Kolkata Knight Riders
JDS Neesham,2014-2014,Kolkata Knight Riders
P Negi,2012-2016,Kolkata Knight Riders
A Nehra,2009-2013,Kolkata Knight Riders
V Nigam,2025-2025,Kolkata Knight Riders
A Nortje,2020-2024,Kolkata Knight Riders
NV Ojha,2011-2018,Kolkata Knight Riders
MK Pandey,2023-2023,Kolkata Knight Riders
RR Pant,2016-2024,Kolkata Knight Riders
WD Parnell,2014-2014,Kolkata Knight Riders
AR Patel,2019-2025,Kolkata Knight Riders
HV Patel,2018-2020,Kolkata Knight Riders
RV Patel,2021-2023,Kolkata Knight Riders
IK Pathan,2011-2013,Kolkata Knight Riders
KMA Paul,2019-2019,Kolkata Knight Riders
KP Pietersen,2012-2014,Kolkata Knight Riders
LE Plunkett,2018-2018,Kolkata Knight Riders
R Powell,2022-2023,Kolkata Knight Riders
K Rabada,2017-2021,Kolkata Knight Riders
AM Rahane,2020-2021,Kolkata Knight Riders
KL Rahul,2025-2025,Kolkata Knight Riders
Rasikh Salam,2024-2024,Kolkata Knight Riders
JA Richardson,2024-2024,Kolkata Knight Riders
BJ Rohrer,2013-2013,Kolkata Knight Riders
RR Rossouw,2023-2023,Kolkata Knight Riders
JJ Roy,2018-2018,Kolkata Knight Riders
AD Russell,2012-2013,Kolkata Knight Riders
SE Rutherford,2019-2019,Kolkata Knight Riders
C Sakariya,2022-2023,Kolkata Knight Riders
PD Salt,2023-2023,Kolkata Knight Riders
AM Salvi,2009-2011,Kolkata Knight Riders
Sameer Rizvi,2025-2025,Kolkata Knight Riders
DR Sams,2020-2020,Kolkata Knight Riders
SV Samson,2016-2017,Kolkata Knight Riders
MN Samuels,2017-2017,Kolkata Knight Riders
GS Sandhu,2015-2015,Kolkata Knight Riders
PJ Sangwan,2008-2010,Kolkata Knight Riders
Sediqullah Atal,2025-2025,Kolkata Knight Riders
V Sehwag,2008-2013,Kolkata Knight Riders
TL Seifert,2022-2022,Kolkata Knight Riders
V Shankar,2018-2018,Kolkata Knight Riders
AR Sharma,2025-2025,Kolkata Knight Riders
I Sharma,2019-2024,Kolkata Knight Riders
MM Sharma,2020-2025,Kolkata Knight Riders
R Sharma,2014-2014,Kolkata Knight Riders
PP Shaw,2018-2024,Kolkata Knight Riders
Shoaib Malik,2008-2008,Kolkata Knight Riders
LR Shukla,2014-2014,Kolkata Knight Riders
R Shukla,2014-2014,Kolkata Knight Riders
SPD Smith,2021-2021,Kolkata Knight Riders
S Sriram,2011-2011,Kolkata Knight Riders
MA Starc,2025-2025,Kolkata Knight Riders
MP Stoinis,2020-2021,Kolkata Knight Riders
T Stubbs,2024-2025,Kolkata Knight Riders
J Suchith,2019-2019,Kolkata Knight Riders
Sumit Kumar,2024-2024,Kolkata Knight Riders
AP Tare,2017-2017,Kolkata Knight Riders
LRPL Taylor,2012-2014,Kolkata Knight Riders
R Tewatia,2018-2019,Kolkata Knight Riders
SN Thakur,2022-2022,Kolkata Knight Riders
M Tiwari,2025-2025,Kolkata Knight Riders
MK Tiwary,2008-2015,Kolkata Knight Riders
SS Tiwary,2015-2015,Kolkata Knight Riders
JD Unadkat,2014-2015,Kolkata Knight Riders
RE van der Merwe,2011-2013,Kolkata Knight Riders
Y Venugopal Rao,2011-2013,Kolkata Knight Riders
DL Vettori,2008-2010,Kolkata Knight Riders
GH Vihari,2019-2019,Kolkata Knight Riders
M Vijay,2014-2014,Kolkata Knight Riders
MS Wade,2011-2011,Kolkata Knight Riders
DA Warner,2009-2024,Kolkata Knight Riders
LB Williams,2024-2024,Kolkata Knight Riders
CR Woakes,2021-2021,Kolkata Knight Riders
J Yadav,2015-2017,Kolkata Knight Riders
Lalit Yadav,2021-2024,Kolkata Knight Riders
UT Yadav,2010-2013,Kolkata Knight Riders
Yuvraj Singh,2015-2015,Kolkata Knight Riders
VR Aaron,2022-2022,Lucknow Super Giants
Arshad Khan,2025-2025,Lucknow Super Giants
Azmatullah Omarzai,2024-2024,Lucknow Super Giants
JC Buttler,2025-2025,Lucknow Super Giants
G Coetzee,2025-2025,Lucknow Super Giants
LH Ferguson,2022-2022,Lucknow Super Giants
SH Johnson,2024-2024,Lucknow Super Giants
AS Joseph,2022-2023,Lucknow Super Giants
Karim Janat,2025-2025,Lucknow Super Giants
Kartik Tyagi,2024-2024,Lucknow Super Giants
K Khejroliya,2025-2025,Lucknow Super Giants
JB Little,2023-2024,Lucknow Super Giants
A Manohar,2022-2024,Lucknow Super Giants
BKG Mendis,2025-2025,Lucknow Super Giants
DA Miller,2022-2024,Lucknow Super Giants
Mohammed Shami,2022-2023,Lucknow Super Giants
Mohammed Siraj,2025-2025,Lucknow Super Giants
DG Nalkande,2022-2024,Lucknow Super Giants
Noor Ahmad,2023-2024,Lucknow Super Giants
HH Pandya,2022-2023,Lucknow Super Giants
M Prasidh Krishna,2025-2025,Lucknow Super Giants
K Rabada,2025-2025,Lucknow Super Giants
Rashid Khan,2022-2025,Lucknow Super Giants
SE Rutherford,2025-2025,Lucknow Super Giants
WP Saha,2022-2024,Lucknow Super Giants
B Sai Sudharsan,2022-2025,Lucknow Super Giants
R Sai Kishore,2022-2025,Lucknow Super Giants
S Sandeep Warrier,2024-2024,Lucknow Super Giants
PJ Sangwan,2022-2022,Lucknow Super Giants
M Shahrukh Khan,2024-2025,Lucknow Super Giants
MD Shanaka,2023-2023,Lucknow Super Giants
V Shankar,2022-2024,Lucknow Super Giants
BR Sharath,2024-2024,Lucknow Super Giants
I Sharma,2025-2025,Lucknow Super Giants
MM Sharma,2023-2024,Lucknow Super Giants
Shubman Gill,2022-2025,Lucknow Super Giants
MJ Suthar,2024-2024,Lucknow Super Giants
R Tewatia,2022-2025,Lucknow Super Giants
MS Wade,2022-2024,Lucknow Super Giants
Washington Sundar,2025-2025,Lucknow Super Giants
KS Williamson,2023-2024,Lucknow Super Giants
J Yadav,2023-2023,Lucknow Super Giants
UT Yadav,2024-2024,Lucknow Super Giants
Yash Dayal,2022-2023,Lucknow Super Giants
VR Aaron,2019-2020,Mumbai Indians
Abdul Basith,2023-2023,Mumbai Indians
Akash Singh,2021-2021,Mumbai Indians
Ankit Sharma,2014-2018,Mumbai Indians
Anuj Rawat,2021-2021,Mumbai Indians
Anureet Singh,2018-2018,Mumbai Indians
JC Archer,2018-2025,Mumbai Indians
M Ashwin,2023-2023,Mumbai Indians
R Ashwin,2022-2024,Mumbai Indians
KM Asif,2023-2023,Mumbai Indians
SA Asnodkar,2008-2011,Mumbai Indians
Avesh Khan,2024-2024,Mumbai Indians
S Badree,2013-2013,Mumbai Indians
R Bhatia,2014-2015,Mumbai Indians
STR Binny,2011-2019,Mumbai Indians
J Botha,2009-2012,Mumbai Indians
TA Boult,2022-2024,Mumbai Indians
N Burger,2024-2024,Mumbai Indians
JC Buttler,2018-2024,Mumbai Indians
LA Carseldine,2009-2009,Mumbai Indians
YS Chahal,2022-2024,Mumbai Indians
UBT Chand,2014-2014,Mumbai Indians
A Chandila,2012-2013,Mumbai Indians
AA Chavan,2011-2013,Mumbai Indians
SD Chitnis,2009-2009,Mumbai Indians
P Chopra,2018-2019,Mumbai Indians
KK Cooper,2012-2014,Mumbai Indians
NM Coulter-Nile,2022-2022,Mumbai Indians
TK Curran,2020-2020,Mumbai Indians
BCJ Cutting,2014-2014,Mumbai Indians
TU Deshpande,2025-2025,Mumbai Indians
P Dogra,2010-2010,Mumbai Indians
AP Dole,2010-2010,Mumbai Indians
ND Doshi,2011-2011,Mumbai Indians
R Dravid,2011-2013,Mumbai Indians
S Dube,2021-2021,Mumbai Indians
SB Dubey,2024-2025,Mumbai Indians
JP Faulkner,2013-2015,Mumbai Indians
FY Fazal,2010-2011,Mumbai Indians
Fazalhaq Farooqi,2025-2025,Mumbai Indians
D Ferreira,2024-2024,Mumbai Indians
AJ Finch,2010-2010,Mumbai Indians
S Gopal,2018-2021,Mumbai Indians
SP Goswami,2012-2012,Mumbai Indians
K Gowtham,2018-2019,Mumbai Indians
Harmeet Singh,2013-2013,Mumbai Indians
SM Harwood,2009-2009,Mumbai Indians
PW Hasaranga,2025-2025,Mumbai Indians
T Henderson,2009-2009,Mumbai Indians
SO Hetmyer,2022-2025,Mumbai Indians
BJ Hodge,2012-2014,Mumbai Indians
GB Hogg,2012-2013,Mumbai Indians
JO Holder,2023-2023,Mumbai Indians
DJ Hooda,2015-2015,Mumbai Indians
Iqbal Abdulla,2014-2014,Mumbai Indians
RA Jadeja,2008-2009,Mumbai Indians
YBK Jaiswal,2020-2025,Mumbai Indians
AA Jhunjhunwala,2010-2010,Mumbai Indians
DC Jurel,2023-2025,Mumbai Indians
M Kaif,2008-2008,Mumbai Indians
Kamran Akmal,2008-2008,Mumbai Indians
Kamran Khan,2009-2010,Mumbai Indians
K Kartikeya,2025-2025,Mumbai Indians
Kartik Tyagi,2020-2021,Mumbai Indians
H Klaasen,2018-2018,Mumbai Indians
T Kohler-Cadmore,2024-2024,Mumbai Indians
T Kohli,2008-2008,Mumbai Indians
TK Kotian,2024-2024,Mumbai Indians
DS Kulkarni,2014-2019,Mumbai Indians
B Laughlin,2018-2018,Mumbai Indians
DS Lehmann,2008-2008,Mumbai Indians
E Lewis,2021-2021,Mumbai Indians
LS Livingstone,2019-2021,Mumbai Indians
MK Lomror,2018-2021,Mumbai Indians
MJ Lumb,2010-2010,Mumbai Indians
OC McCoy,2022-2023,Mumbai Indians
KA Maharaj,2024-2024,Mumbai Indians
VS Malik,2013-2014,Mumbai Indians
A Madhwal,2025-2025,Mumbai Indians
KT Maphaka,2025-2025,Mumbai Indians
M Markande,2021-2021,Mumbai Indians
DR Martyn,2010-2010,Mumbai Indians
AD Mascarenhas,2008-2010,Mumbai Indians
AL Menaria,2011-2013,Mumbai Indians
S Midhun,2019-2019,Mumbai Indians
DA Miller,2020-2021,Mumbai Indians
DJ Mitchell,2022-2022,Mumbai Indians
M Morkel,2009-2010,Mumbai Indians
CH Morris,2015-2021,Mumbai Indians
Mustafizur Rahman,2021-2021,Mumbai Indians
KK Nair,2014-2022,Mumbai Indians
S Narwal,2010-2010,Mumbai Indians
AM Nayar,2014-2014,Mumbai Indians
JDS Neesham,2022-2022,Mumbai Indians
NV Ojha,2009-2010,Mumbai Indians
JDP Oram,2011-2011,Mumbai Indians
D Padikkal,2022-2023,Mumbai Indians
Pankaj Singh,2008-2012,Mumbai Indians
R Parag,2019-2025,Mumbai Indians
MM Patel,2008-2010,Mumbai Indians
NK Patel,2008-2009,Mumbai Indians
YK Pathan,2008-2010,Mumbai Indians
AG Paunikar,2010-2011,Mumbai Indians
MDKJ Perera,2013-2013,Mumbai Indians
GD Phillips,2021-2021,Mumbai Indians
R Powell,2024-2024,Mumbai Indians
M Prasidh Krishna,2022-2022,Mumbai Indians
LG Pretorius,2025-2025,Mumbai Indians
RJ Quiney,2009-2009,Mumbai Indians
AM Rahane,2011-2019,Mumbai Indians
AS Rajpoot,2020-2020,Mumbai Indians
N Rana,2025-2025,Mumbai Indians
KS Rathore,2025-2025,Mumbai Indians
AS Raut,2009-2011,Mumbai Indians
M Rawat,2008-2009,Mumbai Indians
KW Richardson,2014-2014,Mumbai Indians
JE Root,2023-2023,Mumbai Indians
Sachin Baby,2013-2013,Mumbai Indians
NA Saini,2022-2023,Mumbai Indians
C Sakariya,2021-2021,Mumbai Indians
D Salunkhe,2008-2008,Mumbai Indians
SV Samson,2013-2025,Mumbai Indians
Sandeep Sharma,2023-2025,Mumbai Indians
KR Sen,2022-2024,Mumbai Indians
OA Shah,2012-2013,Mumbai Indians
PR Shah,2011-2011,Mumbai Indians
T Shamsi,2021-2021,Mumbai Indians
DJM Short,2018-2018,Mumbai Indians
R Shukla,2013-2013,Mumbai Indians
A Singh,2009-2012,Mumbai Indians
GC Smith,2008-2010,Mumbai Indians
SPD Smith,2014-2020,Mumbai Indians
IS Sodhi,2018-2019,Mumbai Indians
Sohail Tanvir,2008-2008,Mumbai Indians
TG Southee,2014-2015,Mumbai Indians
BB Sran,2015-2015,Mumbai Indians
S Sreesanth,2013-2013,Mumbai Indians
BA Stokes,2018-2021,Mumbai Indians
V Suryavanshi,2025-2025,Mumbai Indians
SW Tait,2010-2013,Mumbai Indians
PV Tambe,2013-2015,Mumbai Indians
LRPL Taylor,2011-2011,Mumbai Indians
R Tewatia,2014-2021,Mumbai Indians
M Theekshana,2025-2025,Mumbai Indians
