Player,Span,Team
M Morkel,2014-2016,Deccan Chargers
C Munro,2016-2016,Deccan Chargers
KL Nagarkoti,2020-2021,Deccan Chargers
NS Naik,2019-2020,Deccan Chargers
SP Narine,2012-2025,Deccan Chargers
S Narwal,2013-2013,Deccan Chargers
A Nortje,2025-2025,Deccan Chargers
MK Pandey,2014-2025,Deccan Chargers
MB Parmar,2010-2010,Deccan Chargers
YK Pathan,2011-2017,Deccan Chargers
RT Ponting,2008-2008,Deccan Chargers
R Powell,2025-2025,Deccan Chargers
M Prasidh Krishna,2018-2021,Deccan Chargers
Y Prithvi Raj,2019-2019,Deccan Chargers
CA Pujara,2010-2010,Deccan Chargers
A Raghuvanshi,2024-2025,Deccan Chargers
AM Rahane,2022-2025,Deccan Chargers
Rahmanullah Gurbaz,2023-2025,Deccan Chargers
AS Rajpoot,2016-2017,Deccan Chargers
Ramandeep Singh,2024-2025,Deccan Chargers
N Rana,2018-2024,Deccan Chargers
Rasikh Salam,2022-2022,Deccan Chargers
AS Roy,2022-2025,Deccan Chargers
JJ Roy,2023-2023,Deccan Chargers
AD Russell,2014-2025,Deccan Chargers
WP Saha,2008-2010,Deccan Chargers
C Sakariya,2025-2025,Deccan Chargers
Salman Butt,2008-2008,Deccan Chargers
PD Salt,2024-2024,Deccan Chargers
S Sandeep Warrier,2019-2021,Deccan Chargers
PJ Sangwan,2012-2013,Deccan Chargers
SS Sarkar,2009-2009,Deccan Chargers
R Sathish,2016-2016,Deccan Chargers
JPR Scantlebury-Searles,2018-2018,Deccan Chargers
TL Seifert,2021-2021,Deccan Chargers
SMSM Senanayake,2013-2013,Deccan Chargers
OA Shah,2010-2010,Deccan Chargers
SS Shaikh,2009-2009,Deccan Chargers
Shakib Al Hasan,2011-2021,Deccan Chargers
I Sharma,2008-2010,Deccan Chargers
Shivam Mavi,2018-2022,Deccan Chargers
Shoaib Akhtar,2008-2008,Deccan Chargers
Shubman Gill,2018-2021,Deccan Chargers
LR Shukla,2008-2013,Deccan Chargers
RK Singh,2018-2025,Deccan Chargers
TG Southee,2021-2023,Deccan Chargers
MA Starc,2024-2024,Deccan Chargers
Suyash Sharma,2023-2024,Deccan Chargers
T Taibu,2008-2008,Deccan Chargers
RN ten Doeschate,2011-2015,Deccan Chargers
SN Thakur,2023-2023,Deccan Chargers
MK Tiwary,2010-2013,Deccan Chargers
A Tomar,2022-2022,Deccan Chargers
RA Tripathi,2020-2021,Deccan Chargers
Umar Gul,2008-2008,Deccan Chargers
JD Unadkat,2010-2016,Deccan Chargers
RV Uthappa,2014-2019,Deccan Chargers
MN van Wyk,2009-2009,Deccan Chargers
CV Varun,2020-2025,Deccan Chargers
R Vinay Kumar,2014-2018,Deccan Chargers
D Wiese,2023-2023,Deccan Chargers
CR Woakes,2017-2017,Deccan Chargers
SA Yadav,2014-2017,Deccan Chargers
UT Yadav,2014-2023,Deccan Chargers
Yashpal Singh,2009-2009,Deccan Chargers
VR Aaron,2017-2017,Delhi Daredevils
KJ Abbott,2016-2016,Delhi Daredevils
YA Abdulla,2009-2010,Delhi Daredevils
L Ablish,2010-2011,Delhi Daredevils
AD Nath,2018-2018,Delhi Daredevils
MA Agarwal,2018-2022,Delhi Daredevils
FA Allen,2021-2021,Delhi Daredevils
HM Amla,2016-2017,Delhi Daredevils
Anureet Singh,2015-2017,Delhi Daredevils
VG Arora,2022-2022,Delhi Daredevils
Arshdeep Singh,2019-2025,Delhi Daredevils
P Arya,2025-2025,Delhi Daredevils
M Ashwin,2019-2021,Delhi Daredevils
R Ashwin,2018-2019,Delhi Daredevils
P Awana,2012-2014,Delhi Daredevils
Azhar Mahmood,2012-2013,Delhi Daredevils
Azmatullah Omarzai,2025-2025,Delhi Daredevils
GJ Bailey,2014-2015,Delhi Daredevils
JM Bairstow,2022-2024,Delhi Daredevils
L Balaji,2014-2014,Delhi Daredevils
AB Barath,2010-2010,Delhi Daredevils
XC Bartlett,2025-2025,Delhi Daredevils
RA Bawa,2022-2022,Delhi Daredevils
F Behardien,2016-2016,Delhi Daredevils
BA Bhatt,2011-2013,Delhi Daredevils
Bipul Sharma,2010-2013,Delhi Daredevils
MS Bisla,2010-2010,Delhi Daredevils
RS Bopara,2009-2010,Delhi Daredevils
RR Bose,2009-2009,Delhi Daredevils
KC Cariappa,2016-2017,Delhi Daredevils
YS Chahal,2025-2025,Delhi Daredevils
RD Chahar,2022-2024,Delhi Daredevils
PP Chawla,2008-2013,Delhi Daredevils
SD Chitnis,2011-2012,Delhi Daredevils
SS Cottrell,2020-2020,Delhi Daredevils
SM Curran,2019-2024,Delhi Daredevils
P Dharmani,2008-2008,Delhi Daredevils
R Dhawan,2014-2024,Delhi Daredevils
S Dhawan,2022-2024,Delhi Daredevils
P Dogra,2012-2012,Delhi Daredevils
P Dubey,2025-2025,Delhi Daredevils
NT Ellis,2021-2024,Delhi Daredevils
JP Faulkner,2012-2012,Delhi Daredevils
LH Ferguson,2025-2025,Delhi Daredevils
AJ Finch,2018-2018,Delhi Daredevils
Gagandeep Singh,2008-2008,Delhi Daredevils
CH Gayle,2018-2021,Delhi Daredevils
AC Gilchrist,2011-2013,Delhi Daredevils
K Goel,2008-2010,Delhi Daredevils
MS Gony,2013-2013,Delhi Daredevils
K Gowtham,2020-2020,Delhi Daredevils
MJ Guptill,2017-2017,Delhi Daredevils
Gurkeerat Singh,2012-2017,Delhi Daredevils
Gurnoor Brar,2023-2023,Delhi Daredevils
Harmeet Singh,2012-2013,Delhi Daredevils
Harpreet Brar,2019-2025,Delhi Daredevils
Harpreet Singh,2023-2024,Delhi Daredevils
RJ Harris,2011-2013,Delhi Daredevils
BE Hendricks,2014-2015,Delhi Daredevils
MC Henriques,2021-2021,Delhi Daredevils
MJ Henry,2017-2017,Delhi Daredevils
DJ Hooda,2020-2021,Delhi Daredevils
JR Hopes,2008-2008,Delhi Daredevils
DJ Hussey,2011-2013,Delhi Daredevils
JP Inglis,2025-2025,Delhi Daredevils
SS Iyer,2025-2025,Delhi Daredevils
KA Jamieson,2025-2025,Delhi Daredevils
M Jansen,2025-2025,Delhi Daredevils
DPMD Jayawardene,2008-2010,Delhi Daredevils
