Player,Span,Team
Abrar Ahmed,2017-2017,Lahore Qalandars
Akif Javed,2023-2023,Lahore Qalandars
Ali Khan,2020-2020,Lahore Qalandars
Anwar Ali,2024-2024,Lahore Qalandars
Arafat Minhas,2024-2025,Lahore Qalandars
Arshad Iqbal,2020-2021,Lahore Qalandars
Awais Zia,2019-2019,Lahore Qalandars
Babar Azam,2017-2022,Lahore Qalandars
Bilawal Bhatti,2016-2016,Lahore Qalandars
RS Bopara,2016-2019,Lahore Qalandars
DT Christian,2021-2021,Lahore Qalandars
JM Clarke,2021-2022,Lahore Qalandars
IA Cockbain,2022-2022,Lahore Qalandars
BCJ Cutting,2023-2023,Lahore Qalandars
Danish Aziz,2018-2021,Lahore Qalandars
CS Delport,2020-2020,Lahore Qalandars
JL Denly,2018-2018,Lahore Qalandars
BR Dunk,2019-2019,Lahore Qalandars
JL du Plooy,2024-2024,Lahore Qalandars
Fawad Ali,2025-2025,Lahore Qalandars
JK Fuller,2023-2023,Lahore Qalandars
CH Gayle,2017-2017,Lahore Qalandars
L Gregory,2022-2022,Lahore Qalandars
MJ Guptill,2021-2021,Lahore Qalandars
Haider Ali,2023-2023,Lahore Qalandars
AD Hales,2020-2020,Lahore Qalandars
Hasan Ali,2024-2025,Lahore Qalandars
Iftikhar Ahmed,2016-2020,Lahore Qalandars
Imad Wasim,2016-2023,Lahore Qalandars
Imran Tahir,2023-2023,Lahore Qalandars
CA Ingram,2018-2021,Lahore Qalandars
Irfan Khan,2023-2025,Lahore Qalandars
DPMD Jayawardene,2017-2017,Lahore Qalandars
CJ Jordan,2020-2022,Lahore Qalandars
Kashif Bhatti,2017-2017,Lahore Qalandars
Khurram Manzoor,2018-2018,Lahore Qalandars
Khushdil Shah,2025-2025,Lahore Qalandars
TA Lammonby,2022-2022,Lahore Qalandars
LS Livingstone,2019-2019,Lahore Qalandars
MJ McClenaghan,2020-2020,Lahore Qalandars
BR McDermott,2025-2025,Lahore Qalandars
TS Mills,2018-2018,Lahore Qalandars
AF Milne,2025-2025,Lahore Qalandars
Mir Hamza,2016-2025,Lahore Qalandars
Mohammad Amir Khan,2024-2024,Lahore Qalandars
Mohammad Amir,2016-2023,Lahore Qalandars
Mohammad Ilyas,2021-2022,Lahore Qalandars
Mohammad Imran,2022-2022,Lahore Qalandars
Mohammad Irfan,2018-2018,Lahore Qalandars
Mohammad Nabi,2021-2025,Lahore Qalandars
Mohammad Nawaz,2024-2024,Lahore Qalandars
Mohammad Rizwan,2018-2020,Lahore Qalandars
Mohammad Taha,2022-2022,Lahore Qalandars
Mohammad Umar,2023-2023,Lahore Qalandars
EJG Morgan,2018-2018,Lahore Qalandars
Muhammad Akhlaq,2023-2024,Lahore Qalandars
Muhammad Musa,2023-2023,Lahore Qalandars
Muhammad Riazullah,2025-2025,Lahore Qalandars
Mukhtar Ahmed,2018-2018,Lahore Qalandars
C Munro,2019-2019,Lahore Qalandars
Mushfiqur Rahim,2016-2016,Lahore Qalandars
B Muzarabani,2024-2024,Lahore Qalandars
Najibullah Zadran,2021-2021,Lahore Qalandars
Nauman Anwar,2016-2016,Lahore Qalandars
Noor Ahmad,2021-2021,Lahore Qalandars
Omair Yousuf,2025-2025,Lahore Qalandars
WD Parnell,2020-2020,Lahore Qalandars
NLTC Perera,2021-2021,Lahore Qalandars
KA Pollard,2017-2024,Lahore Qalandars
Qasim Akram,2021-2023,Lahore Qalandars
Rohail Nazir,2022-2022,Lahore Qalandars
AM Rossington,2023-2023,Lahore Qalandars
SE Rutherford,2020-2020,Lahore Qalandars
Saad Baig,2024-2025,Lahore Qalandars
Sahibzada Farhan,2022-2022,Lahore Qalandars
Saifullah Bangash,2016-2016,Lahore Qalandars
DR Sams,2024-2024,Lahore Qalandars
KC Sangakkara,2017-2017,Lahore Qalandars
TL Seifert,2024-2025,Lahore Qalandars
Shahid Afridi,2018-2018,Lahore Qalandars
Shahzaib Hasan,2016-2017,Lahore Qalandars
T Shamsi,2023-2024,Lahore Qalandars
Shan Masood,2024-2025,Lahore Qalandars
Shakib Al Hasan,2016-2016,Lahore Qalandars
Sharjeel Khan,2020-2023,Lahore Qalandars
Shoaib Malik,2016-2024,Lahore Qalandars
Sikandar Raza,2019-2019,Lahore Qalandars
LMP Simmons,2016-2018,Lahore Qalandars
Sohail Khan,2016-2019,Lahore Qalandars
Sohail Tanvir,2016-2016,Lahore Qalandars
AW Summers,2019-2019,Lahore Qalandars
Tayyab Tahir,2023-2023,Lahore Qalandars
RN ten Doeschate,2016-2016,Lahore Qalandars
JA Thompson,2022-2022,Lahore Qalandars
