Player,Span,Country,SR,Bowling Style,Team,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
RA Whiteley,2023-2023,Brisbane Heat,136.2,Medium,Southern Brave,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
ADS Fletcher,2024-2024,West Indies,124.4,Medium,Southern Brave,7914.0,103*,28.46,3.0,3.0,'2/22,26.33,0.0,162.0,23.0,2.13
AJ Hosein,2024-2024,West Indies,110.9,Orthodox,Southern Brave,941.0,44*,15.42,0.0,188.0,'5/11,25.5,1.0,44.0,0.0,-10.07
DP Hughes,2024-2024,Sydney Sixers,130.8,Medium,Southern Brave,3006.0,96*,29.76,0.0,0.0,0,0.0,0.0,37.0,0.0,0.0
JC Archer,2024-2025,England,138.3,Fast,Southern Brave,708.0,36,14.44,0.0,214.0,'4/18,23.94,0.0,49.0,0.0,-9.49
JK Fuller,2024-2024,Fortune Barishal,140.2,Fast,Southern Brave,1893.0,57,20.13,0.0,173.0,'6/28,25.84,1.0,81.0,0.0,-5.7
JM Coles,2024-2025,Southern Brave (Men),145.1,Orthodox,Southern Brave,520.0,69*,24.76,0.0,22.0,'4/12,25.22,0.0,18.0,0.0,-0.46
KA Pollard,2024-2024,West Indies,149.9,Medium,Southern Brave,13537.0,104,31.33,1.0,326.0,'4/15,24.95,0.0,384.0,0.0,6.37
LJ Evans,2024-2025,Perth Scorchers,138.3,Medium,Southern Brave,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
MJ Santner,2024-2025,New Zealand,129.7,Orthodox,Southern Brave,2374.0,92*,22.82,0.0,220.0,'4/11,24.43,0.0,86.0,0.0,-1.6
RA Whiteley,2024-2024,Brisbane Heat,136.2,Medium,Southern Brave,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
AJ Hosein,2025-2025,West Indies,110.9,Orthodox,Southern Brave,941.0,44*,15.42,0.0,188.0,'5/11,25.5,1.0,44.0,0.0,-10.07
GHS Garton,2025-2025,England,134.6,Fast,Southern Brave,675.0,46,15.34,0.0,88.0,'4/16,26.14,0.0,26.0,0.0,-10.8
MP Stoinis,2025-2025,Australia,137.1,Medium,Southern Brave,6510.0,147*,29.86,2.0,158.0,'4/15,27.17,0.0,77.0,0.0,2.69
RA Whiteley,2025-2025,Brisbane Heat,136.2,Medium,Southern Brave,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
Rehan Ahmed,2025-2025,England,123.3,Legbreak,Southern Brave,450.0,49,13.23,0.0,59.0,'4/22,29.71,0.0,14.0,0.0,-16.47
S Baker,2025-2025,England,28.6,Medium,Southern Brave,0.0,0,0.0,0.0,0.0,'0,0.0,0.0,0.0,0.0,
A Lyth,2021-2023,Perth Scorchers,144.8,Medium,Trent Rockets,4817.0,161,24.82,1.0,25.0,'5/31,27.36,1.0,102.0,0.0,-2.53
AD Hales,2021-2024,England,146.0,Medium,Trent Rockets,13610.0,119*,30.04,7.0,0.0,0,0.0,0.0,236.0,0.0,0.0
C Munro,2021-2021,New Zealand,140.1,Medium,Trent Rockets,11223.0,114*,30.16,5.0,31.0,'4/15,32.8,0.0,131.0,0.0,-2.63
CG Harrison,2021-2023,Manchester Originals (Men),113.8,Legbreak,Trent Rockets,227.0,23,10.31,0.0,53.0,'5/11,22.45,1.0,29.0,0.0,-12.13
DJ Malan,2021-2023,England,131.8,Legbreak,Trent Rockets,9925.0,117,33.3,5.0,23.0,'2/10,31.39,0.0,126.0,0.0,1.91
DJM Short,2021-2021,Australia,130.5,Chinaman,Trent Rockets,4850.0,122*,32.33,2.0,65.0,'5/21,32.61,1.0,68.0,0.0,-0.28
IA Cockbain,2021-2021,Adelaide Strikers,133.1,Medium,Trent Rockets,3869.0,123,31.97,1.0,0.0,0,0.0,0.0,75.0,0.0,0.0
JA Thompson,2021-2021,Hobart Hurricanes,153.8,Medium,Trent Rockets,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
JE Root,2021-2025,England,130.9,Offbreak,Trent Rockets,2823.0,92*,32.44,0.0,34.0,'2/7,28.64,0.0,54.0,0.0,3.8
L Gregory,2021-2024,England,140.8,Medium,Trent Rockets,2762.0,76*,20.3,0.0,197.0,'5/24,25.35,1.0,102.0,0.0,-5.04
L Wood,2021-2024,England,115.8,Medium,Trent Rockets,392.0,33*,10.31,0.0,174.0,'5/50,26.58,1.0,57.0,0.0,-16.27
LJ Fletcher,2021-2021,Welsh Fire (Men),114.2,Medium,Trent Rockets,185.0,27,6.85,0.0,120.0,'5/32,25.46,2.0,12.0,0.0,-18.61
M Carter,2021-2023,Trent Rockets (Men),106.2,Offbreak,Trent Rockets,168.0,23*,9.88,0.0,71.0,'3/14,26.54,0.0,29.0,0.0,-16.66
M de Lange,2021-2021,South Africa,129.8,Fast,Trent Rockets,420.0,28*,11.05,0.0,166.0,'5/20,26.01,1.0,40.0,0.0,-14.95
SJ Cook,2021-2025,Joburg Super Kings,95.6,Fast,Trent Rockets,47.0,18,5.87,0.0,92.0,'4/15,25.81,0.0,23.0,0.0,-19.94
SJ Mullaney,2021-2021,Trent Rockets (Men),141.4,Medium,Trent Rockets,1802.0,79,17.16,0.0,133.0,'4/19,28.18,0.0,96.0,0.0,-11.01
SR Hain,2021-2021,Brisbane Heat,134.1,Offbreak,Trent Rockets,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
SR Patel,2021-2023,England,125.8,Orthodox,Trent Rockets,6673.0,90*,24.62,0.0,352.0,'4/5,26.05,0.0,113.0,0.0,-1.43
T Banton,2021-2022,England,141.9,,Trent Rockets,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
T Kohler-Cadmore,2021-2021,Sydney Thunder,141.3,Offbreak,Trent Rockets,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
T Shamsi,2021-2021,South Africa,51.5,Chinaman,Trent Rockets,88.0,15*,4.19,0.0,328.0,'5/24,22.51,1.0,39.0,0.0,-18.32
T van der Gugten,2021-2021,Netherlands,138.6,Medium,Trent Rockets,555.0,48,14.23,0.0,159.0,'5/21,22.61,1.0,36.0,0.0,-8.37
TJ Moores,2021-2025,Sylhet Strikers,136.2,,Trent Rockets,2311.0,80*,23.34,0.0,0.0,0,0.0,0.0,72.0,23.0,0.0
Wahab Riaz,2021-2021,Pakistan,127.5,Fast,Trent Rockets,1700.0,53,13.49,0.0,413.0,'5/8,22.63,3.0,101.0,0.0,-9.14
C Munro,2022-2023,New Zealand,140.1,Medium,Trent Rockets,11223.0,114*,30.16,5.0,31.0,'4/15,32.8,0.0,131.0,0.0,-2.63
DR Sams,2022-2023,Australia,151.6,Medium,Trent Rockets,1964.0,98*,16.78,0.0,218.0,'5/30,24.46,1.0,70.0,0.0,-7.68
IA Cockbain,2022-2022,Adelaide Strikers,133.1,Medium,Trent Rockets,3869.0,123,31.97,1.0,0.0,0,0.0,0.0,75.0,0.0,0.0
IS Sodhi,2022-2022,New Zealand,106.3,Legbreak,Trent Rockets,469.0,51,8.22,0.0,310.0,'6/11,24.58,1.0,69.0,0.0,-16.35
JA Thompson,2022-2023,Hobart Hurricanes,153.8,Medium,Trent Rockets,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
LJ Fletcher,2022-2022,Welsh Fire (Men),114.2,Medium,Trent Rockets,185.0,27,6.85,0.0,120.0,'5/32,25.46,2.0,12.0,0.0,-18.61
SR Hain,2022-2022,Brisbane Heat,134.1,Offbreak,Trent Rockets,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
T Kohler-Cadmore,2022-2023,Sydney Thunder,141.3,Offbreak,Trent Rockets,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
T Shamsi,2022-2022,South Africa,51.5,Chinaman,Trent Rockets,88.0,15*,4.19,0.0,328.0,'5/24,22.51,1.0,39.0,0.0,-18.32
T van der Gugten,2022-2022,Netherlands,138.6,Medium,Trent Rockets,555.0,48,14.23,0.0,159.0,'5/21,22.61,1.0,36.0,0.0,-8.37
Wahab Riaz,2022-2022,Pakistan,127.5,Fast,Trent Rockets,1700.0,53,13.49,0.0,413.0,'5/8,22.63,3.0,101.0,0.0,-9.14
IS Sodhi,2023-2023,New Zealand,106.3,Legbreak,Trent Rockets,469.0,51,8.22,0.0,310.0,'6/11,24.58,1.0,69.0,0.0,-16.35
Imad Wasim,2023-2024,Pakistan,124.1,Orthodox,Trent Rockets,4115.0,92*,21.88,0.0,356.0,'5/14,24.43,2.0,106.0,0.0,-2.54
JA Turner,2023-2024,England,60.0,Medium,Trent Rockets,8.0,3*,8.0,0.0,43.0,'4/23,17.55,0.0,4.0,0.0,-9.55
SR Hain,2023-2025,Brisbane Heat,134.1,Offbreak,Trent Rockets,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
T Banton,2023-2023,England,141.9,,Trent Rockets,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
A Lyth,2024-2024,Perth Scorchers,144.8,Medium,Trent Rockets,4817.0,161,24.82,1.0,25.0,'5/31,27.36,1.0,102.0,0.0,-2.53
CG Harrison,2024-2025,Manchester Originals (Men),113.8,Legbreak,Trent Rockets,227.0,23,10.31,0.0,53.0,'5/11,22.45,1.0,29.0,0.0,-12.13
CJ Green,2024-2024,Australia,137.8,Offbreak,Trent Rockets,1673.0,50,16.24,0.0,203.0,'5/32,27.15,1.0,134.0,0.0,-10.9
DJ Malan,2024-2024,England,131.8,Legbreak,Trent Rockets,9925.0,117,33.3,5.0,23.0,'2/10,31.39,0.0,126.0,0.0,1.91
JA Thompson,2024-2024,Hobart Hurricanes,153.8,Medium,Trent Rockets,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
OE Robinson,2024-2024,Northern Superchargers (Men),117.8,Medium,Trent Rockets,163.0,31,9.58,0.0,63.0,'4/15,27.36,0.0,24.0,0.0,-17.77
R Powell,2024-2024,West Indies,141.4,Medium,Trent Rockets,4838.0,107,24.55,1.0,26.0,'2/21,45.03,0.0,140.0,0.0,-20.48
T Banton,2024-2025,England,141.9,,Trent Rockets,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
T Kohler-Cadmore,2024-2025,Sydney Thunder,141.3,Offbreak,Trent Rockets,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
TP Alsop,2024-2025,Brisbane Heat,130.8,,Trent Rockets,1950.0,87*,28.26,0.0,0.0,0,0.0,0.0,32.0,4.0,0.0
CJ Green,2025-2025,Australia,137.8,Offbreak,Trent Rockets,1673.0,50,16.24,0.0,203.0,'5/32,27.15,1.0,134.0,0.0,-10.9
DJ Malan,2025-2025,England,131.8,Legbreak,Trent Rockets,9925.0,117,33.3,5.0,23.0,'2/10,31.39,0.0,126.0,0.0,1.91
IS Sodhi,2025-2025,New Zealand,106.3,Legbreak,Trent Rockets,469.0,51,8.22,0.0,310.0,'6/11,24.58,1.0,69.0,0.0,-16.35
Imad Wasim,2025-2025,Pakistan,124.1,Orthodox,Trent Rockets,4115.0,92*,21.88,0.0,356.0,'5/14,24.43,2.0,106.0,0.0,-2.54
JA Thompson,2025-2025,Hobart Hurricanes,153.8,Medium,Trent Rockets,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
L Gregory,2025-2025,England,140.8,Medium,Trent Rockets,2762.0,76*,20.3,0.0,197.0,'5/24,25.35,1.0,102.0,0.0,-5.04
L Wood,2025-2025,England,115.8,Medium,Trent Rockets,392.0,33*,10.31,0.0,174.0,'5/50,26.58,1.0,57.0,0.0,-16.27
SR Patel,2025-2025,England,125.8,Orthodox,Trent Rockets,6673.0,90*,24.62,0.0,352.0,'4/5,26.05,0.0,113.0,0.0,-1.43
BM Duckett,2021-2022,England,140.6,Offbreak,Welsh Fire,5159.0,96,30.89,0.0,0.0,0,0.0,0.0,98.0,2.0,0.0
DA Payne,2021-2025,Perth Scorchers,114.3,Medium,Welsh Fire,234.0,28,7.09,0.0,249.0,'5/24,21.63,1.0,43.0,0.0,-14.53
DJ Willey,2021-2022,England,135.9,Medium,Welsh Fire,4286.0,118,22.32,2.0,333.0,'4/7,23.32,0.0,145.0,0.0,-1.0
DL Lloyd,2021-2021,Welsh Fire (Men),132.6,Medium,Welsh Fire,1947.0,97*,24.03,0.0,6.0,'2/13,31.16,0.0,20.0,0.0,-7.12
GD Phillips,2021-2024,New Zealand,140.0,Offbreak,Welsh Fire,6624.0,116*,31.39,5.0,25.0,'3/6,32.4,0.0,137.0,10.0,-1.0
GG White,2021-2021,Welsh Fire (Men),138.9,Orthodox,Welsh Fire,486.0,37*,14.29,0.0,121.0,'5/22,27.12,1.0,58.0,0.0,-12.82
IA Cockbain,2021-2021,Adelaide Strikers,133.1,Medium,Welsh Fire,3869.0,123,31.97,1.0,0.0,0,0.0,0.0,75.0,0.0,0.0
JDS Neesham,2021-2021,New Zealand,140.9,Medium,Welsh Fire,4198.0,97*,23.71,0.0,238.0,'5/22,25.29,1.0,117.0,0.0,-1.58
JJ Cobb,2021-2022,Dhaka Gladiators,131.9,Offbreak,Welsh Fire,4262.0,103,23.81,1.0,78.0,'5/25,32.43,1.0,98.0,0.0,-8.62
JL du Plooy,2021-2022,Dubai Capitals,138.0,Orthodox,Welsh Fire,3609.0,92,29.58,0.0,14.0,'4/15,21.57,0.0,71.0,0.0,8.01
JM Bairstow,2021-2025,England,141.8,,Welsh Fire,5385.0,114,30.59,4.0,0.0,0,0.0,0.0,121.0,16.0,0.0
JM Clarke,2021-2021,Perth Scorchers,144.3,,Welsh Fire,5269.0,136,25.82,4.0,0.0,0,0.0,0.0,84.0,6.0,0.0
JT Ball,2021-2024,England,78.8,Medium,Welsh Fire,63.0,18*,6.3,0.0,177.0,'4/11,22.41,0.0,34.0,0.0,-16.11
LE Plunkett,2021-2021,England,130.3,Medium,Welsh Fire,825.0,41,14.22,0.0,151.0,'5/31,27.58,1.0,44.0,0.0,-13.36
LH Ferguson,2021-2021,New Zealand,116.2,Fast,Welsh Fire,288.0,30,11.07,0.0,218.0,'5/21,22.31,1.0,48.0,0.0,-11.23
LJ Fletcher,2021-2021,Welsh Fire (Men),114.2,Medium,Welsh Fire,185.0,27,6.85,0.0,120.0,'5/32,25.46,2.0,12.0,0.0,-18.61
ME Milnes,2021-2021,Welsh Fire (Men),140.2,Medium,Welsh Fire,64.0,14*,8.0,0.0,45.0,'5/22,30.68,1.0,13.0,0.0,-22.68
MJJ Critchley,2021-2022,Melbourne Renegades,123.1,Legbreak,Welsh Fire,1973.0,80*,21.44,0.0,120.0,'5/28,24.73,1.0,43.0,0.0,-3.28
MS Crane,2021-2023,England,95.5,Legbreak,Welsh Fire,153.0,19,21.85,0.0,118.0,'4/24,23.43,0.0,29.0,0.0,-1.57
Qais Ahmad,2021-2021,Afghanistan,127.6,Legbreak,Welsh Fire,679.0,50*,12.34,0.0,190.0,'5/18,23.27,1.0,58.0,0.0,-10.93
RA Whiteley,2021-2022,Brisbane Heat,136.2,Medium,Welsh Fire,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
RE van der Merwe,2021-2021,South Africa,134.9,Orthodox,Welsh Fire,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
RF Higgins,2021-2022,Welsh Fire (Men),132.9,Medium,Welsh Fire,2095.0,77*,24.36,0.0,93.0,'5/13,25.74,1.0,39.0,0.0,-1.38
SR Hain,2021-2021,Brisbane Heat,134.1,Offbreak,Welsh Fire,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
T Banton,2021-2022,England,141.9,,Welsh Fire,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
T Kohler-Cadmore,2021-2021,Sydney Thunder,141.3,Offbreak,Welsh Fire,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
TB Abell,2021-2021,Brisbane Heat,133.5,Medium,Welsh Fire,3277.0,101*,30.06,1.0,2.0,'1/11,50.0,0.0,84.0,0.0,-19.93
A Zampa,2022-2022,Australia,86.5,Legbreak,Welsh Fire,309.0,23,6.18,0.0,363.0,'6/19,21.72,3.0,42.0,0.0,-15.54
D Pretorius,2022-2022,South Africa,138.4,Medium,Welsh Fire,2781.0,77*,19.72,0.0,223.0,'5/17,24.67,1.0,53.0,0.0,-4.94
DA Miller,2022-2022,South Africa,137.5,Offbreak,Welsh Fire,11343.0,120*,35.11,4.0,0.0,0,0.0,0.0,319.0,1.0,0.0
GLS Scrimshaw,2022-2022,Welsh Fire (Men),63.0,Medium,Welsh Fire,25.0,6*,25.0,0.0,70.0,'3/16,22.25,0.0,5.0,0.0,2.74
IA Cockbain,2022-2022,Adelaide Strikers,133.1,Medium,Welsh Fire,3869.0,123,31.97,1.0,0.0,0,0.0,0.0,75.0,0.0,0.0
IS Sodhi,2022-2022,New Zealand,106.3,Legbreak,Welsh Fire,469.0,51,8.22,0.0,310.0,'6/11,24.58,1.0,69.0,0.0,-16.35
JB Little,2022-2023,Ireland,82.3,Fast,Welsh Fire,220.0,27*,12.94,0.0,160.0,'5/13,23.41,1.0,47.0,0.0,-10.47
JG Bethell,2022-2022,England,140.7,Orthodox,Welsh Fire,1194.0,87,24.87,0.0,11.0,'2/5,26.9,0.0,34.0,0.0,-2.03
JM Clarke,2022-2024,Perth Scorchers,144.3,,Welsh Fire,5269.0,136,25.82,4.0,0.0,0,0.0,0.0,84.0,6.0,0.0
LJ Fletcher,2022-2022,Welsh Fire (Men),114.2,Medium,Welsh Fire,185.0,27,6.85,0.0,120.0,'5/32,25.46,2.0,12.0,0.0,-18.61
ME Milnes,2022-2022,Welsh Fire (Men),140.2,Medium,Welsh Fire,64.0,14*,8.0,0.0,45.0,'5/22,30.68,1.0,13.0,0.0,-22.68
Noor Ahmad,2022-2022,Afghanistan,95.8,Chinaman,Welsh Fire,185.0,20,6.16,0.0,170.0,'5/11,21.97,1.0,37.0,0.0,-15.8
OJ Pope,2022-2022,Adelaide Strikers,131.5,,Welsh Fire,1505.0,99*,27.36,0.0,0.0,0,0.0,0.0,29.0,3.0,0.0
RE van der Merwe,2022-2022,South Africa,134.9,Orthodox,Welsh Fire,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
SR Hain,2022-2022,Brisbane Heat,134.1,Offbreak,Welsh Fire,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
T Kohler-Cadmore,2022-2023,Sydney Thunder,141.3,Offbreak,Welsh Fire,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
A Zampa,2023-2025,Australia,86.5,Legbreak,Welsh Fire,309.0,23,6.18,0.0,363.0,'6/19,21.72,3.0,42.0,0.0,-15.54
BGF Green,2023-2023,Welsh Fire (Men),137.7,Medium,Welsh Fire,630.0,47,19.09,0.0,85.0,'5/29,20.62,2.0,26.0,0.0,-1.53
BM Duckett,2023-2025,England,140.6,Offbreak,Welsh Fire,5159.0,96,30.89,0.0,0.0,0,0.0,0.0,98.0,2.0,0.0
DJ Willey,2023-2024,England,135.9,Medium,Welsh Fire,4286.0,118,22.32,2.0,333.0,'4/7,23.32,0.0,145.0,0.0,-1.0
Haris Rauf,2023-2024,Pakistan,108.8,Fast,Welsh Fire,313.0,19,6.95,0.0,303.0,'5/27,22.51,1.0,62.0,0.0,-15.56
IS Sodhi,2023-2023,New Zealand,106.3,Legbreak,Welsh Fire,469.0,51,8.22,0.0,310.0,'6/11,24.58,1.0,69.0,0.0,-16.35
JDS Neesham,2023-2023,New Zealand,140.9,Medium,Welsh Fire,4198.0,97*,23.71,0.0,238.0,'5/22,25.29,1.0,117.0,0.0,-1.58
JG Bethell,2023-2025,England,140.7,Orthodox,Welsh Fire,1194.0,87,24.87,0.0,11.0,'2/5,26.9,0.0,34.0,0.0,-2.03
JL du Plooy,2023-2025,Dubai Capitals,138.0,Orthodox,Welsh Fire,3609.0,92,29.58,0.0,14.0,'4/15,21.57,0.0,71.0,0.0,8.01
LH Ferguson,2023-2023,New Zealand,116.2,Fast,Welsh Fire,288.0,30,11.07,0.0,218.0,'5/21,22.31,1.0,48.0,0.0,-11.23
LWP Wells,2023-2025,Lahore Qalandars,142.1,Legbreak,Welsh Fire,1049.0,66,18.08,0.0,37.0,'2/19,31.56,0.0,29.0,0.0,-13.48
MJ Henry,2023-2025,New Zealand,143.9,Medium,Welsh Fire,589.0,44,12.8,0.0,178.0,'5/18,23.7,1.0,62.0,0.0,-10.89
MJJ Critchley,2023-2024,Melbourne Renegades,123.1,Legbreak,Welsh Fire,1973.0,80*,21.44,0.0,120.0,'5/28,24.73,1.0,43.0,0.0,-3.28
RA Whiteley,2023-2023,Brisbane Heat,136.2,Medium,Welsh Fire,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
RE van der Merwe,2023-2023,South Africa,134.9,Orthodox,Welsh Fire,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
SR Hain,2023-2025,Brisbane Heat,134.1,Offbreak,Welsh Fire,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
SS Eskinazi,2023-2025,Perth Scorchers,139.2,,Welsh Fire,3173.0,102*,31.41,1.0,0.0,0,0.0,0.0,49.0,0.0,0.0
Shaheen Shah Afridi,2023-2023,Pakistan,132.7,Medium,Welsh Fire,773.0,55,12.46,0.0,300.0,'6/19,21.38,5.0,54.0,0.0,-8.91
T Banton,2023-2023,England,141.9,,Welsh Fire,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
TB Abell,2023-2025,Brisbane Heat,133.5,Medium,Welsh Fire,3277.0,101*,30.06,1.0,2.0,'1/11,50.0,0.0,84.0,0.0,-19.93
JB Little,2024-2024,Ireland,82.3,Fast,Welsh Fire,220.0,27*,12.94,0.0,160.0,'5/13,23.41,1.0,47.0,0.0,-10.47
MS Crane,2024-2024,England,95.5,Legbreak,Welsh Fire,153.0,19,21.85,0.0,118.0,'4/24,23.43,0.0,29.0,0.0,-1.57
OJ Pope,2024-2025,Adelaide Strikers,131.5,,Welsh Fire,1505.0,99*,27.36,0.0,0.0,0,0.0,0.0,29.0,3.0,0.0
RA Whiteley,2024-2024,Brisbane Heat,136.2,Medium,Welsh Fire,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
RF Higgins,2024-2025,Welsh Fire (Men),132.9,Medium,Welsh Fire,2095.0,77*,24.36,0.0,93.0,'5/13,25.74,1.0,39.0,0.0,-1.38
T Banton,2024-2025,England,141.9,,Welsh Fire,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
T Kohler-Cadmore,2024-2025,Sydney Thunder,141.3,Offbreak,Welsh Fire,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
DA Miller,2025-2025,South Africa,137.5,Offbreak,Welsh Fire,11343.0,120*,35.11,4.0,0.0,0,0.0,0.0,319.0,1.0,0.0
DJ Willey,2025-2025,England,135.9,Medium,Welsh Fire,4286.0,118,22.32,2.0,333.0,'4/7,23.32,0.0,145.0,0.0,-1.0
IS Sodhi,2025-2025,New Zealand,106.3,Legbreak,Welsh Fire,469.0,51,8.22,0.0,310.0,'6/11,24.58,1.0,69.0,0.0,-16.35
JM Clarke,2025-2025,Perth Scorchers,144.3,,Welsh Fire,5269.0,136,25.82,4.0,0.0,0,0.0,0.0,84.0,6.0,0.0
LH Ferguson,2025-2025,New Zealand,116.2,Fast,Welsh Fire,288.0,30,11.07,0.0,218.0,'5/21,22.31,1.0,48.0,0.0,-11.23
Noor Ahmad,2025-2025,Afghanistan,95.8,Chinaman,Welsh Fire,185.0,20,6.16,0.0,170.0,'5/11,21.97,1.0,37.0,0.0,-15.8
RA Whiteley,2025-2025,Brisbane Heat,136.2,Medium,Welsh Fire,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
Rashid Khan,2021-2024,Afghanistan,142.2,Legbreak,,,,,,,,,,,,
GL van Buuren,2022-2022,Birmingham Phoenix (Men),135.5,Orthodox,,,,,,,,,,,,
AS Dale,2025-2025,Welsh Fire (Men),55.6,Medium,,,,,,,,,,,,
BI Kellaway,2025-2025,Welsh Fire (Men),138.2,Offbreak,,,,,,,,,,,,
BS McKinney,2025-2025,Manchester Originals (Men),104.3,Offbreak,,,,,,,,,,,,
BW Sanderson,2025-2025,Trent Rockets (Men),88.3,Medium,,,,,,,,,,,,
DA Warner,2025-2025,Australia,139.9,Legbreak,,,,,,,,,,,,
Farhan Ahmed,2025-2025,United Arab Emirates,70.6,Orthodox,,,,,,,,,,,,
GF Linde,2025-2025,South Africa,139.5,Orthodox,,,,,,,,,,,,
JA Chohan,2025-2025,Sydney Sixers,99.0,Legbreak,,,,,,,,,,,,
JA Duffy,2025-2025,New Zealand,123.7,Medium,,,,,,,,,,,,
JM Anderson,2025-2025,England,47.4,Medium,,,,,,,,,,,,
JP Behrendorff,2025-2025,Australia,103.5,Medium,,,,,,,,,,,,
KS Williamson,2025-2025,New Zealand,125.3,Offbreak,,,,,,,,,,,,
LA Patterson-White,2025-2025,Birmingham Phoenix (Men),132.3,Orthodox,,,,,,,,,,,,
MG Bracewell,2025-2025,New Zealand,140.5,Offbreak,,,,,,,,,,,,
MS Chapman,2025-2025,Hong Kong,135.8,Orthodox,,,,,,,,,,,,
OB Cox,2025-2025,Otago,129.2,,,,,,,,,,,,,
R Ravindra,2025-2025,New Zealand,139.4,Orthodox,,,,,,,,,,,,
RP Meredith,2025-2025,Australia,98.2,Medium,,,,,,,,,,,,
Rashid Khan,2025-2025,Afghanistan,142.2,Legbreak,,,,,,,,,,,,
SPD Smith,2025-2025,Australia,130.6,Legbreak,,,,,,,,,,,,
SR Dickson,2025-2025,London Spirit (Men),140.8,Medium,,,,,,,,,,,,
TA Boult,2025-2025,New Zealand,116.7,Medium,,,,,,,,,,,,
TE Albert,2025-2025,Hampshire,136.7,,,,,,,,,,,,,
