Player,Span,Country,SR,Bowling Style,Team,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
DJ Mitchell,2023-2023,New Zealand,138.2,Medium,London Spirit,5178.0,88*,31.0,0.0,81.0,'4/32,24.75,0.0,122.0,0.0,6.25
DJ Worrall,2023-2025,Melbourne Stars,99.5,Medium,London Spirit,172.0,62*,12.28,0.0,98.0,'4/23,28.12,0.0,26.0,0.0,-15.83
MJJ Critchley,2023-2024,Melbourne Renegades,123.1,Legbreak,London Spirit,1973.0,80*,21.44,0.0,120.0,'5/28,24.73,1.0,43.0,0.0,-3.28
MS Pepper,2023-2024,Abu Dhabi Knight Riders,150.1,,London Spirit,2237.0,120*,26.63,2.0,0.0,0,0.0,0.0,36.0,2.0,0.0
MS Wade,2023-2023,Australia,137.4,,London Spirit,5267.0,130*,26.73,1.0,0.0,0,0.0,0.0,150.0,20.0,0.0
RE van der Merwe,2023-2023,South Africa,134.9,Orthodox,London Spirit,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
TG Southee,2023-2023,New Zealand,131.5,Medium,London Spirit,921.0,74,10.96,0.0,343.0,'6/16,24.3,4.0,131.0,0.0,-13.34
AD Russell,2024-2024,West Indies,167.6,Fast,London Spirit,9175.0,121*,26.51,2.0,474.0,'5/15,25.53,1.0,225.0,0.0,0.98
CP Wood,2024-2025,Hampshire,112.9,Medium,London Spirit,554.0,31,11.54,0.0,214.0,'5/32,26.41,1.0,47.0,0.0,-14.86
JA Thompson,2024-2024,Hobart Hurricanes,153.8,Medium,London Spirit,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
KA Pollard,2024-2024,West Indies,149.9,Medium,London Spirit,13537.0,104,31.33,1.0,326.0,'4/15,24.95,0.0,384.0,0.0,6.37
KK Jennings,2024-2025,Perth Scorchers,132.7,Medium,London Spirit,2040.0,108,31.87,1.0,22.0,'4/37,28.54,0.0,22.0,0.0,3.32
MS Crane,2024-2024,England,95.5,Legbreak,London Spirit,153.0,19,21.85,0.0,118.0,'4/24,23.43,0.0,29.0,0.0,-1.57
Mohammad Amir,2024-2024,Pakistan,103.4,Fast,London Spirit,431.0,30,7.18,0.0,374.0,'6/17,22.44,2.0,40.0,0.0,-15.25
OJ Pope,2024-2025,Adelaide Strikers,131.5,,London Spirit,1505.0,99*,27.36,0.0,0.0,0,0.0,0.0,29.0,3.0,0.0
OP Stone,2024-2025,England,89.2,Fast,London Spirit,170.0,22*,6.8,0.0,109.0,'4/14,26.65,0.0,33.0,0.0,-19.85
RF Higgins,2024-2025,Welsh Fire (Men),132.9,Medium,London Spirit,2095.0,77*,24.36,0.0,93.0,'5/13,25.74,1.0,39.0,0.0,-1.38
RJ Gleeson,2024-2025,England,70.8,Medium,London Spirit,57.0,8,5.18,0.0,129.0,'5/33,23.76,1.0,21.0,0.0,-18.58
SO Hetmyer,2024-2024,West Indies,142.4,Legbreak,London Spirit,5121.0,100,26.12,1.0,0.0,0,0.0,0.0,132.0,0.0,0.0
TG Southee,2024-2025,New Zealand,131.5,Medium,London Spirit,921.0,74,10.96,0.0,343.0,'6/16,24.3,4.0,131.0,0.0,-13.34
DW Lawrence,2025-2025,Brisbane Heat,141.9,Offbreak,London Spirit,3154.0,93,24.64,0.0,57.0,'4/20,22.63,0.0,54.0,0.0,2.0
JA Thompson,2025-2025,Hobart Hurricanes,153.8,Medium,London Spirit,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
Mohammad Amir,2025-2025,Pakistan,103.4,Fast,London Spirit,431.0,30,7.18,0.0,374.0,'6/17,22.44,2.0,40.0,0.0,-15.25
Z Crawley,2025-2025,Hobart Hurricanes,139.2,Offbreak,London Spirit,1859.0,108*,24.46,1.0,0.0,0,0.0,0.0,39.0,0.0,0.0
BA Raine,2021-2022,Otago,131.0,Medium,Manchester Originals,1391.0,113,18.54,1.0,132.0,'5/21,24.11,1.0,25.0,0.0,-5.56
C Munro,2021-2021,New Zealand,140.1,Medium,Manchester Originals,11223.0,114*,30.16,5.0,31.0,'4/15,32.8,0.0,131.0,0.0,-2.63
CG Harrison,2021-2023,Manchester Originals (Men),113.8,Legbreak,Manchester Originals,227.0,23,10.31,0.0,53.0,'5/11,22.45,1.0,29.0,0.0,-12.13
CN Ackermann,2021-2022,Netherlands,125.1,Offbreak,Manchester Originals,4311.0,90*,26.28,0.0,93.0,'7/18,27.86,1.0,91.0,0.0,-1.57
CR Brathwaite,2021-2021,West Indies,136.0,Medium,Manchester Originals,2385.0,64*,15.69,0.0,248.0,'4/14,25.75,0.0,108.0,0.0,-10.05
DA Douthwaite,2021-2021,Manchester Originals (Men),138.4,Medium,Manchester Originals,630.0,53,17.02,0.0,57.0,'4/23,26.73,0.0,13.0,0.0,-9.7
FJ Klaassen,2021-2022,Netherlands,98.8,Medium,Manchester Originals,85.0,13,5.66,0.0,115.0,'5/19,25.77,1.0,40.0,0.0,-20.1
JC Buttler,2021-2025,England,147.0,,Manchester Originals,12613.0,124,35.62,8.0,0.0,0,0.0,0.0,263.0,45.0,0.0
JM Clarke,2021-2021,Perth Scorchers,144.3,,Manchester Originals,5269.0,136,25.82,4.0,0.0,0,0.0,0.0,84.0,6.0,0.0
