Team,Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
London Spirit,NT Ellis,2022-2024,477.0,40,11.09,0.0,194.0,'4/6,23.55,0.0,57.0,0.0,-12.46
London Spirit,OJ Pope,2024-2024,1505.0,99*,27.36,0.0,0.0,0,0.0,0.0,29.0,3.0,0.0
London Spirit,OP Stone,2024-2024,170.0,22*,6.8,0.0,109.0,'4/14,26.65,0.0,33.0,0.0,-19.85
London Spirit,RE van der Merwe,2021-2021,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
London Spirit,RF Higgins,2024-2024,2095.0,77*,24.36,0.0,93.0,'5/13,25.74,1.0,39.0,0.0,-1.38
London Spirit,RJ Gleeson,2024-2024,57.0,8,5.18,0.0,129.0,'5/33,23.76,1.0,21.0,0.0,-18.58
London Spirit,RS Bopara,2021-2024,9486.0,108,27.65,2.0,291.0,'6/16,25.27,1.0,155.0,0.0,2.38
London Spirit,SO Hetmyer,2024-2024,5121.0,100,26.12,1.0,0.0,0,0.0,0.0,132.0,0.0,0.0
London Spirit,TG Southee,2023-2023,921.0,74,10.96,0.0,343.0,'6/16,24.3,4.0,131.0,0.0,-13.34
London Spirit,Z Crawley,2021-2023,1859.0,108*,24.46,1.0,0.0,0,0.0,0.0,39.0,0.0,0.0
Manchester Originals,AD Russell,2022-2022,9175.0,121*,26.51,2.0,474.0,'5/15,25.53,1.0,225.0,0.0,0.98
Manchester Originals,AJ Turner,2022-2023,3443.0,84*,25.31,0.0,34.0,'3/20,24.5,0.0,85.0,0.0,0.81
Manchester Originals,BA Raine,2023-2023,1391.0,113,18.54,1.0,132.0,'5/21,24.11,1.0,25.0,0.0,-5.56
Manchester Originals,C Munro,2021-2021,11223.0,114*,30.16,5.0,31.0,'4/15,32.8,0.0,131.0,0.0,-2.63
Manchester Originals,CG Harrison,2021-2023,227.0,23,10.31,0.0,53.0,'5/11,22.45,1.0,29.0,0.0,-12.13
Manchester Originals,CN Ackermann,2021-2022,4311.0,90*,26.28,0.0,93.0,'7/18,27.86,1.0,91.0,0.0,-1.57
Manchester Originals,CR Brathwaite,2021-2021,2385.0,64*,15.69,0.0,248.0,'4/14,25.75,0.0,108.0,0.0,-10.05
Manchester Originals,DA Douthwaite,2021-2021,630.0,53,17.02,0.0,57.0,'4/23,26.73,0.0,13.0,0.0,-9.7
Manchester Originals,FJ Klaassen,2021-2022,85.0,13,5.66,0.0,115.0,'5/19,25.77,1.0,40.0,0.0,-20.1
Manchester Originals,Fazalhaq Farooqi,2024-2024,46.0,16*,6.57,0.0,154.0,'5/9,19.81,4.0,16.0,0.0,-13.24
Manchester Originals,J Hull,2024-2024,26.0,12*,13.0,0.0,24.0,'3/28,27.04,0.0,4.0,0.0,-14.04
Manchester Originals,J Overton,2023-2024,1601.0,83*,21.06,0.0,118.0,'5/47,27.64,1.0,87.0,0.0,-6.57
Manchester Originals,JB Little,2022-2023,220.0,27*,12.94,0.0,160.0,'5/13,23.41,1.0,47.0,0.0,-10.47
Manchester Originals,JC Buttler,2021-2023,12613.0,124,35.62,8.0,0.0,0,0.0,0.0,263.0,45.0,0.0
Manchester Originals,JC Tongue,2023-2023,4.0,2*,4.0,0.0,15.0,'3/32,26.46,0.0,5.0,0.0,-22.46
Manchester Originals,JM Clarke,2021-2021,5269.0,136,25.82,4.0,0.0,0,0.0,0.0,84.0,6.0,0.0
Manchester Originals,LH Ferguson,2021-2021,288.0,30,11.07,0.0,218.0,'5/21,22.31,1.0,48.0,0.0,-11.23
Manchester Originals,LJ Evans,2022-2023,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
Manchester Originals,MDE Holden,2023-2024,2030.0,121*,26.71,2.0,0.0,0,0.0,0.0,29.0,0.0,0.0
Manchester Originals,MF Hurst,2024-2024,441.0,78,22.05,0.0,0.0,0,0.0,0.0,11.0,1.0,0.0
Manchester Originals,MT Stanley,2022-2022,10.0,7,5.0,0.0,12.0,'2/24,27.75,0.0,0.0,0.0,-22.74
Manchester Originals,MW Parkinson,2021-2022,81.0,18,4.5,0.0,155.0,'4/9,18.89,0.0,14.0,0.0,-14.39
Manchester Originals,PD Salt,2021-2024,6918.0,119,27.12,3.0,0.0,0,0.0,0.0,154.0,14.0,0.0
Manchester Originals,PI Walter,2022-2024,2094.0,78,19.94,0.0,105.0,'3/20,25.2,0.0,78.0,0.0,-5.26
Manchester Originals,RJ Gleeson,2022-2023,57.0,8,5.18,0.0,129.0,'5/33,23.76,1.0,21.0,0.0,-18.58
Manchester Originals,SA Abbott,2022-2022,929.0,110*,11.91,1.0,250.0,'5/16,20.88,2.0,100.0,0.0,-8.97
Manchester Originals,SR Hain,2021-2021,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
Manchester Originals,ST Finn,2021-2021,79.0,11*,8.77,0.0,176.0,'5/16,22.43,1.0,43.0,0.0,-13.65
Manchester Originals,SW Currie,2024-2024,82.0,26*,13.66,0.0,55.0,'4/24,20.2,0.0,17.0,0.0,-6.53
Manchester Originals,Sikandar Raza,2024-2024,5985.0,133*,26.25,1.0,178.0,'5/18,27.01,1.0,121.0,0.0,-0.76
Manchester Originals,T Stubbs,2022-2022,2829.0,80*,32.51,0.0,11.0,'2/6,29.9,0.0,78.0,3.0,2.6
Manchester Originals,TA Lammonby,2021-2022,904.0,90,18.83,0.0,15.0,'2/32,30.53,0.0,44.0,0.0,-11.69
Manchester Originals,TH Aspinwall,2024-2024,27.0,18*,13.5,0.0,5.0,'4/18,32.4,0.0,1.0,0.0,-18.89
Manchester Originals,TW Hartley,2021-2024,273.0,39,11.37,0.0,73.0,'4/16,26.41,0.0,35.0,0.0,-15.03
Manchester Originals,Usama Mir,2023-2024,488.0,39,8.71,0.0,171.0,'6/40,23.31,1.0,57.0,0.0,-14.6
Manchester Originals,WL Madsen,2022-2024,4965.0,109*,30.64,2.0,22.0,'2/20,36.81,0.0,80.0,0.0,-6.17
Manchester Originals,Zaman Khan,2023-2023,75.0,9*,7.5,0.0,131.0,'4/16,24.3,0.0,22.0,0.0,-16.8
Northern Superchargers,A Lyth,2021-2023,4817.0,161,24.82,1.0,25.0,'5/31,27.36,1.0,102.0,0.0,-2.53
Northern Superchargers,AJ Hose,2022-2024,3916.0,119,28.79,2.0,0.0,0,0.0,0.0,79.0,0.0,0.0
Northern Superchargers,AU Rashid,2021-2024,970.0,36*,11.41,0.0,362.0,'4/2,22.76,0.0,84.0,0.0,-11.35
Northern Superchargers,BA Carse,2021-2023,783.0,58,17.02,0.0,53.0,'3/23,35.32,0.0,33.0,0.0,-18.29
Northern Superchargers,BA Raine,2021-2022,1391.0,113,18.54,1.0,132.0,'5/21,24.11,1.0,25.0,0.0,-5.56
Northern Superchargers,BA Stokes,2021-2024,3027.0,107*,24.41,2.0,93.0,'4/16,30.91,0.0,74.0,0.0,-6.5
Northern Superchargers,BJ Dwarshuis,2024-2024,845.0,66,18.36,0.0,183.0,'5/21,23.36,2.0,34.0,0.0,-4.99
Northern Superchargers,CA Lynn,2021-2021,8304.0,113*,32.43,5.0,3.0,'2/15,31.0,0.0,72.0,0.0,1.43
Northern Superchargers,CF Parkinson,2021-2024,317.0,27*,11.32,0.0,148.0,'4/20,22.03,0.0,22.0,0.0,-10.71
Northern Superchargers,CN Miles,2022-2022,58.0,11*,7.25,0.0,67.0,'4/29,23.82,0.0,34.0,0.0,-16.57
Northern Superchargers,D Wiese,2022-2023,4464.0,79*,23.01,0.0,324.0,'5/19,25.82,7.0,146.0,0.0,-2.81
Northern Superchargers,DJ Bravo,2022-2022,6970.0,70*,22.33,0.0,631.0,'5/23,24.4,2.0,275.0,0.0,-2.06
Northern Superchargers,DJ Vilas,2021-2021,4235.0,75*,28.04,0.0,0.0,0,0.0,0.0,116.0,30.0,0.0
Northern Superchargers,DJ Willey,2021-2022,4286.0,118,22.32,2.0,333.0,'4/7,23.32,0.0,145.0,0.0,-1.0
Northern Superchargers,DY Pennington,2024-2024,68.0,10*,7.55,0.0,55.0,'4/9,28.76,0.0,19.0,0.0,-21.2
Northern Superchargers,F du Plessis,2022-2022,11404.0,120*,32.58,6.0,50.0,'5/19,18.34,2.0,206.0,0.0,14.24
