Player,Span,Team,Country,SR,Bowling Style
WL Madsen,2022-2024,Manchester Originals,Italy,138.4,Offbreak
BS McKinney,2025-2025,Manchester Originals,Manchester Originals (Men),104.3,Offbreak
C Munro,2021-2021,Manchester Originals,New Zealand,140.1,Medium
Noor Ahmad,2025-2025,Manchester Originals,Afghanistan,95.8,Chinaman
J Overton,2023-2024,Manchester Originals,England,157.5,Fast
MW Parkinson,2021-2022,Manchester Originals,England,79.5,Legbreak
BA Raine,2023-2023,Manchester Originals,Otago,131.0,Medium
R Ravindra,2025-2025,Manchester Originals,New Zealand,139.4,Orthodox
AD Russell,2022-2022,Manchester Originals,West Indies,167.6,Fast
PD Salt,2021-2025,Manchester Originals,England,155.9,Offbreak
Sikandar Raza,2024-2024,Manchester Originals,Zimbabwe,136.3,Offbreak
IS Sodhi,2025-2025,Manchester Originals,New Zealand,106.3,Legbreak
MT Stanley,2022-2022,Manchester Originals,Manchester Originals (Men),76.9,Medium
T Stubbs,2022-2022,Manchester Originals,South Africa,144.2,Offbreak
JC Tongue,2023-2025,Manchester Originals,Manchester Originals (Men),75.0,Medium
AJ Turner,2022-2023,Manchester Originals,Australia,140.6,Offbreak
Usama Mir,2023-2024,Manchester Originals,Pakistan,129.4,Legbreak
PI Walter,2022-2024,Manchester Originals,Brisbane Heat,140.1,Medium
Zaman Khan,2023-2023,Manchester Originals,Pakistan,74.0,Medium
T Banton,2023-2023,Northern Superchargers,England,141.9,
DJ Bravo,2022-2022,Northern Superchargers,West Indies,126.3,Medium
HC Brook,2021-2025,Northern Superchargers,England,150.4,Medium
PR Brown,2024-2024,Northern Superchargers,England,69.8,Medium
BA Carse,2021-2023,Northern Superchargers,England,139.7,Fast
G Clark,2024-2025,Northern Superchargers,Chittagong Kings,144.5,Legbreak
J Clark,2024-2024,Northern Superchargers,Oval Invincibles (Men),126.7,Medium
Z Crawley,2025-2025,Northern Superchargers,Hobart Hurricanes,139.2,Offbreak
JA Duffy,2025-2025,Northern Superchargers,New Zealand,123.7,Medium
F du Plessis,2022-2022,Northern Superchargers,South Africa,139.2,Legbreak
BJ Dwarshuis,2024-2024,Northern Superchargers,Australia,143.3,Medium
MD Fisher,2021-2021,Northern Superchargers,Northern Superchargers (Men),129.8,Medium
AJ Hose,2022-2024,Northern Superchargers,Adelaide Strikers,141.1,Medium
Imad Wasim,2025-2025,Northern Superchargers,Pakistan,124.1,Orthodox
MA Jones,2024-2024,Northern Superchargers,Scotland,131.8,Offbreak
T Kohler-Cadmore,2021-2021,Northern Superchargers,Sydney Thunder,141.3,Offbreak
TE Lawes,2024-2025,Northern Superchargers,Northern Superchargers (Men),66.1,Medium
DW Lawrence,2025-2025,Northern Superchargers,Brisbane Heat,141.9,Offbreak
CA Lynn,2021-2021,Northern Superchargers,Australia,143.8,Orthodox
A Lyth,2021-2023,Northern Superchargers,Perth Scorchers,144.8,Medium
DJ Malan,2025-2025,Northern Superchargers,England,131.8,Legbreak
CN Miles,2022-2022,Northern Superchargers,Northern Superchargers (Men),81.3,Medium
DA Miller,2025-2025,Northern Superchargers,South Africa,137.5,Offbreak
Mohammad Amir,2025-2025,Northern Superchargers,Pakistan,103.4,Fast
Mujeeb Ur Rahman,2021-2021,Northern Superchargers,Afghanistan,104.2,Offbreak
CF Parkinson,2021-2024,Northern Superchargers,Northern Superchargers (Men),90.7,Orthodox
WD Parnell,2022-2023,Northern Superchargers,South Africa,114.8,Medium
SR Patel,2025-2025,Northern Superchargers,England,125.8,Orthodox
DY Pennington,2024-2024,Northern Superchargers,Birmingham Phoenix (Men),80.0,Medium
MS Pepper,2022-2025,Northern Superchargers,Abu Dhabi Knight Riders,150.1,
N Pooran,2024-2024,Northern Superchargers,West Indies,149.6,
MJ Potts,2021-2025,Northern Superchargers,England,124.1,Medium
BA Raine,2021-2022,Northern Superchargers,Otago,131.0,Medium
AU Rashid,2021-2025,Northern Superchargers,England,108.0,Legbreak
OG Robinson,2024-2024,Northern Superchargers,Gulf Giants,126.2,
MJ Santner,2024-2025,Northern Superchargers,New Zealand,129.7,Orthodox
MW Short,2023-2024,Northern Superchargers,Australia,147.2,Offbreak
JA Simpson,2021-2022,Northern Superchargers,Northern Superchargers (Men),131.1,
BA Stokes,2021-2024,Northern Superchargers,England,136.4,Medium
JA Thompson,2021-2021,Northern Superchargers,Hobart Hurricanes,153.8,Medium
RJW Topley,2023-2024,Northern Superchargers,England,96.2,Medium
RE van der Merwe,2022-2022,Northern Superchargers,South Africa,134.9,Orthodox
DJ Vilas,2021-2021,Northern Superchargers,Cape Cobras,131.4,
Wahab Riaz,2022-2022,Northern Superchargers,Pakistan,127.5,Fast
D Wiese,2022-2023,Northern Superchargers,South Africa,141.5,Medium
DJ Willey,2021-2022,Northern Superchargers,England,135.9,Medium
SA Zaib,2023-2023,Northern Superchargers,Northern Superchargers (Men),144.8,Orthodox
AAP Atkinson,2023-2025,Oval Invincibles,England,93.1,Medium
JP Behrendorff,2025-2025,Oval Invincibles,Australia,103.5,Medium
SW Billings,2021-2025,Oval Invincibles,England,134.3,
AJ Blake,2021-2021,Oval Invincibles,Dhaka Dominators,136.6,Medium
DR Briggs,2022-2023,Oval Invincibles,England,127.8,Orthodox
PR Brown,2022-2022,Oval Invincibles,England,69.8,Medium
HWR Cartwright,2022-2022,Oval Invincibles,Perth Scorchers,130.0,Medium
ZJ Chappell,2023-2023,Oval Invincibles,Rangpur Riders,133.5,Medium
J Clark,2021-2025,Oval Invincibles,Oval Invincibles (Men),126.7,Medium
JM Cox,2022-2025,Oval Invincibles,England,142.8,
SM Curran,2021-2025,Oval Invincibles,England,137.5,Medium
TK Curran,2021-2025,Oval Invincibles,England,143.5,Medium
LJ Evans,2021-2021,Oval Invincibles,Perth Scorchers,138.3,Medium
D Ferreira,2024-2025,Oval Invincibles,South Africa,173.2,Offbreak
MAH Hammond,2025-2025,Oval Invincibles,Birmingham Phoenix (Men),133.7,Offbreak
P Hatzoglou,2022-2022,Oval Invincibles,Melbourne Renegades,104.9,Legbreak
JA Haynes,2022-2022,Oval Invincibles,Oval Invincibles (Men),139.4,Offbreak
CA Ingram,2021-2021,Oval Invincibles,South Africa,140.9,
WG Jacks,2021-2025,Oval Invincibles,England,155.6,Offbreak
SH Johnson,2023-2024,Oval Invincibles,Australia,111.0,Fast
H Klaasen,2023-2023,Oval Invincibles,South Africa,155.2,None
TA Lammonby,2024-2024,Oval Invincibles,Hobart Hurricanes,141.2,Medium
S Mahmood,2021-2025,Oval Invincibles,England,75.0,Medium
DJ Malan,2024-2024,Oval Invincibles,England,131.8,Legbreak
ME Milnes,2022-2022,Oval Invincibles,Welsh Fire (Men),140.2,Medium
Mohammad Amir,2024-2024,Oval Invincibles,Pakistan,103.4,Fast
Mohammad Hasnain,2022-2022,Oval Invincibles,Pakistan,83.6,Medium
TS Muyeye,2023-2025,Oval Invincibles,Melbourne Renegades,141.4,
